English,German
volcano,"['vulkan', 'vulkane', 'vulkans']"
spacesuit,['raumanzug']
dishwasher,['geschirrspüler']
namespace,['namensraum']
trace,"['spur', 'spuren']"
dilation,['dilatation']
extravagant,['extravagante']
declination,['deklination']
waterline,['wasserlinie']
illicit,"['illegalen', 'illegale', 'illegaler', 'unerlaubte']"
hired,"['angeheuert', 'eingestellt', 'engagiert']"
reversal,"['umkehren', 'umkehrung', 'umkehr']"
grassland,"['weideland', 'grünland', 'wiesen']"
quest,"['streben', 'suche']"
steelworks,"['stahlwerk', 'stahlindustrie', 'stahlwerke']"
forecourt,['vorplatz']
resign,['zurücktreten']
modular,"['modularen', 'modulare']"
chest,"['kommode', 'brust', 'brustkorb', 'truhe']"
brevity,['kürze']
sip,['schluck']
simplifies,['vereinfacht']
acetylene,['acetylen']
manor,"['herrenhaus', 'anwesen']"
governance,"['regierungsführung', 'unternehmensführung', 'steuerung']"
salinity,['salzgehalt']
plc,['sps']
keyboard,"['tastatur', 'tastaturen']"
salvadoran,['salvadorianischen']
renovation,"['instandsetzung', 'restaurierung', 'sanierung', 'renovierung']"
entering,"['betreten', 'eingabe']"
indifference,['gleichgültigkeit']
rationality,"['rationalität', 'vernunft']"
crossing,"['kreuzung', 'überqueren', 'überfahrt', 'durchqueren', 'überschreiten']"
frenchman,"['franzosen', 'franzose']"
meltwater,['schmelzwasser']
adjournment,"['vertagung', 'unterbrechung']"
barrel,"['fass', 'fässer', 'lauf', 'zylinder']"
fauna,"['tierwelt', 'tiere']"
exarchate,['exarchat']
lighter,"['leichter', 'feuerzeug']"
lenient,['nachsichtig']
reorganization,"['umgestaltung', 'umstrukturierung', 'neuorganisation', 'reorganisation']"
debit,['belasten']
anthocyanins,['anthocyane']
transcript,"['protokoll', 'abschrift', 'niederschrift']"
serve,"['aufschlag', 'servieren', 'dienen']"
composure,['gelassenheit']
israelite,['israelitische']
withheld,"['einbehalten', 'zurückgehalten', 'vorenthalten']"
distinguishes,"['unterscheidet', 'auszeichnet']"
peppermint,['minze']
exploding,"['explodierenden', 'explodieren', 'explodiert']"
shot,"['schoss', 'geschossen', 'erschossen', 'schuss']"
inability,"['unmöglichkeit', 'unvermögen', 'unfähigkeit', 'unfähig']"
glow,"['leuchten', 'schein', 'glühen']"
edict,"['edikt', 'erlaß', 'erlass']"
harpist,['harfenistin']
hour,"['uhrzeit', 'stunden', 'stunde']"
intervening,"['einschreiten', 'intervenieren', 'eingreifen']"
sphere,"['sphäre', 'kugel']"
lakeshore,['seeufer']
deadlock,['sackgasse']
distilling,['destillation']
thick,"['dicken', 'dick', 'dicker', 'dicke']"
foreword,"['vorwort', 'vorbemerkung']"
maternal,['mütterlicherseits']
contact,"['kontaktaufnahme', 'kontakte', 'kontakt', 'kontaktieren', 'ansprechpartner']"
depends,"['hängt', 'abhängt']"
disbursement,['auszahlung']
ride,"['reiten', 'fahrt']"
promotional,"['verkaufsförderung', 'werbematerial']"
racetrack,"['rennbahn', 'rennstrecke']"
augustine,['augustin']
treat,"['behandeln', 'gönnen']"
immature,"['kindisch', 'unreif']"
announces,"['kündigt', 'verkündet']"
silver,"['silber', 'silberne']"
rail,"['eisenbahn', 'schiene', 'schienenverkehr', 'eisenbahnverkehr']"
uniting,['vereinigen']
stratification,['schichtung']
evidence,"['beweismittel', 'hinweise', 'nachweise', 'nachweis', 'beweise']"
long,"['lang', 'langen', 'lange', 'langer']"
never,"['niemals', 'nie']"
mountaineering,['bergsteigen']
ringing,"['läuten', 'klingeln']"
flew,"['geflogen', 'flog', 'flogen']"
greywacke,['grauwacke']
covenant,"['pakt', 'verpflichtung', 'bund', 'vertrag']"
denture,['prothese']
inefficiency,['ineffizienz']
commemoration,"['gedenken', 'gedenkfeier']"
whore,"['nutte', 'hure']"
superheroes,['superhelden']
proximity,"['bürgernähe', 'nähe']"
prelature,['prälatur']
immense,"['immensen', 'enorm', 'immens']"
nunnery,['nonnenkloster']
trainset,['triebzug']
excellency,['exzellenz']
kinsman,['verwandter']
thirteen,['dreizehn']
clarifying,"['klarstellung', 'klärung']"
broke,"['brach', 'gebrochen', 'kaputt', 'pleite']"
blasphemy,['blasphemie']
cooperates,['kooperiert']
illegal,"['illegalen', 'illegales', 'illegale']"
ether,['äther']
beating,"['prügeln', 'prügel', 'schlagen']"
complies,['entspricht']
jamming,['stören']
theology,"['theologische', 'theologie']"
insistence,"['beharren', 'beharrlichkeit', 'nachdruck']"
noodle,"['nudel', 'nudeln']"
backdoor,['hintertür']
wanders,['wandert']
moderation,"['gemäßigte', 'maßen', 'mäßigung']"
lend,"['leih', 'leihen']"
query,"['abfragen', 'anfrage', 'abfrage']"
promoter,"['veranstalter', 'projektträger']"
exceeds,"['überschreitet', 'übersteigt']"
guarantee,"['bürgschaft', 'gewährleistung', 'garantie']"
molasses,"['melasse', 'sirup']"
insolvency,"['insolvenzverfahren', 'zahlungsunfähigkeit', 'insolvenz']"
relocate,['verlagern']
winner,"['sieger', 'preisträger', 'gewinner', 'gewinnerin']"
lied,"['belogen', 'gelogen', 'log']"
conditioning,['konditionierung']
greatest,"['größte', 'größten']"
kink,['knick']
comparison,"['vergleich', 'vergleichs', 'vergleiche', 'vergleichen']"
cert,['zertifikat']
yeast,"['hefen', 'hefe']"
filament,"['glühlampen', 'glühlampe', 'filamenten']"
peaceful,"['friedlichen', 'friedliche', 'friedlich']"
set,"['festgelegt', 'setzen', 'satz', 'gesetzt', 'einstellen']"
wheelchair,"['rollstuhlfahrer', 'rollstuhl']"
enclosure,['gehäuse']
simplest,"['einfachsten', 'einfachste']"
bacteriologist,['bakteriologe']
tough,"['schwer', 'hart', 'schwierig', 'harte']"
impact,"['auswirkung', 'wirkung', 'auswirkungen', 'einfluss']"
concordance,['übereinstimmung']
abbey,"['kloster', 'abtei']"
stave,['stabkirche']
while,"['während', 'weile']"
fedayeen,['fedajin']
veganism,['veganismus']
snack,['imbiss']
cognitive,"['kognitiven', 'kognitive']"
bilingualism,['zweisprachigkeit']
sadism,['sadismus']
apex,['spitze']
velvet,['samt']
resonance,['resonanz']
overarching,"['übergreifenden', 'übergreifende']"
agronomy,['agronomie']
antithesis,['antithese']
anvil,['amboss']
wood,"['wald', 'holzindustrie', 'holz', 'holzbearbeitung']"
alert,"['alarm', 'ausschreibung', 'wachsam', 'warnung']"
constitute,['darstellen']
sarcophagus,['sarkophag']
diving,"['tauchen', 'taucher']"
talisman,['glücksbringer']
ghost,"['geist', 'geister', 'gespenst']"
dish,"['schüssel', 'schale', 'gericht', 'speise']"
glue,"['klebstoff', 'leim', 'kleber']"
virtualization,['virtualisierung']
lender,['kreditgeber']
hangout,['treff']
absinthe,['absinth']
humanist,['humanistischen']
caramel,['karamell']
opposing,['gegensätzliche']
telepathy,['telepathie']
pandemic,['pandemie']
stratovolcano,['schichtvulkan']
stomach,"['bauch', 'magen']"
storming,['stürmen']
utilization,"['verwendung', 'ausnutzung', 'nutzung', 'verwertung', 'auslastung']"
resin,"['harze', 'harz']"
crowd,"['menschenmenge', 'publikum', 'menge']"
resolve,"['auflösen', 'lösen', 'beheben', 'entschlossenheit']"
hedging,['absicherung']
enroll,['einschreiben']
intoxicating,['berauschend']
philologist,['philologe']
design,"['entwurf', 'gestaltung', 'konstruktion', 'planung']"
mandible,['unterkiefer']
pipe,"['rohre', 'pfeife', 'röhre', 'rohr']"
clown,['clowns']
hound,['hund']
bracket,"['klammer', 'halterung']"
hostess,['gastgeberin']
compact,"['kompakte', 'kompakt', 'kompakter', 'komprimieren']"
zone,"['gebiet', 'zonen']"
seer,['seher']
landless,['landlosen']
replacement,"['ersetzung', 'ersatz', 'ersetzen']"
prefers,"['bevorzuge', 'bevorzugt', 'bevorzugen']"
insert,"['einfügen', 'fügen']"
uncertainty,"['unsicherheiten', 'unsicherheit', 'verunsicherung', 'ungewissheit']"
alone,"['allein', 'alleine']"
lactation,['stillzeit']
misstep,['fehltritt']
soldier,"['soldaten', 'soldat']"
fertiliser,"['düngemittel', 'dünger']"
sloppiness,['schlamperei']
send,"['schicken', 'senden', 'schick', 'versenden', 'abschicken']"
ocelot,['ozelot']
theatre,['theater']
motorsports,['motorsport']
wholesale,"['großhandel', 'großhändler']"
cab,"['taxi', 'kabine']"
cashier,"['kassierer', 'kasse']"
fillet,['filet']
refectory,['refektorium']
caress,['streicheln']
parliamentary,"['parlamentarischer', 'parlamentarische', 'parlamentarischen']"
anaesthetic,"['narkose', 'anästhesie']"
triangular,['dreieckige']
rudder,['ruder']
desperation,['verzweiflung']
vengeance,"['rächen', 'vergeltung', 'rache']"
tallest,"['größte', 'höchstes', 'höchste', 'höchsten']"
screwdriver,['schraubenzieher']
stringent,"['streng', 'strikte', 'strengen', 'strenge']"
measure,"['maßnahme', 'messen', 'maß', 'massnahme']"
cousin,"['vetter', 'cousine']"
relentless,"['unaufhaltsam', 'gnadenlos', 'unermüdlich', 'unerbittlich']"
attend,['teilnehmen']
screenplay,['drehbuch']
trombone,['posaune']
dedicate,"['widmen', 'widme']"
contrast,"['gegensatz', 'kontrast']"
valuable,"['wertvoller', 'wertvolle', 'wertvollen', 'wertvoll']"
palm,"['palme', 'palmöl', 'hand', 'palmen']"
faulty,"['fehlerhafte', 'defekt', 'fehlerhaft']"
meteorite,"['meteoriten', 'meteorit']"
relic,"['reliquien', 'relikt']"
will,"['werden', 'wird', 'wille', 'werde']"
base,"['grundlage', 'stützpunkt', 'basis']"
crankcase,['kurbelgehäuse']
displace,['verdrängen']
still,"['noch', 'trotzdem']"
resident,"['ansässig', 'wohnsitz', 'wohnhaft']"
shorthair,['kurzhaar']
valhalla,['walhalla']
oslo,['norwegen']
dehydration,"['trocknung', 'dehydrierung']"
pic,"['plc', 'bild']"
acrylic,['acryl']
penetration,"['vordringen', 'eindringen', 'durchdringen', 'durchdringung']"
stink,"['gestank', 'stinken', 'stinkt']"
steward,['verwalter']
wife,"['ehefrau', 'frau', 'gemahlin', 'weib']"
icon,"['ikone', 'symbol']"
collect,"['abholen', 'sammeln', 'einsammeln']"
adaptation,['anpassung']
rickets,['rachitis']
hoverflies,['schwebfliegen']
walnut,['walnuss']
argentina,['argentinien']
filesystems,['dateisysteme']
cathedral,"['dom', 'kathedrale']"
handel,['händel']
chirality,['chiralität']
updating,"['aktualisierung', 'aktualisierungen', 'aktualisieren']"
kite,"['drachen', 'kitesurfen']"
piano,"['klavier', 'flügel']"
intentional,"['vorsätzliche', 'absichtliche', 'absichtlich', 'vorsätzlich', 'absicht']"
administration,['verwaltung']
patenting,"['patentieren', 'patentierung', 'patentanmeldungen']"
roller,['walzen']
papilla,['papille']
redundancy,"['redundanz', 'entlassung', 'entlassungen']"
smell,"['geruch', 'rieche', 'riechen', 'duft']"
defendant,"['beklagte', 'beklagten', 'angeklagte']"
matching,"['passender', 'abgleich', 'passenden']"
superiority,['überlegenheit']
proconsul,['prokonsul']
bold,"['frech', 'fett', 'mutige', 'kühn']"
extension,"['ausweitung', 'verlängerung', 'ausdehnung', 'ausbau', 'erweiterung']"
doctor,"['arzt', 'doktor', 'ärztin']"
unwell,['unwohl']
sensation,"['empfindungen', 'gefühl', 'empfindung']"
temptation,"['versuchung', 'versuchungen', 'verführung']"
theirs,['deren']
piety,"['gottesfurcht', 'frömmigkeit']"
incorrect,"['unzutreffend', 'falsch', 'falsche', 'fehlerhaft']"
chip,"['chipkarten', 'chips']"
advantage,['vorteil']
nostalgia,"['sehnsucht', 'nostalgie']"
chipset,['chipsatz']
rat,"['ratten', 'ratte']"
dreaming,"['geträumt', 'träumt', 'träume', 'träumen']"
streetcar,['straßenbahn']
communicating,"['kommunizieren', 'kommunikation', 'vermitteln']"
corporates,"['firmen', 'firmenkunden']"
fewer,['weniger']
shareholder,"['aktionär', 'gesellschafter', 'anteilseigner', 'aktionäre']"
afterburner,['nachbrenner']
hangover,['kater']
unfairness,"['ungerechtigkeit', 'ungerechtigkeiten']"
headquarter,"['hauptsitz', 'sitz', 'zentrale', 'firmensitz']"
spokesman,"['sprechers', 'sprecher']"
derogatory,['abfällige']
requesting,['anfordern']
yearling,['jährling']
forgetting,"['vergessen', 'vergesse', 'vergisst']"
posturing,['getue']
affirmation,['bekräftigung']
bottomless,['bodenlose']
bravery,"['mut', 'tapferkeit']"
boatman,['bootsmann']
susceptible,"['empfänglich', 'anfällig']"
being,['wesen']
adulthood,['erwachsenenalter']
aegis,['schirmherrschaft']
republic,['republik']
guardrail,['leitplanke']
cloud,"['wolken', 'wolke']"
helm,"['steuer', 'steuermann', 'ruder']"
barberry,['berberitze']
salvation,"['heil', 'rettung', 'erlösung']"
enclave,['enklave']
autism,['autismus']
bonfire,"['lagerfeuer', 'feuer', 'fegefeuer']"
tutoring,['nachhilfe']
dismantling,"['zerlegung', 'demontage', 'abbau']"
navel,['nabel']
flesh,['fleisch']
truck,"['lkw', 'lastwagen', 'lastkraftwagen']"
undertone,['unterton']
preference,"['vorlieben', 'bevorzugt', 'präferenz', 'präferenzen', 'vorzug']"
seating,"['sitzplatz', 'sitze', 'sitzplätze']"
eardrum,['trommelfell']
councilwoman,['stadträtin']
incoming,"['eingehenden', 'eingang', 'eingehender', 'eingehende']"
commuting,"['pendelverkehr', 'pendeln', 'pendler']"
declaring,"['erklären', 'erklärend', 'deklaration']"
interest,"['zinssatz', 'zinsen', 'interessen', 'zins', 'interesse']"
blister,['blase']
investment,"['kapitalanlagen', 'investition', 'investitionen', 'investitionskosten']"
tangent,['tangente']
distress,"['not', 'notlage']"
trusting,['vertrauensvoll']
stuffed,"['gefüllt', 'gestopft', 'gefüllte']"
charioteer,['wagenlenker']
protection,"['schutzmaßnahmen', 'schutz']"
length,"['längen', 'dauer', 'länge']"
reopening,"['wiederaufnahme', 'wiedereröffnung']"
sulphate,['sulfat']
blogosphere,['blogosphäre']
culture,['kultur']
nurse,"['krankenpfleger', 'krankenschwester', 'pfleger', 'krankenschwestern', 'schwester']"
intercooler,['ladeluftkühler']
line,"['linien', 'zeile', 'linie', 'strecke']"
fresco,"['fresken', 'fresko']"
manufacturer,['hersteller']
shrunk,['geschrumpft']
parenchyma,['parenchym']
warrant,"['beschluss', 'vollmacht', 'haftbefehl']"
rice,['reis']
stage,"['stufe', 'bühnen', 'bühne', 'etappe']"
trolley,['straßenbahn']
savagery,"['barbarei', 'grausamkeit']"
chamois,['gämsen']
turkey,['türkei']
intelligent,"['intelligente', 'intelligenten', 'intelligenter']"
rediscovery,['wiederentdeckung']
silt,['schlamm']
conscription,"['wehrdienst', 'wehrpflicht', 'einberufung']"
reflector,['reflektor']
silkworm,['seidenraupenzucht']
rig,['plattform']
sleepy,"['verschlafen', 'müde']"
thyme,['thymian']
epitaph,['nachruf']
insulation,"['isolieren', 'isolation', 'isolierung', 'wärmedämmung']"
skier,['skifahrer']
roadmap,"['fahrplan', 'wegweiser']"
unionist,['gewerkschafter']
energy,"['energieversorgung', 'energiewirtschaft', 'energie', 'energieverbrauch']"
silicon,"['silizium', 'silikon', 'silicium']"
repository,"['archiv', 'depot']"
extra,"['zusätzliches', 'zusätzlichen', 'zusätzliche']"
dermatitis,['ekzem']
tectonics,['tektonik']
changer,['wechsler']
wording,"['wortlaut', 'formulierungen', 'formulierung']"
neurosis,['neurose']
woman,"['weib', 'frau']"
vilification,['herabwürdigung']
silica,"['silizium', 'siliciumdioxid']"
wrestling,"['ringer', 'ringen']"
recognize,"['erkenne', 'erkennen', 'anerkennen']"
ethic,['ethik']
bread,"['brot', 'brötchen']"
biosphere,['biosphäre']
affection,['zuneigung']
tutorial,"['anleitung', 'lehrgang', 'schulung']"
jester,['narr']
dealer,"['händler', 'fachhändler']"
requirement,['anforderung']
determine,['bestimmen']
ypres,['ypern']
destroying,['zerstören']
sexist,['sexistisch']
cookie,"['keks', 'plätzchen', 'kekse']"
hunch,['ahnung']
passenger,"['passagier', 'personenverkehr', 'passagiere']"
lanthanum,['lanthan']
biotechnology,['biotechnologie']
harmony,"['harmonie', 'eintracht', 'harmonisch', 'einklang']"
mill,"['mühlen', 'mühle']"
subtle,"['raffiniert', 'subtile']"
thank,"['danke', 'dankeschön', 'danken']"
groomed,"['gepflegt', 'gepflegte']"
erect,['aufrecht']
model,"['vorbild', 'modell']"
degradation,"['erniedrigung', 'verschlechterung', 'abbau']"
crook,['gauner']
diplomat,['diplomaten']
rainier,['rainer']
plain,"['schlicht', 'glatt']"
monotheism,['monotheismus']
segment,['segmente']
thermodynamics,['thermodynamik']
alligator,['krokodil']
