English,Korean
port,"['항구', '포트']"
tag,['태그']
max,"['맥스', '막스', '최대']"
tachi,['다치']
grove,['그로브']
surety,['보증']
devil,['악마']
landscaping,['조경']
preservative,['방부제']
palette,['팔레트']
midnight,"['자정', '미드나이트', '미드나잇']"
playback,['재생']
cameraman,['카메라맨']
xanadu,['제너두']
smith,['스미스']
disappointment,['실망']
pigeon,"['피죤', '비둘기']"
aether,['에테르']
ecstasy,['엑스터시']
doubtful,"['의심스럽다', '의심']"
enjoyed,['즐겼다']
hotspot,['핫스팟']
rooftop,['옥상']
statement,"['성명서', '진술']"
medication,['약물']
uganda,['우간다']
readability,['가독성']
transporter,['트랜스포터']
lockdown,['폐쇄']
miller,['밀러']
peanut,['땅콩']
fission,['핵분열']
firecracker,['폭죽']
hawk,['호크']
somewhere,['어딘가']
electronics,"['일렉트로닉스', '전자제품', '전자공학']"
bouquet,['꽃다발']
punjabi,"['펀자브어', '펀자브']"
sandwich,['샌드위치']
whaling,['고래잡이']
meet,['만나']
coin,['동전']
guitar,['기타']
centimetre,['센티미터']
reel,['소식']
brook,['브룩']
stimulus,['자극']
gambler,['도박꾼']
laser,['레이저']
admit,['인정']
oxygen,['산소']
showroom,['전시장']
tech,"['기술', '테크']"
september,['구월']
squid,['오징어']
controversy,"['논란', '논쟁']"
deuce,['듀스']
jason,['제이슨']
habit,"['버릇', '습관']"
tailor,"['양복점', '양복']"
meadow,['초원']
withdrawal,"['철수', '금단']"
ejaculation,['사정']
shoe,"['신발', '구두']"
perm,['파마']
tailing,['미행']
palermo,['팔레르모']
ignition,['점화']
puddle,['웅덩이']
anyway,"['어쨌든', '어쨌거나']"
lineup,['라인업']
dusty,['더스티']
