Korean,German
반대편,"['gegenteil', 'gegenüber', 'entgegengesetzt']"
수비수,['verteidiger']
새우,"['krabben', 'garnelen']"
순례자,"['pilger', 'pilgerfahrt']"
혁신,"['neuerungen', 'innovationen', 'neuentwicklungen', 'neuheiten']"
절도,"['diebstahl', 'diebstahls']"
본질,"['wesentliche', 'wesen', 'essenzen', 'wesentlichen', 'essenz']"
배선,"['leitungen', 'verkabelung']"
평면,"['flug', 'flugzeug']"
삼총사,['musketiere']
비행장,['flugplatz']
민주주의,['demokratie']
코발트,['kobalt']
화질,"['qualitätssicherung', 'qualität', 'qualitätskontrolle']"
색칠,"['farbstoffe', 'farbstoff', 'färbung', 'färben']"
인벤토리,"['inventur', 'bestandsaufnahme', 'bestände', 'inventar']"
시드,"['saat', 'saatgut', 'nachkommen']"
세미,"['halbfinale', 'halb', 'halbzeug']"
평가,"['bewertungen', 'bewertung', 'beurteilung', 'berechtigungen', 'satz', 'quoten', 'bewerten', 'auswertung', 'zinssatz', 'wertung', 'steuersatz', 'auswerten', 'evaluieren', 'einstufung', 'evaluierung']"
에뮬레이션,"['emulieren', 'nachahmung']"
얼룩,"['makel', 'flecken', 'fleck']"
파종,"['verbreiteten', 'verbreitete', 'verbreitet']"
망설임,"['zögert', 'zögern']"
성직자,"['priester', 'kleriker', 'klerus', 'geistliche', 'geistlichen', 'pfarrer', 'geistlicher']"
삼각형,"['dreieck', 'dreieckige', 'dreiecks', 'dreiecke']"
회원,"['mitglied', 'mitglieder', 'mitgliedstaat', 'mitgliedstaaten', 'mitglieds']"
혼란,"['chaotischen', 'durcheinander', 'verwirrung', 'verwirrend', 'verwechslung', 'verwirrt', 'unordnung', 'chaotisch', 'verwirren', 'verwechselt']"
경배,"['gottesdienst', 'anbeten', 'verehrung', 'verehren', 'anbetung', 'dient']"
경보,"['warnung', 'beratung', 'beratenden', 'wachsam', 'alarm', 'beirat', 'gutachten', 'ausschreibung']"
파괴,"['zerstöre', 'vernichten', 'vernichtung', 'zerstörerische', 'zerstören', 'vernichtet', 'zerstörung', 'verwüstung']"
강아지,"['hündchen', 'welpen', 'welpe']"
노동,"['arbeit', 'wehen', 'arbeitsrecht', 'arbeitskräfte', 'arbeitsmarkt']"
페널티,"['strafe', 'geldstrafe', 'strafen', 'todesstrafe', 'sanktion']"
식물학,"['pflanzen', 'pflanze', 'anlagen']"
중앙,"['stadtzentrum', 'mittelpunkt', 'zentriert', 'mitte', 'stadtmitte', 'zentrum']"
발신,"['ausgang', 'versender', 'ausgehende', 'ausgehenden', 'absender']"
수로,"['wasserstraße', 'wasserstraßen']"
간격,"['abstände', 'lücken', 'lücke', 'differenz', 'abstand', 'zeitraum', 'lückenhaft', 'kluft', 'zeitspanne', 'intervall']"
조회,"['abfrage', 'anzeigen', 'gesehen', 'meinungen', 'angeschaut', 'abfragen', 'anfrage', 'ansichten', 'angesehen', 'aussicht', 'blick', 'aufrufe', 'ansicht', 'betrachtet']"
치사,"['mordfall', 'mord', 'mordkommission', 'tötung']"
다수,"['mehrzahl', 'mehrheit']"
이삭,"['isaak', 'ishaq']"
등반,"['bergsteigen', 'klettern', 'bergsteiger']"
상동,['homologen']
빗자루,['besen']
양조,"['brauerei', 'brauen', 'brauereien']"
정치인,"['politikerin', 'politikern', 'politiker']"
칠면조,['türkei']
중개인,"['mittler', 'broker', 'vermittler', 'makler']"
엔진,"['motoren', 'suchmaschine', 'triebwerke', 'maschine', 'motor', 'antrieb']"
코란,['qur']
여름,"['sommerferien', 'sommerurlaub', 'sommer', 'sommerzeit']"
근면,"['sorgfalt', 'fleiß']"
색상,"['farbton', 'farben', 'farbig', 'farbe', 'farbstoffe', 'färben']"
연못,"['teich', 'teiche']"
의정서,"['protokollen', 'protokolle']"
인식,"['bekanntheitsgrad', 'erkenne', 'sensibilisierung', 'anerkennen', 'bekanntheit', 'bewusstsein', 'erkenntnis', 'anerkennung', 'wahrnehmung', 'erkennen', 'kognition', 'erkennung']"
암초,"['riff', 'schwarm']"
울림,"['klingeln', 'läuten']"
블라우스,"['bluse', 'blusen']"
비용,"['aufwendungen', 'kosten', 'unkosten', 'spesen', 'ausgaben', 'aufwand']"
방학,"['ferien', 'urlaub']"
결함,"['defekt', 'mängel', 'mangel', 'makel']"
증명,"['nachweis', 'bescheinigung', 'beweise', 'kennung', 'nachweise', 'beweist', 'kennzeichnung', 'beweis', 'identifizierung', 'identifikation', 'beweisen']"
스프레이,['sprühen']
지구,['erde']
엉망,"['durcheinander', 'unordnung', 'sauerei', 'schweinerei', 'chaos']"
자체,['selbst']
적립,"['verdienst', 'verdienen', 'verdiene']"
라이징,"['steigend', 'steigenden', 'steigende']"
황달,['gelbsucht']
인질,"['geiselnahme', 'geisel', 'geiseln']"
파라미터,['parametern']
휴대폰,"['telefonisch', 'telefonnummer', 'handys', 'telefonieren', 'telefon']"
프린스,"['fürst', 'prinz', 'prinzen']"
코스,"['sprachkurse', 'golfplätze', 'kurse', 'lehrgang', 'natürlich', 'kurs']"
진주,"['perle', 'perlen']"
직렬,"['serien', 'seriellen', 'serielle', 'seriennummer']"
매춘부,"['nutte', 'prostituierte', 'prostituierten', 'hure']"
타이어,"['reifen', 'reifens']"
굶주림,"['hunger', 'unterernährung', 'verhungern', 'hungersnot', 'hungern']"
관습,"['zollbehörde', 'bräuche', 'üblich', 'zollunion', 'zoll']"
언덕,"['anhöhe', 'hügel', 'berg', 'berge', 'hügeln']"
스트레이트,"['geradeaus', 'gerade', 'hetero', 'direkt']"
디지털,"['digitale', 'digitalkamera', 'digitalen', 'digitales']"
시퀀스,"['sequenz', 'reihenfolge', 'ablauf', 'sequenzen', 'folge']"
스캐닝,"['scannen', 'gescannt', 'einlesen']"
줄기,"['stammzellen', 'stamm', 'stiel']"
버펄로스,['büffel']
크로스,"['überqueren', 'kreuz']"
성분,"['inhaltsstoffe', 'bestandteile', 'komponenten', 'bauteile', 'zutaten', 'einzelteile']"
답장,"['erwiderung', 'antworten', 'beantwortung', 'antworte', 'antwort']"
라벨,"['beschriftung', 'aufkleber', 'etikett', 'kennzeichnung', 'beschriftungen', 'etiketten']"
플라잉,"['fliegen', 'fliegende']"
할아버지,"['opa', 'großvaters', 'großvater']"
콘텐츠,"['gehalt', 'inhaltsverzeichnis', 'inhalten', 'inhalt', 'inhalte']"
채색,"['farbigen', 'farbig', 'farbige']"
고리,"['klingeln', 'ringen', 'ringe']"
산호,['korallen']
미니시리즈,['miniserie']
양념,"['gewürze', 'erfahrene', 'gewürz', 'erfahrener', 'gewürzt', 'würzen', 'gewürzen']"
시프트,"['schicht', 'verschieben', 'verschiebung']"
키트,['kästen']
알베르트,['albrecht']
결석,"['abwesend', 'abwesenheit', 'fehlen']"
전구,"['birne', 'glühlampe']"
신비주의,['mystik']
착석,"['sitzen', 'sitzend']"
편곡,"['absprache', 'vereinbarung', 'arrangieren', 'regelung', 'ordnen', 'anordnen', 'anordnung', 'arrangeur']"
시사회,"['vorführung', 'uraufführung', 'premieren']"
식사,"['mahlzeiten', 'mahlzeit', 'speisesaal', 'speisen', 'verpflegung']"
그립,"['griffe', 'greifen', 'griffen', 'griff']"
등불,"['glühlampen', 'lampen', 'leuchten']"
피부,"['haut', 'hautfarbe']"
냉동,"['einfrieren', 'stehenbleiben', 'eingefroren', 'kälte', 'kühlung', 'kühlmittel', 'kühlen', 'gefrorene', 'gefroren', 'frieren']"
대안,"['alternative', 'alternativ', 'hilfsweise', 'alternativer', 'alternativen']"
배당,"['dividende', 'ausschüttung', 'dividenden']"
총상,"['schuß', 'schuss']"
간호사,"['krankenschwester', 'pflegepersonal', 'schwester', 'krankenpfleger', 'schwestern', 'pfleger', 'krankenschwestern']"
변경,"['wechseln', 'wechsel', 'veränderungen', 'veränderung', 'verändern', 'ändern', 'änderungen', 'änderung']"
경찰,"['bulle', 'polizisten', 'polizeistation', 'polizist', 'polizei']"
챔피언십,"['meisterschaft', 'sieger', 'weltmeister', 'meister', 'meisterschaften']"
나이트클럽,"['diskothek', 'nachtclubs', 'nachtclub']"
근본주의,['fundamentalismus']
비치,"['sandstrand', 'strand', 'strände']"
구문,"['begriff', 'satz', 'ausdruck']"
피치,"['stellplatz', 'pfirsich', 'spielfeld']"
액세서리,"['accessoires', 'zubehörteile', 'zubehör']"
이유,"['vernunft', 'gründen', 'grund', 'gründe']"
농민,"['bäuerlichen', 'bauer', 'bauern']"
주인,"['inhaber', 'eigentümerin', 'vermieter', 'eigentümer', 'besitzer']"
망각,"['vergessen', 'vergisst', 'vergesse']"
발톱,"['krallen', 'klauen', 'nagel', 'fingernägel', 'nägel']"
원시,"['primitiven', 'primitiv']"
동무,"['genosse', 'kamerad']"
부엉이,"['eulen', 'eule']"
스킨,"['haut', 'hautfarbe']"
각막,['hornhaut']
초등,"['elementare', 'elementaren', 'elementar', 'grundschule']"
남동,"['südost', 'südöstlich', 'südosten', 'südöstlichen']"
망명,"['asyl', 'verbannung', 'asylrecht', 'asylbewerber', 'exil', 'asylpolitik']"
한국,"['südkorea', 'koreanische', 'koreanisch', 'maltesische', 'koreanischen', 'koreaner']"
파라다이스,['paradies']
바구니,"['korb', 'warenkorb', 'körbe', 'einkaufswagen']"
형성,"['gründung', 'entstehung', 'umformung', 'formgebung', 'bildung', 'bilden']"
스타일,"['stil', 'vorlagen', 'stile']"
번영,"['wohlhabenden', 'wohlhabende', 'wohlfahrt', 'wohlstand', 'wohlhabend']"
프리미엄,"['prämie', 'aufschlag']"
견학,"['ausflugsziele', 'ausflug', 'exkursion']"
부록,"['anlage', 'anhang', 'anlagen', 'anhänge']"
반박,"['widerlegung', 'erwiderung', 'widerlegen']"
화이트,"['weiß', 'weißen', 'weiss', 'weisse', 'weiße']"
재산,"['grundstück', 'vermögen', 'immobilien', 'reichtum', 'reichtümer', 'eigenschaft', 'immobilie', 'wohlstand', 'reichtums', 'eigentum']"
타깃,"['zielgruppe', 'ziel', 'zielvorgabe']"
접시,"['teller', 'gericht', 'schale', 'kennzeichen', 'bleche', 'gerichte', 'schüssel', 'geschirr', 'untertasse', 'speise', 'platte']"
벤치마킹,['benchmark']
포니,['ponys']
거트루드,['gertrud']
쥐라기,['jura']
등급,"['größenordnung', 'ausmaß', 'helligkeit']"
갤러리,"['galerien', 'bildergalerie', 'galerie', 'kunstgalerien']"
궤양,"['geschwür', 'geschwüre']"
강간,"['vergewaltigt', 'vergewaltigung', 'vergewaltigen', 'raps', 'vergewaltigungen']"
일주일,"['wochentag', 'wochen', 'woche']"
시술,"['behandlung', 'therapien', 'vorgehensweise', 'anwendungen', 'prozedur', 'verfahren', 'behandlungen']"
무화과,"['abb', 'feige', 'feigen']"
오른쪽,"['richtig', 'recht', 'rechte', 'stimmt', 'rechts']"
청동,"['bronzemedaille', 'bronzen']"
마커,"['marker', 'markierungen']"
학위,['grad']
멸치,['sardellen']
속죄,"['buße', 'büßen']"
스트라이크,"['schlag', 'streiks', 'streik']"
상승,"['heben', 'erheben', 'anstieg', 'aufstieg', 'anheben', 'fahrstuhl', 'steigen', 'aufzug']"
손녀,['enkelin']
스위치,"['schalter', 'gewechselt', 'wechseln', 'weichen', 'getauscht', 'vertauscht', 'umgestellt', 'eingeschaltet', 'umschalten', 'wechselte']"
사타구니,['leiste']
타임,"['zeit', 'zeiten', 'zeitraum', 'zeitpunkt', 'uhrzeit']"
구간,"['abstand', 'zeitraum', 'intervall', 'zeitspanne']"
제외,"['ausschlüsse', 'ausschluss', 'ausgenommen', 'ausnahmen', 'ausschluß', 'ausgrenzung', 'ausgeschlossen', 'ausschließen']"
식물,"['pflanzen', 'pflanzenwelt', 'pflanze', 'anlagen']"
폐렴,"['pneumonie', 'lungenentzündung']"
미네랄,"['mineralische', 'mineralstoffe', 'mineralwasser', 'bodenschätze', 'mineralien', 'mineral']"
악수,['handschlag']
드라마,"['dramen', 'schauspiel', 'spielfilm']"
포도주,"['weine', 'weines', 'weinbau', 'wein']"
제재,"['sanktion', 'sanktionen', 'strafen', 'strafmaßnahmen']"
계절풍,['monsun']
숙박,"['unterkunft', 'unterkünfte', 'unterbringung', 'übernachtung', 'ferienwohnung', 'ferienwohnungen', 'bleiben', 'aufenthalt']"
자루,['plünderung']
불법,"['rechtswidrige', 'illegalen', 'illegale', 'unrechtmäßig', 'rechtswidrig', 'illegales']"
돌파,"['bahnbrechende', 'durchbruch']"
저장,"['retten', 'aufbewahrung', 'einsparung', 'speicher', 'lagerung', 'sparen', 'speichere', 'ersparnis', 'spart', 'rettet', 'lagerraum', 'speichert', 'lagerhaltung', 'speichern']"
레지던스,"['residenz', 'wohnort', 'aufenthalt', 'wohnsitz']"
어디서,"['wo', 'wohin']"
엄마,"['mutter', 'mutti', 'mama', 'mum', 'muttertag']"
각서,"['memorandums', 'vereinbarung']"
볶음,"['gebraten', 'durchgebrannt']"
메신저,"['gesandten', 'boten', 'bote']"
거품,"['blase', 'schaum', 'blasen']"
자료,"['datenschutz', 'angaben', 'daten']"
해체,"['zerlegung', 'abzubauen', 'zerlegen', 'trennung', 'abbauen', 'abbau', 'demontage']"
용접,"['schweißer', 'schweißen']"
식료품,"['einkäufe', 'lebensmittelindustrie', 'lebensmittel', 'lebensmitteln', 'nahrungsmittel']"
소금,"['salze', 'salzwasser', 'salz', 'salzen']"
품종,"['rasse', 'züchtung', 'züchten', 'rassen']"
부관,"['stellvertretender', 'posthum', 'stellvertreter', 'stellvertretende']"
대화,"['faden', 'konversation', 'diskussionen', 'unterhaltungen', 'gespräche', 'fäden', 'gespräch', 'unterhaltung', 'gewinde', 'themen']"
글씨체,"['handschrift', 'schriftzug', 'handschriften', 'aufschrift']"
가슴,"['kommode', 'truhe', 'muttermilch', 'brüste', 'brust', 'brustkorb', 'brüsten', 'busen', 'stillen']"
드라이,"['trockene', 'trocken', 'trocknen', 'trockenes']"
남편,"['ehemänner', 'mann', 'ehemann', 'gatte']"
차별,"['diskriminierende', 'diskriminierungen', 'diskriminierung', 'diskriminierend', 'diskriminieren']"
단발,"['einzig', 'nur', 'einzige', 'einzigen', 'lediglich']"
수선화,['narzissen']
피로,"['erschöpfung', 'müdigkeit', 'ermüdung']"
나팔,"['posaune', 'trompeter', 'trompete', 'trompeten']"
분할,"['teilt', 'aufteilen', 'teilung', 'teilen', 'partitionen', 'geteilt']"
아까,"['zuvor', 'frühere', 'vorhin', 'früher']"
미분,"['derivate', 'differenz', 'derivat', 'ableitung', 'abgeleitete']"
기숙사,"['wohnheim', 'schlafsaal']"
교황,"['papst', 'päpste']"
국민,"['nationen', 'menschen', 'nationalen', 'nationale', 'nationaler', 'personen', 'leute']"
진술,"['anweisung', 'aussage', 'erklärung']"
밸런스,"['bilanz', 'gleichgewicht', 'waage']"
스테로이드,['steroide']
소대,['zug']
낚시,"['fischen', 'angeln', 'fischerei', 'fischfang']"
인터내셔널,"['internationalen', 'internationale', 'internationaler']"
승리,"['gewinne', 'gewinnen', 'gewinn', 'siegen', 'sieg']"
자석,"['magnete', 'magneten']"
방황,['umher']
통치자,"['herrscher', 'machthaber']"
무지,"['unkenntnis', 'unwissenheit', 'ignoranz']"
컴뱃,"['kampf', 'bekämpfung', 'bekämpfen']"
창문,"['schaufenster', 'fenster']"
아스팔트,['bitumen']
청색,"['blaue', 'blau', 'blauen']"
배수지,['abfluss']
파이팅,"['kämpfen', 'kämpfe', 'kampfhandlungen', 'bekämpfen']"
생리학,['physiologie']
소변,"['pinkeln', 'urin', 'urinieren']"
센서,['sensoren']
치프,"['chef', 'häuptling']"
관찰자,"['beobachtern', 'beobachterstatus', 'beobachter', 'betrachter']"
레즈비언,"['lesbisch', 'lesbe', 'lesben']"
입출력,"['eingaben', 'eingabe', 'eingang']"
물개,"['dichtung', 'dichtungen', 'versiegeln', 'gütesiegel', 'siegel']"
개척자,"['pionier', 'pioniere', 'vorreiter', 'wegbereiter']"
