German,Korean
erhalten,"['받았습니다', '받음', '받기', '수신', '받은']"
erkenntnis,"['지각', '통찰력', '인사이트', '인식']"
erklärung,"['성명서', '설명', '진술', '선언']"
ernst,"['심각하게', '진심', '심각해', '진지하게', '심각한', '어니스트', '심각하다']"
erwartung,['기대']
essen,"['음식', '음식점', '푸드', '먹기', '식당', '식품', '레스토랑', '식량', '먹어']"
evangelisch,"['개신교', '루터교']"
experimentell,['실험']
experte,['전문가']
extrem,"['극단', '익스트림', '극한', '극도로']"
extremismus,['극단주의']
exzellent,['훌륭한']
fahren,"['드라이빙', '운전', '드라이브']"
fallen,"['트랩', '떨어지고', '떨어짐', '떨어지지', '떨어지는']"
fallenlassen,"['드롭', '떨어뜨리기', '방울']"
falsch,"['잘못된', '가짜', '거짓']"
familie,"['가족과', '식구들', '패밀리', '가족']"
familien,"['가족과', '패밀리', '가족']"
fantasie,"['판타지', '상상', '상상력', '환상']"
farbe,"['색상', '컬러', '색깔', '페인트', '페인팅']"
farben,"['색깔', '컬러', '색상', '페인트']"
fassung,['버전']
fast,['거의']
fehlen,"['부재', '부족', '실종', '누락', '결석']"
fein,['미세먼지']
feld,"['필드', '현장', '박스', '상자']"
felder,['필드']
fernsehen,['텔레비전']
fertig,"['완료되었습니다', '준비', '완료']"
fest,"['솔리드', '고체', '입체', '단색', '타이트']"
fett,"['살찐', '대담', '뚱뚱한', '굵은', '그리스', '지방', '굵게']"
fetten,"['지방', '살찐', '뚱뚱한']"
feucht,"['젖어', '촉촉한', '젖은', '습작', '습윤', '습기']"
feuerwehr,"['화재', '소방관', '불화']"
fighter,"['파이터즈', '파이터', '파이터스']"
figur,"['문자', '캐릭터', '인물', '성격']"
filmen,"['영화', '필름']"
finanzieren,"['펀드', '기금']"
finden,['찾기']
fischen,"['생선', '낚시', '피시', '피쉬', '물고기']"
flecken,"['패치', '반점', '얼룩', '스팟']"
flugzeug,"['평면', '항공기', '비행기']"
flur,"['복도', '코리더']"
flächen,"['플롯', '표면', '영역']"
flüssig,"['리퀴드', '수분', '수액', '액체']"
folgen,"['팔로우', '에피소드']"
folgend,['팔로우']
form,"['형태', '곰팡이', '모양']"
formen,"['양식', '모양']"
forschung,"['조사', '연구']"
fortbildung,"['트레이닝', '훈련']"
fortschrittlich,"['프로그레시브', '진보주의']"
fragen,['질문']
französisch,"['프랑스어', '프렌치', '프랑스', '프랑스인']"
frau,"['와이프', '여인', '여성', '여자', '아내', '마누라']"
frei,"['자유', '무료']"
freiwillig,"['자원봉사자', '자원봉사', '자발적']"
fremd,"['이방인', '에이리언', '외계인']"
freund,"['남자친구', '남친', '보이프렌드', '친구']"
frieden,"['피스', '휴전', '평화']"
früh,"['초기', '일찍']"
fugen,['관절']
funken,"['스파크스', '스파크']"
funktion,"['함수', '기능']"
förderer,"['후원', '후원자', '스폰서']"
fühlen,"['느낌', '기분', '느낌이']"
führen,['리드']
galerie,"['갤러리', '화랑']"
ganz,['상당히']
gattung,['종족']
geben,"['입력합니다', '입력', '입력하기']"
gebäude,"['건물들', '건축물', '빌딩', '건축', '건물']"
geeignet,['어울리는']
gefühl,"['감정', '느낌이', '정서', '기분', '감각', '느낌']"
gegeben,['주어진']
gegensatz,"['콘트라스트', '대비', '모순']"
geheim,"['비밀', '시크릿']"
geist,"['유령', '정신', '귀신', '스피릿', '스피리츠', '고스트', '마음']"
gelb,"['앰버', '호박', '황색', '노랑색', '노랑', '노란색']"
geld,"['캐시', '머니', '현금', '돈이']"
gelände,['지형']
geländer,['레일']
gemeinde,"['커뮤니티', '공동체']"
gemeinden,['코뮌']
gemeinschaft,"['커뮤니티', '공동체']"
gemäßigt,['적당히']
gen,['유전자']
genau,"['정확하게', '정확히']"
genauigkeit,"['정확성', '정확도', '정밀', '정밀도']"
gens,['유전자']
geraten,['추측']
gern,['기꺼이']
gerne,"['행복', '기꺼이', '행복하다', '행복해', '행복한', '해피']"
gerät,"['어플', '장치', '단말기', '기기']"
gesamt,"['전체', '전체적으로', '총액', '전반', '합계', '전반적으로']"
geschichte,"['히스토리', '스토리', '기록', '소식', '역사', '이야기', '내역']"
geschwindigkeit,"['속력', '페이스', '템포', '속도', '스피드']"
geschäft,"['상점', '트랜잭션', '스토어', '업체', '비즈니스', '매장', '사업', '가게', '거래', '쇼핑']"
gesellschaft,"['기업', '컴퍼니', '회사', '사회']"
gesellschafter,"['파트너', '주주', '파트너는']"
gestalten,['조성']
gestern,['어제']
gewebe,"['조직', '직물']"
gewinnung,['추출']
gift,['독도']
gitarrist,['기타']
gleich,"['같은', '똑같이', '평등', '같음', '동일']"
gleichen,"['평등', '동일', '같은', '똑같이']"
gleise,"['플랫폼', '트랙']"
grau,"['회색', '그레이']"
griechisch,"['그리스어', '그리스']"
groß,['대형']
grund,"['원인', '이유']"
gruppe,"['그룹', '집단']"
gruppen,"['그룹', '집단']"
gruppierung,"['그룹', '집단']"
größe,"['크기', '사이즈', '키는', '높이']"
grün,"['녹색', '초록색', '녹색당', '초록', '그린']"
gründen,['이유']
gründer,"['창시자', '설립자', '창립자']"
gut,"['좋다', '미세먼지']"
gälisch,"['아일랜드인', '아일랜드어']"
hand,['손바닥']
handeln,['연기']
hart,"['힘든', '어려워', '하드', '터프', '열심히']"
haushalts,"['집안', '가구']"
hebräisch,"['히브리어', '히브리']"
heilig,"['거룩', '거룩한']"
heimat,"['가정', '집으로', '조국', '집에', '고향']"
hell,"['밝게', '밝은', '밝아', '밝고']"
herrschen,"['판결', '통치']"
herzen,"['심장', '하트', '마음']"
hexadezimal,['진수']
hier,"['여기', '여기에']"
hilfe,"['원조', '도움말', '도움']"
hilfreich,"['유용하다', '유용', '유용합니다']"
hinter,['뒤에']
hobby,['취미']
hoch,"['높음', '하이']"
hochhaus,['타워']
hof,"['농장이', '법정', '농장', '마당', '재판소', '법원']"
horizontal,"['수평', '수평으로']"
hubschraubern,['헬리콥터']
häufig,"['자주', '잦은']"
höhen,"['트레블', '고도']"
ideen,"['생각', '아이디어']"
identifizierung,"['신분증', '식별', '증명']"
implementierung,['구현']
inch,['인치']
indirekt,['간접']
individuell,"['개인', '개별', '개별적으로']"
industrie,"['공업', '산업', '업계']"
informatiker,['과학자']
ingenieur,"['공학', '공학자', '엔지니어링', '엔지니어', '기술자']"
innen,"['내부', '인사이드']"
inoffiziell,['비공식']
inspektor,"['조사관', '검사관', '경감']"
instandsetzung,"['재활', '수리']"
intensität,"['강도', '강조']"
interessant,"['재미있는', '흥미롭다', '흥미로운']"
interesse,"['이자', '흥미', '관심사', '관심']"
intern,['내부']
ionischen,['이오니아']
italienisch,"['이탈리아', '이탈리아인', '이탈리아어']"
jacken,"['재킷', '자켓']"
jahr,['연도']
japanisch,"['일본', '일본어', '일본인']"
journalismus,['저널리즘']
journalist,"['기자', '리포터']"
jung,"['영영', '젊은']"
jüdisch,"['유대인', '유대교']"
kabeln,['케이블']
kaiser,"['황제', '천황']"
kaiserlich,['임페리얼']
kalt,"['차가운', '춥다', '추위', '감기']"
kalzium,['칼슘']
kampf,"['싸우다', '싸워', '싸워라', '투쟁', '싸움', '싸우기', '전투', '배틀', '컴뱃']"
kanten,"['엣지', '가장자리', '모서리']"
kapitel,['챕터']
kapseln,['캡슐']
kaputt,"['깨진', '생김', '부러진', '깨짐']"
karten,"['카드', '지도', '차트', '티켓']"
katalanischen,"['카탈루냐', '카탈루냐어']"
katholisch,"['가톨릭주의', '가톨릭']"
kcal,['칼로리']
kein,['아님']
kfz,['자동차']
kind,"['아이유', '영아', '키드']"
kinder,"['아동', '어린이들', '애들', '어린이', '자녀', '아이들', '키즈']"
kino,"['극장', '연극', '영화관', '영화', '시네마']"
klassen,"['카테고리가', '클래스', '계급', '학급', '분류', '카테고리', '범주', '수업']"
klassifikation,"['분류', '분류법', '분류학']"
klassisch,"['고전주의', '클래식', '빈티지', '고전']"
klauen,"['발톱', '도둑질', '훔쳐']"
klein,"['작아', '소작', '리틀']"
kloster,"['수도원', '수녀원']"
kommen,['출시']
kommunal,['시영']
kommunikation,"['의사소통', '소통', '커뮤니케이션', '통신', '커뮤니케이션스']"
kompatibel,['호환']
komponist,['작곡가']
komponistin,['작곡가']
konservativ,"['보수', '보수주의', '보수당']"
konstrukteur,"['디자이너는', '디자이너', '설계자', '디자이너가']"
konstruktion,"['설계', '공사', '건축', '디자인', '건설']"
kontrast,"['콘트라스트', '대비']"
konzept,"['컨셉', '접근법', '접근', '개념']"
kraft,"['권력', '포스', '체력', '파워', '강제', '전력']"
kreisen,"['순회', '서클']"
kriegen,['전쟁']
kritik,"['평론', '비판', '비평가', '비평']"
kultur,"['문명', '문화']"
kunden,"['고객', '클라이언트']"
kunst,"['아트', '미술', '예술']"
kurs,"['코스', '과정']"
kurz,"['간략하게', '짧게', '쇼트', '짧은']"
königlich,"['로얄', '로열']"
körperlich,"['물리', '물리적']"
künstler,"['음악가', '예술가', '아티스트', '공연자', '아티스트가', '연기자']"
lachs,['연어']
laden,"['로딩', '상점', '로드', '스토어', '매장', '가게']"
lagern,"['캠프', '웨어하우스', '창고']"
land,"['국가', '나라', '컨트리', '시골']"
landschaft,"['시골', '조경', '풍경', '경치', '경관']"
langsam,"['천천히', '느리게', '느린', '느려']"
lateinisch,"['라틴어', '라틴']"
laufen,"['런닝', '실행', '달려', '달리기']"
leben,"['라이프스타일', '라이프', '인생', '생방송', '생명', '생활', '라이브']"
lebend,"['라이브', '생방송']"
lebewesen,['미생물']
lecker,"['맛있다', '냠냠', '맛있는']"
leeren,['비어']
legierung,['합금']
lehren,"['교사', '가르침', '강습', '교육', '수업', '레슨', '가르쳐']"
lehrer,"['교사', '교사들', '스승', '가정교사', '선생님', '강사']"
leicht,"['약간', '쉽게', '쉬워', '쉬운', '가벼운', '아쉬운', '가벼움', '라이트', '가볍게']"
leidenschaftlich,"['열정', '열정적인']"
leiter,"['리더', '머리', '지도자', '헤드', '사다리']"
leitung,"['디렉터', '지도력', '리더십', '감독']"
lernen,"['배운다', '배워', '학습']"
licht,"['불빛', '가벼운', '가벼움', '라이트', '조명', '가볍게']"
liebhaber,"['연인들', '애인', '연인']"
liga,"['동맹', '리그']"
linker,"['좌파', '왼쪽']"
links,"['좌파', '왼쪽']"
literatur,['문학']
lokal,"['로컬', '현지', '국소']"
luft,"['에어', '공기', '항공우주', '항공']"
lächeln,"['미소', '스마일', '웃어']"
längen,"['경도', '길이']"
lösung,"['해결책', '솔루션']"
magazin,"['매거진', '잡지']"
mal,"['한번', '타임즈', '타임스']"
malen,"['페인트', '페인팅']"
manager,['매니저']
manuskript,['사본']
marke,"['상표권', '표시', '마크', '마르크', '상표', '브랜드']"
marsch,"['행진', '행진곡', '마시', '습지']"
materialien,"['재료', '물질', '소재']"
maßnahmen,"['측정', '대책', '액션', '작업', '행동', '활동', '동작', '조치']"
mechanisch,['기계']
medizinisch,"['의료', '의학']"
meer,"['오션', '바다', '해변']"
meisterwerk,['걸작']
mengen,"['볼륨', '수량']"
mensch,"['남자', '인간들', '사람', '인간인', '남성', '인간', '인체']"
messgerät,"['궤간', '미터']"
met,['미드']
meter,['미터']
militärisch,['군사']
miliz,['민병대']
minute,"['민아', '민수', '민지']"
missbrauch,"['남용', '학대', '악용']"
mit,"['사용하기', '함께']"
mittel,"['미디어', '자원', '중간', '리소스', '기금', '미디엄', '자금', '펀드']"
mittler,"['중재', '중재자', '중개', '중개인']"
mobil,['모바일']
modell,"['모형', '모델']"
moderator,['발표자']
moderatorin,['발표자']
monde,['위성']
motor,['엔진']
musik,"['뮤직', '음악']"
musikalisch,['뮤지컬']
muttern,['땅콩']
mythen,['신화']
mächtig,"['강력하다', '강력', '강력한']"
mädchen,"['걸스', '소녀', '소녀들']"
männern,"['멘트', '남자', '남성']"
männlich,"['수컷', '남성']"
möglich,"['가능', '가능성', '가능한']"
mühlen,['밀스']
mündlich,['구강']
nacht,"['나이트', '밤에']"
nackt,['누드']
nah,"['닫아', '닫습니다', '닫기', '근처']"
nahen,"['중간', '가운데']"
namen,['이름']
natur,['자연']
naturpark,"['파크', '공원']"
natürlich,"['코스', '자연스럽게', '과정', '자연적으로']"
negativ,"['원판', '음성', '부정적', '음수']"
netzwerken,"['네트워킹', '네트워크']"
nicht,['아님']
nichts,['아무것도']
niederländisch,"['네덜란드', '네덜란드령', '네덜란드인', '네덜란드어']"
niedrig,"['낮음', '낮은']"
nigger,['흑인']
nord,"['북쪽', '노스', '북부']"
norwegisch,"['마케도니아어', '마케도니아', '노르웨이', '노르웨이어', '마케도니아인']"
nutzen,"['이득', '유용', '유틸리티', '혜택']"
nutzung,"['이용하기', '이용', '사용하기', '사용', '사용하다', '착취', '활용', '사용법', '사용량']"
nähen,"['스티치', '바느질']"
nützlich,"['유용하다', '유용', '유용합니다']"
oben,"['위층', '윗층', '인기']"
ober,"['종업원', '웨이터']"
oberseite,['인기']
objekt,"['대상', '객체', '개체', '천체']"
objektiv,"['렌즈', '목적', '목표']"
offen,"['오픈', '열기']"
oper,['오페라']
ops,['수술']
orchester,"['교향악단', '오케스트라']"
organe,['장기']
organisation,"['단체', '조직', '기구']"
orientierung,"['방향', '오리엔테이션', '지향']"
original,['오리지널']
osten,"['이스트', '동쪽', '동부', '동방']"
oxid,"['산화', '산화물']"
packung,"['소포', '패키지', '패킷']"
papier,"['종이', '용지', '페이퍼']"
parlament,"['의회', '국회', '국민의회']"
partei,['파티']
per,['비아']
persisch,"['페르시아', '페르시아어', '페르시안', '페르시아인']"
personal,"['직원들', '스탭', '직원']"
pfade,"['흔적', '트레일', '경로', '궤적']"
pfaden,['경로']
pfanne,['냄비']
pflanzen,"['식물', '공장', '식물학']"
pflicht,"['의무', '듀티', '필수']"
piste,"['활주로', '경사', '런웨이']"
pistole,"['권총', '피스톨', '리볼버']"
pixeln,['픽셀']
planung,"['설계', '프로그래밍', '기획', '플래닝', '디자인', '계획', '스케줄링']"
pläne,"['계획', '플랜']"
polen,"['폴란드인', '폴란드']"
politik,"['정치', '정치학', '정책', '방침']"
politisch,"['정치적', '정치']"
polnisch,"['폴란드', '폴란드어']"
pop,['팝스']
positiv,"['긍정적', '양수', '긍정', '긍정적인']"
post,"['우편', '메일', '편지']"
praktisch,"['편리', '실용적', '편리하다', '실용', '실무']"
praxis,"['실무', '연습', '연습생', '실용', '실용적']"
privat,"['비공개', '비공개로']"
produkt,"['상품', '제품']"
produktion,"['생산', '프로덕션', '제작', '제조업', '제조', '프로덕션스', '출력']"
produzent,"['프로듀서', '제작자']"
prognose,"['예측', '예보']"
progressiv,"['프로그레시브', '진보주의']"
prozessen,['프로세스']
punkten,"['지점', '반점', '포인트', '점수']"
pur,"['순수', '순수한', '깔끔하게', '깔끔한']"
quellen,"['스프링스', '스프링', '출처', '소스']"
quer,['건너편']
raten,['추측']
rechnung,"['계정', '계좌', '청구', '윌리엄']"
recht,"['법칙', '법률', '오른쪽', '법학']"
rechteckig,"['직사각형', '사각형']"
rechts,['오른쪽']
redakteur,"['편집기', '에디터', '편집자']"
reflexion,"['반영', '반사']"
regal,['선반']
regeln,"['규칙', '규정']"
regie,"['연출', '감독']"
regisseurin,"['디렉터', '감독']"
regulierung,"['규제', '규정']"
reich,"['엠파이어', '제국', '왕국', '부자']"
reichen,['부자']
reihen,"['계급', '시리즈']"
reinigung,"['정화', '클리닝', '청소', '세탁소']"
rennen,"['인종', '경쟁', '레이싱', '경주', '레이스']"
repariert,['고정']
ressource,"['리소스', '자원']"
rezension,"['검토하기', '검수', '검토', '리뷰']"
richtig,"['정답', '올바른', '오른쪽']"
richtung,['방향']
rippen,"['찢어', '갈비', '갈비뼈']"
risiken,"['위험', '리스크']"
rollen,"['롤스', '역할', '롤러']"
rosa,"['핑크', '분홍', '분홍색']"
rot,"['붉은색', '레드', '빨간색', '빨강', '붉은']"
rund,"['라운드', '주변', '주위']"
russisch,"['러시아인', '러시아어']"
salzen,['소금']
satz,"['어구', '구문', '평가', '세트', '비율', '설정', '문장', '집합']"
sauber,"['깨끗한', '깨끗하다', '청소']"
saugen,"['흡입', '빨아']"
schacht,"['트레이', '샤프트', '쟁반']"
schale,"['요리', '접시', '사발', '그릇', '껍질']"
schauen,['표정']
schaum,['거품']
schauspielern,['연기']
schicksal,['운명']
schlecht,"['나쁜', '심하게', '불쌍한', '나쁘다']"
schließen,"['닫힘', '닫기', '폐쇄', '닫아', '닫습니다']"
schlimm,"['나쁘다', '나쁜']"
schnee,['스노우']
schnell,"['빠른', '빨라', '빠름', '스위프트', '빠르게', '빠르다']"
schrauben,['볼트']
schreiben,"['글쓰기', '편지', '쓰기']"
schwarz,"['검정색', '블랙', '검정', '검은색']"
schwarzweiß,"['모노크롬', '흑백']"
schwedisch,"['스웨덴어', '스웨덴', '스웨덴인']"
schwer,"['힘든', '어려워', '하드', '어려운', '무거움', '터프', '무거워', '무거운', '어려움', '열심히', '무겁게']"
schwerpunkt,"['집중', '초점', '포커스', '강조', '집중하기']"
schwerwiegend,"['심각해', '심각하게', '심각한', '심각하다']"
schön,"['아름다워', '아름답다', '아름다운', '나이스']"
scrollen,['스크롤']
sechs,['여섯']
seen,['호수']
sein,['그의']
seit,"['이후부터', '이후', '언제부터']"
seitlich,"['측면', '사이드']"
seminar,['신학교']
senden,"['송금', '전송', '제출합니다', '제출', '보내기', '보냅니다']"
serien,"['시리얼', '직렬']"
sicher,"['무사히', '안전', '안전한', '확실히', '보안']"
siegen,['승리']
singen,['노래']
sinnen,['감각']
sinnvoll,['의미있는']
sitzen,"['착석', '앉은', '앉아']"
slip,['팬티']
slowakisch,"['슬로바키아어', '슬로바키아인', '슬로바키아']"
soldat,"['군인', '병사']"
sozial,"['사회적', '사회주의', '사회']"
spanisch,['스페인어']
speichern,"['상점', '스토어', '저장하기', '매장', '가게', '절약', '저장']"
spektrum,['스펙트럼']
speziell,"['특별히', '특히', '구체적으로']"
spiel,"['일치합니다', '매치', '일치', '플레이', '재생', '놀기', '경기', '일치하기', '연주', '게임']"
spielen,"['갬블', '플레이', '재생', '놀기', '도박', '연주', '게임']"
sporen,['스퍼스']
sprache,"['연설', '언어', '음성']"
sprechen,['말하기']
spruch,['철자']
spät,"['지각', '늦은', '늦게']"
stabil,"['안정환', '안정적', '안정화', '안정']"
stabilität,"['안정성', '안정']"
stamm,"['트렁크', '부족', '줄기']"
standard,"['기본값', '기본']"
standort,"['사이트', '위치']"
stark,"['강한', '스트롱', '강력하게']"
statt,"['대신에', '대신']"
status,['상태']
sterben,['죽는다']
stern,"['항성', '스타']"
steuern,"['세금', '제어', '통제', '제어하기', '납세', '컨트롤']"
stift,"['연필', '고정']"
stiftung,"['재단', '파운데이션']"
stil,"['스타일스', '스타일']"
stoff,['물질']
strategien,['전략']
strecken,"['노선', '경로']"
strom,"['전기', '전력']"
struktur,"['텍스처', '질감', '구조', '구조물']"
strumpfhosen,['팬티']
studie,"['연구', '공부해', '공부하기', '공부']"
ständig,"['지속적으로', '연속', '끊임없이', '지속']"
suite,['스위트']
surfen,"['서핑', '서프']"
sympathisch,['사교']
syndrom,['증후군']
system,"['체계', '시스템']"
sänger,"['싱어', '보컬', '가수']"
süd,"['남방', '사우스', '남쪽', '남부']"
südlich,"['남쪽', '사우스', '남부']"
südwestlich,"['남서부', '사우스웨스트', '남서']"
südöstlich,"['동남아', '남동', '남동부']"
süß,"['귀여워', '달콤한']"
tafel,['칠판']
tafeln,"['알약', '패널', '보드', '테이블']"
tagen,['데이즈']
tages,"['하루', '데이']"
taschen,"['주머니', '가방']"
taschenbuch,['페이퍼백']
tasten,"['단추', '열쇠', '버튼', '키키']"
tausende,"['수천만', '수천']"
taxis,['택시']
technik,"['기술', '공학', '엔지니어링', '기법', '테크']"
techniker,"['공학자', '엔지니어', '기술자']"
technisch,"['테크니컬', '기술적', '기술']"
technologie,"['기술', '테크']"
technologien,['기술']
telefon,"['전화기', '전화', '전화번호', '휴대폰']"
temperatur,"['온도', '임시', '체온', '기온']"
teuer,"['비싸다', '비싼']"
theater,"['영화관', '극장', '연극']"
themen,"['문제', '대화', '이슈', '과목', '쟁점', '스레드', '테마', '주제']"
theoretisch,['이론']
theorie,['이론']
thermometer,['온도계']
tief,"['깊게', '깊은']"
tieren,"['동물들', '동물']"
tod,"['데스', '죽음', '사망']"
ton,"['클레이', '사운드', '오디오', '소리']"
tor,"['게이트웨이', '대문', '게이트']"
total,['완전히']
trainer,"['트레이너', '코치']"
transaktion,"['거래', '트랜잭션']"
transparenz,"['투명도', '투명성', '투명', '투명한']"
traum,['드림']
