Korean,English
결혼,"['marry', 'married', 'marriage', 'marriages']"
발발,"['foot', 'feet']"
소외,['alienation']
익사,"['drowning', 'drown', 'drowned']"
자기,['babe']
휠러,['wheeler']
게오르기,['georgy']
벤처,['venture']
침투,"['penetrate', 'penetration']"
아방가르드,['avantgarde']
사상자,['casualties']
수신,"['incoming', 'receiving']"
후지오카,['fujioka']
피시,['fish']
젓가락,"['chopsticks', 'chopstick']"
희귀,['rare']
미션,"['mission', 'missions']"
칵테일,"['cocktails', 'cocktail']"
클럽하우스,['clubhouse']
캠퍼스,"['campus', 'campuses']"
오션,['ocean']
볼트,"['vault', 'bolt', 'bolts']"
트레킹,['trekking']
고무,['rubber']
감정,"['emotion', 'emotional', 'emotions', 'feelings']"
사멸,['extinct']
두려움,['fear']
비교,"['comparison', 'compare', 'comparisons']"
울림,['ringing']
카푸치노,['cappuccino']
보건,['health']
마커,"['marker', 'markers']"
굴욕,"['humiliating', 'humiliation']"
점령,"['occupied', 'occupation']"
다이얼,['dialer']
나이트클럽,['nightclub']
일원론,['monism']
장치,"['device', 'devices']"
다이어그램,"['diagram', 'diagrams']"
중성자,"['neutrons', 'neutron']"
사실,"['facts', 'fact', 'actually']"
민수,['min']
럼블,['rumble']
부츠,"['boot', 'boots']"
디즈니,['disney']
다중,"['multiple', 'multitude']"
삼각형,"['triangle', 'triangular', 'triangles']"
바딤,['vadim']
통제,"['control', 'controls']"
다기능,"['multifunctional', 'multifunction']"
픽셀,"['px', 'pixel', 'pixels']"
민족,['peoples']
거의,['almost']
프로그래밍,['programming']
진흙,['mud']
직통,['direct']
상대방,['counterparty']
계절풍,['monsoon']
게임,"['gaming', 'game', 'games']"
소재,['material']
위선,"['hypocrites', 'hypocritical', 'hypocrisy']"
수확,['harvest']
추구,"['pursue', 'pursuit']"
보호,"['protect', 'protective', 'protection', 'protecting', 'protected']"
복사기,"['copiers', 'copier', 'photocopier']"
평범,"['plain', 'ordinary', 'normal']"
맞춤법,['spelling']
리포터,['reporter']
도자기,"['pottery', 'porcelain', 'ceramic', 'ceramics']"
라이브러리,"['libraries', 'library']"
구경,['tour']
귀신,"['ghost', 'ghosts']"
진정제,['sedative']
플럭스,['flux']
봉투,"['envelope', 'envelopes']"
올가미,['noose']
매너,['manners']
정원사,['gardener']
프리큐어,['precure']
회원,['member']
연령,"['age', 'ages']"
코코넛,"['coconut', 'coconuts']"
밀크,['milk']
중국인,"['china', 'chinese']"
성단,['cluster']
콘서트,"['concert', 'concerts']"
여성,"['woman', 'females', 'female', 'women']"
온도계,"['thermometers', 'thermometer']"
적립,"['earn', 'earning']"
상상,"['imagination', 'imaginary', 'imagined', 'imagine']"
새우,"['shrimps', 'prawns', 'shrimp']"
경멸,"['despise', 'contempt']"
목재,['wood']
복구,"['restore', 'recover', 'recovery', 'recovering']"
스프링,"['spring', 'springs']"
보관,"['archiving', 'archive']"
보스,['boss']
분홍,['pink']
야채,"['vegetable', 'vegetables']"
안락사,['euthanasia']
고고학,"['archeology', 'archaeological', 'archaeology', 'antiquities']"
결정,"['deciding', 'decision', 'decisions', 'decide']"
루푸스,['rufus']
자스민,['jasmine']
경주,"['races', 'race', 'racing', 'gyeongju']"
공간,"['spaces', 'space']"
다수,['majority']
설립,"['founded', 'established', 'establishment']"
첼로,['cello']
작센,['saxony']
음료,"['beverage', 'drink', 'liquids', 'beverages', 'drinks']"
화씨,['fahrenheit']
화강암,['granite']
아날로그,"['analogue', 'analog']"
점성,['viscosity']
동방,['eastern']
건축학,['architecture']
투자,"['investing', 'invest', 'investments', 'investment']"
화상,"['burned', 'burns', 'burn']"
배포,"['deploy', 'distribute', 'deployment', 'distribution']"
생명,"['life', 'lives']"
러브,['love']
절차,"['process', 'procedures', 'procedure']"
서포터,['supporter']
시골,"['countryside', 'country']"
회개,"['repentance', 'repents', 'repent']"
통치,['reign']
스마트폰,"['smartphone', 'smartphones']"
질식,"['asphyxia', 'choke']"
스파이더,['spider']
침범,"['intrude', 'trespass']"
굶주림,"['starvation', 'hunger']"
신뢰,"['trustworthy', 'confidence', 'trust', 'trusted']"
곤란,['difficulties']
데뷔,"['debut', 'debuted']"
기형,['deformity']
향기,"['scent', 'fragrance']"
자작,['viscount']
녹음,"['recording', 'record', 'recordings', 'recorded', 'melt']"
발견,"['discover', 'discovering', 'discovery']"
토시,['toshi']
섀시,['chassis']
워크맨,['walkman']
트레일러,"['trailers', 'trailer']"
발명가,['inventor']
리조트,"['resort', 'resorts']"
비디오,"['video', 'videos']"
베릴륨,['beryllium']
수어,['sioux']
검사,"['inspection', 'testing', 'examination']"
고대,"['ancient', 'antiquity']"
손가락,"['fingers', 'finger']"
게릴라,['guerrilla']
가운데,"['centred', 'centered', 'middle']"
클릭,"['click', 'clicks']"
오후,"['afternoon', 'pm']"
잡지,"['magazine', 'magazines']"
총격,"['shooting', 'gunfire']"
장애인,"['handicapped', 'disability']"
역행,['retrograde']
치료,"['treatments', 'cure', 'therapy', 'treatment']"
음식,"['food', 'foods']"
시멘트,['cement']
나열,['listed']
계산기,"['calculators', 'calculator']"
금성,['venus']
쥬스,"['juice', 'juices']"
스위트,"['suite', 'suites']"
시바타,['shibata']
폭동,"['riots', 'uprising', 'riot']"
스캔,"['scanning', 'scans', 'scan']"
후드,['hood']
탈출,"['escaping', 'escape']"
생쥐,"['mice', 'mouse']"
자살,"['suicide', 'suicidal', 'suicides']"
계란,"['eggs', 'egg']"
칼륨,['potassium']
언어,"['languages', 'language']"
여배우,"['actresses', 'actress']"
가정교사,"['tutor', 'tutors', 'tutoring', 'governess']"
코브라,['cobra']
낙태,"['abortion', 'abortions']"
이스트,['east']
노래,"['sing', 'songs', 'singing', 'song']"
미코얀,['mikoyan']
요구르트,"['yogurt', 'yoghurt']"
하버,['harbour']
우리,"['we', 'us']"
소유,"['own', 'owned']"
의학,"['medicine', 'medical']"
스프린트,['sprint']
트레이닝,['training']
스윙,"['swinging', 'swing']"
수출,"['exports', 'export']"
디코더,['decoder']
트렁크,"['trunks', 'trunk']"
쌍둥이,"['twin', 'twins']"
타나카,['tanaka']
지표면,['surface']
양성,['benign']
응시,"['stared', 'staring']"
태블릿,['tablet']
췌장,"['pancreatic', 'pancreas']"
암시,['imply']
수달,['otter']
무도회,['prom']
산딸기,['berries']
캐피털,"['capitals', 'capital']"
의심,"['suspicious', 'doubtful', 'doubt', 'suspicion', 'doubts', 'suspected']"
식물,"['plants', 'plant', 'vegetation']"
구출,"['rescue', 'rescues']"
삼위일체,['trinity']
바구니,"['basket', 'baskets']"
미사토,['misato']
성관계,"['intercourse', 'sex']"
순례,['pilgrimage']
소방관,"['firemen', 'firefighter', 'fireman']"
돌고래,"['dolphin', 'dolphins']"
토성,['saturn']
유로,['euro']
행진곡,['march']
강박증,['ocd']
채팅,"['chats', 'chatting', 'chat']"
그램,"['gram', 'grams']"
셰이크,"['sheikh', 'sheik']"
버릇,['habit']
콜리세움,['coliseum']
계정,"['account', 'accounts']"
클래식,"['classical', 'classic']"
멋쟁이,['bullfinch']
헬보이,['hellboy']
탐험가,['explorers']
속삭임,"['whispered', 'whisper', 'whispering', 'whispers']"
튀김,"['fried', 'tempura']"
상거래,['commerce']
개발자,"['developers', 'developer']"
연락처,"['contact', 'contacts']"
급성,['acute']
어려움,"['difficulty', 'difficulties', 'difficult']"
연회장,['banquet']
파일,"['files', 'file']"
평등,"['equality', 'equal']"
웨딩,['wedding']
무지,['ignorance']
내시경,['endoscopy']
이혼,"['divorce', 'divorced', 'divorcee']"
제독,['admiral']
독감,['flu']
추진,['propulsion']
문맥,['context']
총기,['guns']
우주선,['spacecraft']
로리타,['lolita']
파이널,"['final', 'finals']"
허구,"['fictional', 'fiction']"
고어,['gore']
안식일,"['shabbat', 'sabbath']"
계곡,"['gorge', 'valley']"
스톤,['stone']
프로덕션스,['productions']
관련,"['relevant', 'related']"
펀드,"['fund', 'funds']"
경험,"['experienced', 'experiences', 'experience']"
피부염,['dermatitis']
폭풍우,['storm']
레슨,"['lessons', 'lesson']"
상표,"['trademark', 'trademarks']"
벤츠,['benz']
패드,"['pads', 'pad']"
사전,"['dictionaries', 'dictionary']"
타이어,"['tires', 'tyres', 'tyre', 'tire']"
디펜스,"['defense', 'defence']"
데코,['deco']
수면,['sleep']
결심,"['decides', 'decided']"
비스타,['vista']
밧줄,"['rope', 'ropes']"
수사,"['investigation', 'investigations']"
룸메이트,"['roommate', 'roommates', 'flatmate']"
주행,['odometer']
귀하,['you']
입체파,['cubism']
카브레라,['cabrera']
플로라,['flora']
클래스,"['classes', 'class']"
북서부,"['northwestern', 'northwest']"
프로듀스,['produce']
이니셔티브,"['initiatives', 'initiative']"
비자,['visa']
추천,"['suggested', 'recommend', 'suggestions', 'featured', 'recommended', 'recommendations']"
설계,"['designs', 'design', 'designing']"
스타일리스트,['stylist']
오스본,"['osborn', 'osbourne']"
애국자,"['patriot', 'patriots']"
이글,['eagle']
핵분열,['fission']
형태학,['morphology']
국회,['parliament']
하이퍼텍스트,['hypertext']
견본,"['sample', 'specimen', 'samples']"
계급,"['ranks', 'class', 'rank']"
프로,"['professional', 'pro']"
방패,"['shield', 'shields']"
방광,['bladder']
다트,['dart']
애인,"['sweetheart', 'lover']"
습기,"['dampness', 'humid', 'humidity', 'moisture']"
전통,"['traditional', 'tradition', 'traditions']"
혼인,['marriage']
표현,"['representation', 'expressions', 'expression']"
공산주의자,"['communists', 'communist']"
사진기,['camera']
지팡이,"['cane', 'rod', 'wand']"
도구,"['tool', 'tools']"
프로모션,"['promotions', 'promo', 'promotional', 'promos', 'promotion']"
문화,"['culture', 'cultures']"
베란다,"['veranda', 'porch']"
레벨,"['levels', 'level']"
매년,['yearly']
신앙,"['faith', 'belief']"
파트너십,"['partnership', 'partnerships']"
림프,['lymph']
강철,['steel']
마이너,['miner']
국가,"['country', 'state']"
거리,"['distance', 'street', 'streets', 'distances']"
베타,['beta']
레지스터,"['registers', 'register']"
야드,['yards']
분점,"['equinox', 'equinoxes']"
블록,"['bloc', 'blocks', 'block']"
해설자,['voiceover']
논리학,['logic']
시간,"['hours', 'hour', 'time']"
로얄,['royal']
사파타,['zapata']
앵두,['cherries']
배반,"['betray', 'treachery']"
도끼,"['ax', 'hatchet', 'axe']"
강탈,['robbed']
소실,['disappearance']
베수비오,['vesuvius']
순찰,"['patrolling', 'patrols', 'patrol']"
여인,['woman']
랠리,"['rally', 'rallying']"
동물원,"['zoos', 'zoo']"
출력,"['output', 'outputs']"
티타늄,['titanium']
메시징,['messaging']
동적,['dynamic']
간단,['simple']
스코프,['scope']
컴팩트,['compact']
독수리,['eagle']
누적,['cumulative']
관람객,['spectators']
덧셈,['addition']
책갈피,"['bookmark', 'bookmarks', 'favourites']"
양치기,"['shepherd', 'shepherds']"
팩스,['fax']
범위,"['scopes', 'ranges', 'range', 'scope']"
정수기,['purifier']
레무스,['remus']
가득,['full']
날씨,['weather']
칼럼니스트,['columnist']
기부금,"['donation', 'donations']"
조항,"['provisions', 'clause']"
절대,"['never', 'absolute']"
게이트,['gate']
키트,"['kits', 'kit']"
아디,"['addy', 'adi']"
엔터테인먼트,['entertainment']
카리스마,"['charisma', 'charismatic']"
갈매기,"['seagulls', 'seagull', 'gull']"
파월,['powell']
피부색,['complexion']
글쓰기,"['write', 'writing']"
둘째,['second']
하마,"['hippo', 'hippos', 'hippopotamus']"
미용사,"['beautician', 'hairstylist', 'hairdresser']"
이력서,"['resumes', 'resume']"
사쿠라,['sakura']
전공,"['majors', 'major', 'majored']"
이마,"['forehead', 'brow']"
오디션,"['audition', 'auditions']"
본부,['headquarters']
카와구치,['kawaguchi']
비트,"['beat', 'bit', 'bits', 'beats']"
부화,"['hatched', 'hatching']"
중앙값,['median']
동무,['comrade']
신기루,['mirage']
열매,"['berries', 'fruit']"
림프종,['lymphoma']
안전,"['safe', 'safety']"
스모,['sumo']
협주곡,['concerto']
인도,"['indian', 'india']"
산책,['walk']
불화,['fire']
다면체,['polyhedron']
세탁기,['washer']
도검,"['swords', 'sword']"
대사,"['ambassador', 'ambassadors']"
트래픽,['traffic']
패치,"['patches', 'patch']"
소환,"['ring', 'subpoena', 'summoned', 'summons']"
채널,"['channels', 'channel']"
깃발,"['flag', 'flags']"
예상,['expected']
구체,['specific']
어린이,"['kids', 'children']"
기초,"['basis', 'basic']"
전동기,['motor']
농부,"['farmers', 'farmer']"
회피,['avoidance']
제시,"['jessie', 'jesse']"
허스트,['hirst']
보이드,['boyd']
리얼리티,['reality']
탑승,"['boarding', 'aboard']"
시청각,['audiovisual']
타겟,"['audience', 'audiences', 'target', 'targets']"
흑인,['nigga']
준수,"['compliance', 'comply']"
전투,"['battle', 'combat', 'battles']"
비즈니스,"['businesses', 'business']"
포터블,['portable']
게시판,['board']
다운타운,['downtown']
제조업체,"['manufacturers', 'manufacturer']"
라이너,['liner']
왕조,"['dynasties', 'dynasty']"
아침,"['breakfast', 'morning']"
미리보기,"['preview', 'previews']"
공정,['fair']
비디오테이프,['videotape']
투석,"['dialysis', 'stoning']"
급습,['stormed']
숙녀,"['ladies', 'lady']"
구매자,"['buyer', 'purchasers', 'buyers']"
재물,['riches']
조화,"['harmonisation', 'harmonic', 'harmony']"
암호,"['password', 'passwords', 'cipher']"
오징어,['squid']
샤프트,['shaft']
원예,"['horticulture', 'horticultural']"
오리지널,"['original', 'originals']"
레오파르트,['leopard']
엄지손가락,"['thumbs', 'thumb']"
플라스크,['flask']
위안부,['comfort']
소프트웨어,['software']
종교,"['religion', 'religious', 'beliefs', 'religions']"
아민,"['armin', 'amin']"
기사도,['chivalry']
전갈,['scorpion']
학살,['massacre']
경과,['elapsed']
과정,"['process', 'course', 'courses']"
상어,"['sharks', 'shark']"
지름,['diameter']
정리,['theorem']
열정,"['enthusiasm', 'enthusiastic', 'passionate', 'passion', 'passions']"
우려,['concern']
하나,['one']
식욕,"['appetite', 'appetites']"
퇴원,"['discharge', 'discharged']"
의미,"['meaning', 'meanings']"
연어,['salmon']
파업,"['strike', 'strikes']"
바닐라,['vanilla']
쿠르트,['kurt']
콜라보레이션,['collaboration']
아티스트,"['artists', 'artist']"
교정,"['corrective', 'calibration', 'correction', 'corrected', 'braces', 'proofing']"
할아버지,"['grandpa', 'grandfather']"
오아시스,['oasis']
업그레이드,"['upgraded', 'upgrade', 'upgrading', 'upgrades']"
파도,"['waves', 'wave']"
사직,"['resigned', 'resignation']"
다국어,['multilingual']
신자,['believer']
흑사병,['plague']
보리소프,['borisov']
행사,"['occasion', 'events']"
놀이터,"['playground', 'playgrounds']"
브레이커,['breaker']
서블릿,['servlet']
기생충,"['parasites', 'parasite']"
선수,"['players', 'player']"
이슬람교,"['muslim', 'islam']"
버라이즌,['verizon']
스카프,"['scarves', 'scarf']"
학문,['academic']
발레리나,['ballerina']
창문,['window']
낱말,['lexical']
배낭,"['backpack', 'backpacks', 'knapsack']"
매력,"['glamour', 'glamorous', 'allure', 'charm', 'charming']"
하루,['day']
파트너,"['partners', 'partner']"
기자,"['reporters', 'giza', 'journalist', 'journalists', 'reporter']"
위반,"['violation', 'violations', 'violating']"
액세서리,"['accessories', 'accessory']"
추리,"['deduction', 'reasoning']"
톱니바퀴,['gear']
예제,"['example', 'examples']"
사격,['shooting']
훈제,['smoked']
운전,['driving']
고향,['home']
금요일,"['fri', 'friday']"
허니,['honey']
노르드어,['norse']
여우,['fox']
파열음,['rupture']
행성,"['planet', 'planets']"
재혼,"['remarried', 'remarry', 'remarriage']"
소울메이트,['soulmate']
기둥,"['column', 'pillars', 'pillar', 'columns']"
방문자,"['visitors', 'visits', 'visitor']"
인자,"['params', 'arguments', 'factor']"
기념일,"['anniversaries', 'anniversary']"
볼펜,['ballpoint']
생명체,"['organism', 'creature']"
반올림,['rounding']
구라,['kagura']
보존,"['preserve', 'conservation', 'preservation']"
곡사포,['howitzer']
피아노,"['pianos', 'piano']"
팔라완,['palawan']
엽서,"['postcard', 'postcards']"
나카하라,['nakahara']
플레인,['flare']
선불,"['prepaid', 'upfront']"
초보,"['novice', 'beginner']"
포트,"['fort', 'port', 'ports']"
헝가리인,['hungarians']
인구,"['populations', 'population']"
복귀,['return']
적외선,"['infra', 'infrared']"
축적,['accumulation']
헛간,['barn']
일괄,"['bulk', 'batch']"
외투,"['coat', 'overcoat']"
샘슨,['samson']
무스탕,['mustang']
스타일,"['styles', 'style']"
무게,"['weigh', 'weight']"
크리스탈,"['crystal', 'krystal', 'crystals']"
기념비,"['memorial', 'monuments', 'monument']"
천연두,['smallpox']
프랜,['fran']
예산,"['budgeting', 'budget', 'budgets']"
텅스텐,['tungsten']
카메라맨,['cameraman']
간호,"['nurses', 'nurse', 'nursing']"
법칙,"['law', 'rule']"
셰프,"['chef', 'chefs']"
노스,['north']
변환,"['convert', 'transformations', 'transform', 'conversion', 'transformation']"
눈썹,"['eyebrows', 'eyelashes', 'eyebrow']"
혼수,['coma']
마사지,['massage']
오가와,['ogawa']
폐기,['discard']
벌금,['fined']
아케이드,['arcade']
포커스,['focus']
라듐,['radium']
사가,['saga']
깃대,['flagpole']
휴대폰,['phone']
특공대,['commando']
항소,"['appeals', 'appeal']"
사정,['ejaculation']
첼리스트,['cellist']
증기,"['vapor', 'steam', 'vapour']"
페이드,['fade']
협상,"['negotiation', 'negotiate', 'negotiating', 'negotiations']"
시즌,"['season', 'seasons']"
정육점,"['butchers', 'butcher']"
직장,"['work', 'workplaces', 'employer', 'workplace', 'rectum']"
오염,"['contaminated', 'contamination', 'polluted', 'pollution']"
신학교,['seminary']
책상,"['desks', 'desk']"
군주,"['monarch', 'monarchy']"
항해,"['voyage', 'sailing', 'sail']"
오쿠라,['ogura']
좌절,"['frustrated', 'frustration']"
세키,['seki']
메이지,['meiji']
플래그십,['flagship']
휴즈,['hughes']
토리이,['torii']
유형,"['type', 'types']"
잡음,"['noise', 'murmurs', 'murmur']"
소대,['platoon']
노르웨이인,['norwegians']
여드름,['acne']
개념,"['concept', 'notion', 'concepts']"
매립지,['landfill']
산술,['arithmetic']
구류,['custody']
윤기,['shiny']
부팅,"['bootable', 'boot', 'booting']"
낙인,['labeling']
정지,"['stop', 'halt', 'grading']"
방사선,['radiation']
망고,"['mangoes', 'mango']"
스포팅,['sporting']
클럽,"['club', 'clubs']"
단편,['fragments']
폭력,['violence']
광고주,"['advertiser', 'advertisers']"
파란색,['blue']
찻잔,['teacup']
면접,['interview']
복음주의,['gospel']
연필,"['pencil', 'pencils']"
테마,"['themes', 'theme']"
알타,['alta']
탄소,['carbon']
체크인,['checkin']
침략자,['invaders']
발달,"['development', 'developmental']"
배기가스,"['exhaust', 'emissions']"
구입,['purchase']
사다리꼴,"['trapezoid', 'trapezoidal']"
단점,"['downside', 'disadvantages']"
런닝,"['running', 'run']"
상금,"['winnings', 'prizes']"
썬더스,['thunders']
플래닛,['planet']
동부,"['east', 'eastern']"
샐러드,"['salads', 'salad']"
논리,['logic']
축전기,['capacitor']
오사무,['osamu']
오랑우탄,"['orangutans', 'orangutan']"
타르,"['tar', 'thar']"
후회,"['remorse', 'regret', 'regrets']"
감각,"['sensory', 'senses', 'sensation', 'sense']"
참깨,['sesame']
목격자,"['witnesses', 'witness']"
스테인드,['stained']
성적,"['grade', 'grades', 'sexually']"
꽃병,"['vases', 'vase']"
화랑,['gallery']
로버스,['rovers']
공평,['impartial']
전주곡,['prelude']
추방,"['deportation', 'expel', 'exiled', 'deported']"
통로,['aisle']
해결,"['resolve', 'solve']"
만찬,['supper']
경제학,['economics']
소개팅,['introduction']
마일,"['mile', 'miles']"
노무라,['nomura']
스포일러,['spoiler']
관측,"['observation', 'observations']"
입문,['initiation']
기상,['meteorological']
광대역,"['broadband', 'wideband']"
척추동물,['vertebrate']
베팅,"['bets', 'wager', 'bet']"
화합물,['compound']
이민,"['immigrate', 'immigrant', 'immigration']"
금액,['amount']
피트,"['pete', 'ft']"
해독,"['deciphering', 'detoxification']"
어구,"['phrase', 'phrases']"
칼럼,"['column', 'columns']"
이웃,"['neighbors', 'neighbours', 'neighbor']"
발바닥,['sole']
아까,['earlier']
베리,['berry']
성냥,['matches']
농축,"['concentrated', 'concentrate', 'enriched']"
쿠페,['coupe']
진드기,['tick']
힌트,"['hints', 'hint']"
석호,['lagoon']
헤이세이,['heisei']
육성,['fostering']
창립자,['founder']
마카로니,['macaroni']
저자,['author']
스노보드,"['snowboarding', 'snowboard']"
스틸러,['stiller']
미클롱,['miquelon']
전진,['forward']
마리화나,['marijuana']
팜플렛,"['pamphlet', 'pamphlets']"
애틀란타,"['atlanta', 'atl']"
구애,"['wooing', 'courtship']"
봉지,['bag']
부처,"['buddha', 'buddhahood']"
도우미,['helper']
터치,['touch']
옵션,"['options', 'option']"
공장,"['plant', 'factory']"
접미사,"['suffix', 'suffixes']"
로스,"['roth', 'ross']"
장기,"['organs', 'organ']"
심볼릭,['symbolic']
에메랄드,['emerald']
렌트,"['rental', 'rent']"
투자가,['investor']
니코바르,['nicobar']
염증,"['inflammatory', 'infections', 'inflammation', 'infection']"
동행,['accompany']
보증,"['warranty', 'guarantees', 'surety', 'warranties', 'guarantee']"
바이패스,['bypass']
민트,"['mint', 'mints']"
오프라인,['offline']
식료품,"['grocery', 'groceries', 'foodstuffs']"
콜레라,['cholera']
파우더,['powder']
나이스,['nice']
거대,"['huge', 'giant']"
교통수단,"['transportation', 'transport']"
어머니,['mother']
감옥,"['prisons', 'jail', 'prison']"
호두,"['walnuts', 'walnut']"
비료,"['fertilizer', 'manure', 'fertilizers']"
고릴라,"['gorilla', 'gorillas']"
할머니,"['grandmother', 'granny', 'grandma']"
여신상,['statue']
수식,['formulas']
도서관,"['libraries', 'library']"
회고록,"['memoir', 'memoirs']"
검출,['detection']
피크,['peak']
연회,['banquet']
봉쇄,['blockade']
소지,['possession']
해커,"['hacker', 'hackers']"
방어,"['defense', 'defence']"
무용,['dance']
무역,"['trading', 'trade']"
답변,"['responses', 'answers', 'answered', 'replies', 'answer', 'reply']"
최적,"['optimal', 'optimum']"
자루,['sack']
헤드라인,"['headline', 'headlines']"
사용,"['use', 'used', 'redeem', 'uses', 'usage']"
주사,"['injections', 'injection', 'needle']"
습작,['humid']
왼쪽,['left']
교구장,['diocesan']
리어,['lear']
살충제,['insecticide']
콜레스테롤,['cholesterol']
환영,['welcome']
터널,"['tunnel', 'tunnels']"
보조,"['assistive', 'assistant', 'auxiliary']"
묘사,"['description', 'depictions', 'portrayal']"
견학,['excursion']
크레용,['crayon']
스튜어디스,['stewardess']
예비,['preliminary']
애니메이터,['animator']
