German,English
lateinisch,['latin']
mechanisch,"['mechanically', 'mechanical']"
maßnahmen,"['action', 'measures', 'actions']"
mit,"['using', 'with']"
kriegen,['wars']
verwaltung,"['administrations', 'management', 'administration']"
picken,['pecking']
auf,"['on', 'at', 'to']"
parlament,"['parliament', 'parliaments', 'ep']"
dienen,"['serving', 'serve']"
technologie,"['tech', 'technology']"
abgegeben,['surrendered']
gebäude,"['building', 'buildings']"
wie,"['how', 'like', 'as']"
siegen,"['wins', 'victories', 'victory']"
muttern,['nuts']
papier,['paper']
lehen,['fief']
subkutan,"['subcutaneously', 'subcutaneous']"
verwaltungs,['administrative']
russisch,['russian']
tieren,['animals']
gleise,"['platforms', 'tracks']"
bemerkenswert,"['remarkably', 'notable', 'noticeable', 'remarkable', 'noteworthy']"
alt,"['alto', 'old']"
bach,['brook']
lächeln,"['smile', 'smiling', 'smiles']"
ups,['oops']
leicht,"['easily', 'slight', 'light', 'easy', 'lightweight', 'slightly']"
wirtschaftlich,"['economic', 'economically', 'economical']"
entlang,['along']
chinesisch,"['sino', 'chinese']"
revitalisiert,['revitalized']
bewertung,"['rating', 'review', 'evaluation', 'valuation', 'assessment']"
negativ,"['unfavorable', 'adverse', 'negatively', 'negative', 'negatives']"
lösung,"['solving', 'solution']"
aufwendig,"['lavish', 'elaborate']"
kart,['karting']
dick,['thick']
genealogie,['genealogy']
organisation,"['organization', 'organizing']"
flächen,"['surfaces', 'plots', 'areas']"
schwerpunkt,"['focusing', 'emphasis', 'focus', 'axis']"
röntgen,"['xray', 'radiography']"
lassen,"['let', 'letting']"
inoffiziell,"['unofficial', 'unofficially']"
rouge,['blush']
schiffen,['ships']
transaktion,['transaction']
fluorid,['fluoride']
allgemein,"['generic', 'universal', 'generally', 'common', 'general']"
engeln,"['angels', 'angel']"
ähnlich,"['similar', 'similarly']"
lehren,"['lessons', 'teaching', 'teach', 'teachings']"
piste,"['slope', 'runway']"
zwei,['two']
kfz,['automotive']
saugen,"['suction', 'suck', 'sucking']"
mol,"['moles', 'mole']"
nicht,['not']
theoretisch,"['theoretical', 'theoretically', 'theory']"
niedrig,['low']
kcal,['calories']
zeilen,"['rows', 'lines']"
auch,"['even', 'also', 'too']"
zuschlagen,['slamming']
waisen,"['orphans', 'orphan', 'orphaned']"
klein,"['small', 'little', 'tiny']"
genau,"['precisely', 'exact', 'exactly']"
synchron,"['synchronous', 'synchronized']"
freiwillig,"['voluntary', 'volunteered', 'optional', 'voluntarily', 'volunteer']"
sicher,"['certainly', 'safe', 'sure', 'safely', 'secure']"
führen,['lead']
widerstehen,"['resist', 'withstand', 'resisting']"
platzen,"['bursting', 'burst']"
ressource,['resource']
viel,"['lots', 'much', 'lot']"
gesellschaft,"['society', 'company']"
bit,['bits']
vertragen,['tolerated']
offen,"['candid', 'openly', 'open']"
rennfahrer,"['racers', 'racer']"
körperlich,"['physically', 'bodily', 'physical']"
vorhersagen,"['forecasting', 'predict', 'prediction', 'forecast', 'predictions', 'forecasts']"
verordnung,"['ordinance', 'regulation']"
oper,['opera']
kirchlich,['ecclesiastically']
türen,"['gates', 'doors']"
feucht,"['moist', 'damp', 'humid', 'wet']"
übertragung,"['transmission', 'broadcast', 'delegation', 'transference', 'transfer']"
kein,"['not', 'no']"
geben,"['giving', 'enter', 'give']"
national,['nationally']
fortbildung,"['training', 'retraining']"
ere,['eua']
feld,"['box', 'field']"
regen,"['rains', 'rainfall', 'rain', 'raining']"
wirkstoff,['substance']
grau,"['gray', 'grey']"
frieden,"['truce', 'peace']"
zeichnen,"['draw', 'drawing', 'sketching']"
wurm,['worm']
südöstlich,"['southeast', 'southeastern']"
kalzium,['calcium']
buten,['butene']
zunehmend,['increasingly']
schließen,"['closure', 'close', 'closing', 'closes']"
gegen,"['versus', 'vs', 'oppose', 'against']"
gesamt,"['total', 'overall', 'totals']"
vogel,['bird']
französisch,['french']
wach,['awake']
sauber,['clean']
billig,"['inexpensive', 'cheap']"
weiden,"['willow', 'pastures', 'pasture']"
elektro,"['eee', 'electro']"
seminar,['seminary']
wolken,"['clouds', 'cloud']"
männlich,"['males', 'male', 'manly', 'masculine']"
aufnehmen,"['absorb', 'recording', 'record']"
kühl,"['chilly', 'cool']"
villa,['mansion']
aktuellste,['latest']
dysfunktion,['dysfunction']
technisch,"['technical', 'technologically', 'technically']"
verstellbar,['adjustable']
abnehmer,"['buyer', 'customers', 'buyers', 'contractor']"
kapitel,"['chapter', 'chapters']"
schnell,"['quick', 'hurry', 'swift', 'fast', 'quickly']"
büsten,['busts']
betreiben,['operate']
hand,['palm']
identifizierung,['identification']
heilig,"['sacred', 'holy']"
komponistin,['composer']
gerät,"['device', 'appliance', 'apparatus']"
vorherrschend,['predominant']
wochenend,['weekend']
verzeichnis,"['directory', 'folder', 'list']"
geraten,['guessed']
jung,['young']
finanzieren,['fund']
beliebt,['popular']
informatiker,['scientist']
neu,['new']
untergrund,"['underground', 'substrate', 'subsoil']"
kapseln,"['capsule', 'capsules']"
gälisch,"['gaelic', 'irish']"
regal,"['shelf', 'bookcase', 'shelves']"
was,['what']
vergeben,"['forgiven', 'forgiveness', 'forgive']"
nach,"['to', 'after']"
polen,"['poland', 'poles']"
schön,"['beautiful', 'nice']"
unabhängig,"['independent', 'independently', 'unrelated']"
entschieden,"['decidedly', 'decided', 'opted', 'decisively']"
exzellent,"['excellently', 'excellent']"
beseitigung,"['elimination', 'disposal', 'eradication', 'removal']"
unten,"['down', 'below', 'downstairs', 'bottom']"
haushalts,['household']
dekompression,['decompression']
erwartung,"['awaiting', 'anticipation', 'expectation', 'expectations']"
netzwerken,"['networking', 'networks']"
ganz,['quite']
kommunikation,"['communication', 'communicating', 'communications']"
nah,"['close', 'near']"
sporen,"['spores', 'spore', 'spurs']"
britisch,['british']
chlorid,['chloride']
wissenschaftlich,"['scientifically', 'scientific']"
lagern,"['bearings', 'warehouses', 'camps']"
größe,"['height', 'greatness', 'sizes', 'size']"
kaiserlich,['imperial']
wurzeln,"['root', 'roots']"
zeit,"['period', 'time']"
antisemitismus,['antisemitism']
problem,['trouble']
computer,"['computers', 'computing']"
bio,['organic']
bauen,"['building', 'build', 'construct']"
eisen,"['irons', 'ferrous', 'iron']"
kreisen,"['circles', 'circling']"
beten,"['pray', 'praying', 'prayer']"
zahlreich,['numerous']
nahen,['middle']
schale,"['dish', 'shell', 'bowl', 'peel']"
hoch,"['high', 'up']"
technologien,"['technologies', 'technology']"
pädagoge,"['pedagogue', 'educator']"
scrollen,"['scrolling', 'scroll']"
treffer,"['matches', 'hits', 'hit', 'match']"
gesellschafter,"['partners', 'shareholders', 'associates', 'shareholder', 'partner']"
alle,"['everybody', 'all', 'everyone']"
stift,"['stylus', 'pencil', 'pen', 'pin']"
mal,"['once', 'times']"
sollen,['should']
trocken,"['dry', 'sober', 'dried']"
plus,['plu']
illegal,['illegally']
familien,"['familie', 'families', 'family']"
tafeln,"['tables', 'panels', 'tablets', 'boards']"
deutsch,"['german', 'english']"
geschichte,"['story', 'history']"
bestehend,['consisting']
thermometer,['thermometers']
behindert,"['disabled', 'handicapped', 'obstructed', 'retarded']"
längen,"['lengths', 'length', 'longitude']"
individuell,"['individually', 'personalized', 'individual', 'customized']"
oben,"['top', 'upstairs', 'above', 'up']"
voll,"['fully', 'full', 'crowded']"
laut,"['loudly', 'loud', 'according', 'noisy']"
kaiser,"['emperor', 'emperors']"
westlich,"['western', 'westerly']"
luft,"['aerospace', 'air']"
hilfreich,"['useful', 'helpful']"
inch,['inches']
wiedergabe,"['playback', 'replay', 'reproduction']"
suite,['suites']
hochhaus,"['tower', 'skyscraper']"
ausbau,"['extension', 'expansion', 'enhancement']"
fertig,"['ready', 'finished', 'done']"
ebenda,"['idem', 'ibid']"
bis,"['to', 'pending', 'up', 'until']"
gewinnung,"['extraction', 'quarrying']"
dänisch,['danish']
gelblich,['yellowish']
ordnungen,['ordinances']
nutzung,"['usage', 'exploitation', 'use', 'utilisation', 'utilization']"
blicken,['gaze']
gemeinden,"['communes', 'municipalities', 'congregations', 'towns']"
lebewesen,"['organisms', 'creatures']"
freund,"['friend', 'boyfriend']"
mädchen,"['girl', 'girls', 'girlie']"
serien,['serial']
mächtig,"['mighty', 'powerful']"
bedingt,"['conditional', 'conditionally']"
winden,"['winds', 'winch', 'winches']"
modern,['fashionable']
trinken,"['drinking', 'drink']"
rechts,['right']
böse,"['nasty', 'angry', 'bad', 'evil', 'wicked']"
architekt,"['architect', 'architects']"
politisch,"['politically', 'political']"
unterordnung,['subordination']
über,"['on', 'about', 'via', 'over', 'above']"
abkühlen,['cooling']
historisch,['historically']
autor,['author']
tausende,['thousands']
typen,"['guys', 'dudes', 'types']"
elastisch,"['resilient', 'elastic']"
nichts,"['nothing', 'nothingness', 'nothin']"
außen,"['outdoor', 'outer', 'outside', 'external', 'exterior']"
fallenlassen,"['dropping', 'drop']"
evangelisch,"['evangelical', 'lutheran', 'protestant']"
drehen,"['twist', 'rotate', 'turning', 'rotating', 'turn']"
konservativ,"['conservatives', 'conservative']"
tschechisch,['czech']
total,['totally']
steinen,['stones']
abfahren,['depart']
naturpark,['park']
apfel,"['apple', 'apples']"
geld,"['money', 'cash']"
verhalten,"['behaviour', 'behaviors', 'behavioural', 'behavior', 'conduct']"
leidenschaftlich,"['passionately', 'passionate', 'passion', 'impassioned']"
qualitativ,"['qualitatively', 'qualitative']"
modell,"['models', 'model']"
produzent,['producer']
schicksal,"['fates', 'destiny', 'fate']"
politik,"['policy', 'politics']"
rot,['red']
bedürfnissen,['needs']
chef,"['chief', 'boss']"
bulgarisch,['bulgarian']
passen,"['fits', 'fit']"
zeitpunkt,"['timing', 'date', 'time']"
geist,"['ghost', 'mind', 'spirit', 'spirits']"
backen,"['bake', 'baking', 'cheeks']"
links,['left']
machen,"['making', 'make', 'do']"
speichern,"['save', 'saving', 'store']"
meisterwerk,['masterpiece']
hexadezimal,['hexadecimal']
speziell,"['specifically', 'especially', 'specially']"
pfaden,['paths']
schwer,"['heavy', 'severe', 'hard', 'tough', 'difficult']"
großartig,['great']
ober,['waiter']
rosa,['pink']
vereinen,['unite']
wegen,['because']
technik,"['tech', 'engineering', 'technique', 'technology', 'technics']"
phosphor,['phosphorus']
klauen,"['claws', 'steal', 'stealing']"
cappella,['capella']
inspektor,['inspector']
bereich,"['sector', 'domain', 'range', 'section', 'area']"
kontrast,"['contrasts', 'contrasting', 'contrast']"
pflegen,"['nurture', 'maintain', 'cultivate', 'maintaining']"
ausfall,"['failure', 'outage']"
beteiligung,"['turnout', 'involvement', 'shareholding', 'participation']"
ops,['surgeries']
berichten,['reports']
auto,['car']
osten,"['east', 'eastern']"
effizient,"['efficient', 'efficiently']"
sinnvoll,"['meaningful', 'sensible']"
rollen,"['reels', 'rollers', 'rolls', 'roles', 'roll']"
kalt,"['chilly', 'cold']"
horizontal,['horizontally']
anliegen,['concerns']
wissenschaft,"['science', 'sci', 'sciences']"
süß,"['cute', 'sweet']"
strategien,['strategies']
stern,"['asterisk', 'star', 'stars']"
punkten,"['dots', 'points']"
theoretiker,"['theorist', 'theorists']"
kurs,['course']
hallen,['halls']
geschwindigkeit,"['velocity', 'tempo', 'speed', 'pace']"
unerreicht,['unequalled']
burg,"['castle', 'fortress']"
westen,"['west', 'vests', 'western', 'westward']"
propan,['propane']
aufnahme,"['recording', 'admission', 'uptake', 'inclusion']"
rippen,"['ribs', 'rib', 'rip']"
stil,"['styles', 'style']"
abgewandt,['averted']
kräftig,"['robust', 'vigorous', 'hefty']"
morden,"['killings', 'murders', 'homicides']"
system,['systems']
ich,"['me', 'i']"
bomben,"['bomb', 'bombs', 'bombing']"
pläne,"['blueprints', 'plans']"
stabilität,['stability']
regional,['regionally']
met,['mead']
zentrum,"['center', 'centre']"
schwedisch,['swedish']
leiter,"['ladder', 'head', 'leader']"
reinigung,"['cleaners', 'cleansing', 'cleaning', 'purification']"
lokal,"['locally', 'local']"
wunderbar,['wonderful']
telefon,"['phone', 'telephone', 'telephones']"
hof,"['courtyard', 'farm', 'court', 'yard']"
vorschlag,"['proposal', 'proposition', 'suggestion']"
booten,"['boot', 'booting']"
ethnologe,['ethnologist']
zinken,['tines']
bekannt,['known']
soziologie,"['sociological', 'sociology']"
öffnung,"['aperture', 'openness', 'opening']"
mögen,"['liking', 'like', 'likes']"
metronom,['metronome']
tasten,"['buttons', 'keys']"
fühlen,"['feel', 'feeling']"
seen,['lakes']
cent,"['cents', 'penny', 'dime']"
fünfziger,['fifties']
ausscheidung,"['elimination', 'excretion', 'precipitation']"
licht,"['light', 'lighting', 'lights']"
fortschreiten,['progression']
breit,"['wide', 'width', 'widely', 'broad']"
laden,"['load', 'loading', 'store']"
namen,"['name', 'names']"
extremismus,"['extremist', 'extremism']"
intern,"['inhouse', 'internal', 'internally']"
folgend,['following']
acetat,['acetate']
sechs,['six']
flur,"['corridors', 'hallway', 'hall', 'corridor']"
charakter,['character']
moderator,"['presenter', 'facilitator']"
polieren,"['polishing', 'polished']"
brutal,['brutally']
architektur,"['architecture', 'architectural']"
wesen,"['being', 'essence', 'creature', 'creatures']"
mittelalter,"['medieval', 'mediaeval']"
ablauf,"['sequence', 'expiry', 'expire', 'expiration']"
frei,"['vacant', 'free']"
bitten,"['pleas', 'beg']"
beleuchtung,"['illumination', 'lighting', 'lights']"
wieder,"['again', 'back', 'reunited']"
taxis,"['taxi', 'cabs']"
umzug,"['relocation', 'moving', 'parade', 'removal']"
bezeichnung,"['denomination', 'name', 'designation', 'description']"
fernsehen,"['tv', 'television']"
darsteller,"['cast', 'actors', 'starring', 'actor', 'performers']"
bedeutend,['significantly']
ungarisch,['hungarian']
stamm,"['tribe', 'stem', 'trunk', 'strain']"
chaos,"['mess', 'mayhem']"
gegensatz,"['contrasts', 'contradiction', 'contrast']"
geworden,['became']
wenig,['little']
gegeben,['given']
mentalität,"['mentality', 'mindset']"
formen,"['shapes', 'forms', 'moulds', 'mould', 'molds']"
alkohol,"['booze', 'alcohol', 'liquor']"
südwestlich,"['southwestern', 'southwest']"
börse,['exchange']
eng,"['tight', 'closely', 'narrow']"
polnisch,['polish']
manuskript,['manuscript']
sprechen,"['speaking', 'speak']"
gem,['acc']
sein,"['be', 'his']"
stühlen,['chairs']
augen,"['eyes', 'eye']"
bissen,"['bite', 'bites']"
spät,['late']
sinnen,['senses']
norwegisch,"['norwegian', 'macedonian']"
fein,"['finely', 'fine']"
ausstattung,"['amenities', 'equipment', 'fittings', 'furnishings', 'facilities']"
malen,"['paint', 'painting']"
packung,"['package', 'packet', 'pack']"
quer,"['across', 'transverse']"
fetten,"['fats', 'fat']"
standort,"['site', 'location', 'locations']"
abgeordnet,['seconded']
manager,['managers']
vor,"['front', 'pre', 'prior', 'before']"
ocker,['ochre']
hinter,['behind']
englisch,['english']
oxid,['oxide']
gerne,"['gladly', 'happy']"
sympathisch,"['sympathetic', 'likeable', 'sociable']"
erhalten,"['receive', 'received', 'receiving', 'preserved', 'get']"
stoff,"['cloth', 'substance', 'fabric']"
journalist,['reporter']
kunden,"['customer', 'customers', 'clients', 'client']"
mehrheiten,['majorities']
lachs,['salmon']
achtern,['aft']
konstruktion,"['construction', 'design']"
königlich,"['regal', 'royalty', 'royal']"
kino,"['movies', 'cinemas', 'theater', 'movie', 'cinema']"
verlust,"['loss', 'losses']"
wagen,"['wagons', 'cart', 'trolleys', 'car']"
seit,['since']
schwarz,['black']
fragen,"['ask', 'question', 'questions']"
gap,['cap']
experte,['expert']
bewaffnung,"['weapons', 'armament', 'arming', 'armaments', 'weaponry']"
weiß,"['white', 'know', 'knows', 'caucasian']"
gruppen,"['group', 'groups']"
richtig,"['right', 'true', 'correct']"
progressiv,"['gradual', 'progressive']"
teuer,"['pricey', 'costly', 'expensive', 'dearly']"
abteilung,"['department', 'division', 'dept']"
der,['the']
musikalisch,"['musical', 'musically']"
zeichen,"['symbols', 'signs', 'character', 'characters', 'sign']"
sek,['sec']
traum,"['dream', 'dreams']"
behandeln,"['treating', 'treat']"
grün,"['greenery', 'green', 'greens']"
pasten,['pastes']
acht,"['eight', 'eights']"
dach,"['roofing', 'rooftop', 'roof']"
stiftung,"['endowment', 'foundation']"
schacht,"['shaft', 'tray']"
schlimm,['bad']
rennen,"['races', 'race', 'racing']"
form,"['mould', 'shape', 'mold']"
wert,"['worth', 'value']"
praxis,"['practical', 'practice']"
material,['materiel']
enden,"['ends', 'ending', 'endings']"
äußerste,"['outermost', 'utmost']"
visum,"['visas', 'visa']"
tor,"['gate', 'gateway']"
griechisch,"['greek', 'greco']"
langsam,"['slow', 'slowly']"
stärken,"['strengthen', 'starches', 'strengths', 'strengthens']"
feuerwehr,"['fire', 'firefighters', 'firemen', 'firefighter']"
tun,"['doing', 'do']"
kanten,"['edges', 'edge']"
spektrum,['spectrum']
indirekt,"['indirect', 'indirectly']"
opt,['opting']
kinder,"['childs', 'kids', 'children', 'childrens']"
bahnhof,"['train', 'station']"
taschenbuch,"['paperback', 'pocketbook']"
vereinigung,"['unification', 'federation', 'association']"
std,['hrs']
objekt,['object']
nord,['north']
stabil,"['sturdy', 'stable']"
kultur,"['culture', 'civilization']"
strumpfhosen,"['tights', 'panty', 'pantyhose']"
beinahe,"['almost', 'nearly']"
etc,['etcetera']
wahl,"['election', 'choice']"
blau,"['blue', 'blues']"
diktatur,['dictatorship']
ausläufer,['foothills']
gesellschaftlich,"['socially', 'societal']"
schaum,['foam']
phosphat,"['phosphate', 'phosphorus']"
raten,"['installments', 'guessing', 'guess']"
ursprünglich,"['initially', 'originally', 'original']"
planung,"['scheduling', 'design', 'planning', 'programming']"
reich,"['realm', 'empire', 'rich']"
gewebe,"['woven', 'tissue', 'tissues', 'fabrics', 'fabric']"
elektrisch,"['electrical', 'electric', 'electrically']"
rund,"['approx', 'round', 'around']"
oberhalb,['above']
miliz,['militia']
motor,['engine']
interessant,['interesting']
designer,['designers']
ideen,"['ideas', 'thoughts']"
gründen,['reasons']
regulierung,"['regulatory', 'regulation', 'regulating']"
handeln,"['acting', 'act']"
zement,"['cements', 'cement']"
schwächer,"['weaker', 'weakening']"
meter,"['metre', 'meters', 'metres']"
berühmt,"['famous', 'celebrity', 'fame', 'renowned']"
typisch,"['typically', 'typical']"
interpretation,"['interpretations', 'interpreting', 'interpret']"
künstler,"['artist', 'performers', 'artists']"
land,"['country', 'lands']"
gent,['ghent']
fassung,['version']
pflanzen,"['plants', 'planting', 'plant', 'vegetation']"
landschaft,"['scenery', 'countryside', 'landscapes', 'landscape']"
zubehör,"['supplies', 'accessories', 'accessory']"
aktuell,"['current', 'news', 'currently', 'topical']"
zeichner,"['illustrator', 'draughtsman']"
geborgen,"['salvaged', 'recovered']"
jüdisch,['jewish']
gestern,['yesterday']
unterart,"['subtype', 'subspecies']"
marke,"['brands', 'brand', 'trademark', 'mark']"
uhrzeit,"['clock', 'hour', 'time']"
richtung,['direction']
missbrauch,"['misuse', 'abusive', 'abuse', 'malpractice', 'abuses']"
direktor,"['director', 'warden']"
bewegung,"['motion', 'move', 'exercise', 'movement']"
also,['so']
fantasie,"['fantasy', 'imaginations', 'imagination']"
herzen,"['hearts', 'heart']"
öffentlich,"['public', 'publicly']"
bösartig,"['malicious', 'vicious', 'malignant']"
bachelor,['bachelors']
hier,['here']
monde,['moons']
tages,['day']
dicht,"['densely', 'dense']"
min,['mins']
nähen,"['sew', 'sewing', 'stitching', 'stitch']"
bord,['aboard']
verkehr,"['transportation', 'traffic', 'transport']"
figur,['character']
mensch,"['gosh', 'humans', 'human', 'man']"
oder,['or']
schnee,['snow']
nacht,"['nighttime', 'night']"
professor,['prof']
wahr,['true']
weichen,['switches']
truhe,"['chests', 'chest']"
materialien,"['material', 'materials']"
aufgeklärt,"['clarified', 'solved', 'enlightened']"
gemäßigt,"['temperate', 'moderate', 'moderately']"
charakteristisch,"['characteristic', 'distinctive']"
sonnen,['suns']
klassifikation,"['classifications', 'classification']"
auszahlung,"['payout', 'disbursement', 'payouts']"
leben,"['living', 'life', 'lifestyle', 'live']"
formal,['formally']
schauen,['look']
unter,"['at', 'under']"
effektivität,"['efficiency', 'effectiveness', 'efficacy']"
rauen,"['rough', 'harsh']"
hilfe,"['aid', 'assistance', 'help']"
vermissen,['miss']
kontur,['contour']
zusätzlich,"['additional', 'additionally']"
flüssig,"['fluid', 'liquid']"
verschieden,"['different', 'diverse', 'various', 'varied']"
arm,['poor']
weißlich,['whitish']
mittel,"['funds', 'appropriation', 'medium', 'resources', 'appropriations']"
wissenschaftler,"['researcher', 'scientist', 'scholars', 'researchers', 'scientists']"
eine,"['a', 'an', 'one']"
versorgung,"['supplies', 'supply']"
kabeln,['cables']
reihen,"['ranks', 'series', 'rows']"
dann,['then']
familie,"['family', 'fam']"
produkt,"['product', 'products']"
taschen,"['bags', 'pockets']"
komponist,['composer']
eigentlich,['actually']
neben,"['beside', 'besides']"
kritik,"['criticism', 'critique', 'criticisms', 'critics']"
kurz,"['briefly', 'short', 'brief']"
prosa,['prose']
interesse,"['interests', 'interested', 'interest']"
ionischen,"['ionic', 'ionian']"
kleben,"['bonding', 'gluing']"
verarbeitung,"['processing', 'workmanship']"
sozial,"['socio', 'socially', 'social']"
analog,"['analogue', 'analogous', 'analogy']"
temperatur,"['temperature', 'temp']"
weise,"['wisely', 'wise', 'way']"
tod,"['death', 'deaths']"
botschaft,"['embassies', 'message', 'embassy', 'consulate', 'consulates']"
magazin,"['magazine', 'magazines']"
funken,"['sparks', 'sparking', 'spark']"
personal,"['personnel', 'staffing', 'staff']"
prognose,"['prognosis', 'forecasting', 'forecasts', 'prediction', 'forecast']"
arrangeur,['arranger']
finden,"['finding', 'locate', 'find', 'finds']"
zeitschrift,"['journal', 'magazine', 'periodical']"
bzw,"['resp', 'or']"
sprache,"['languages', 'speech', 'language']"
kreuzen,['crosses']
stark,"['strongly', 'strong']"
partei,['party']
versuchen,"['try', 'trying', 'attempt', 'attempting']"
groß,"['large', 'big', 'great', 'tall']"
erklärung,"['explanation', 'explanations', 'statement', 'declaration']"
sterben,"['die', 'perish', 'dying', 'dies']"
kennen,['know']
techniker,"['technician', 'engineer', 'techs', 'technicians', 'engineers']"
frau,"['woman', 'ms', 'wife']"
soldat,['soldier']
barock,['baroque']
konstrukteur,['designer']
fahrt,['ride']
männern,['men']
erfolgreich,"['successful', 'successfully', 'succesful', 'success']"
gens,['gene']
satz,"['phrase', 'rate', 'set', 'typesetting', 'sentence']"
wohnung,"['flat', 'apartment']"
buchen,"['bookings', 'reservation', 'book', 'booking']"
vieren,['fours']
songwriter,['songwriters']
triebwagen,['railcars']
folgen,"['follow', 'episodes', 'consequences', 'aftermath']"
dienern,['worshipers']
fallen,"['falling', 'traps', 'fall']"
wissen,"['knowing', 'knowledge', 'know']"
verlag,"['publisher', 'publishers']"
führend,['leading']
arbeiter,"['worker', 'workers', 'workmen', 'labourers']"
farben,"['colours', 'paints', 'colors', 'colour', 'color']"
nutzen,"['harness', 'benefits', 'usefulness', 'utility']"
fest,"['solid', 'feast', 'tight']"
orientierung,['orientation']
diskret,"['discrete', 'discreet', 'discreetly']"
umwelt,"['environment', 'environmental']"
zurück,"['return', 'back']"
wild,['deer']
förderer,"['sponsor', 'conveyor', 'patrons', 'sponsors', 'conveyors']"
linker,['left']
arten,"['species', 'types']"
seitlich,"['sideways', 'lateral', 'laterally', 'side']"
gelände,['terrain']
studie,['study']
