word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
Formierung,Cripps trat bereits früh für die Formierung einer Einheitsfront gegen die anwachsende Bedrohung des Faschismus ein.,16,5,"['▁Form', 'ierung']",2,0
Neige,"Allerdings gebe es, so Neige, kein Bezug zum Plattencover, da das Album eine andere Geschichte erzähle.",16,4,"['▁Ne', 'ige']",2,0
Kreation,Scheimers wohl bekannteste Kreation war die Zeichentrickserie He-Man and the Masters of the Universe.,14,5,"['▁Kre', 'ation']",2,0
Hosting,Google TV (ehemals Google Play Filme und Serien) YouTube – Video-Hosting-Website (sowie YouTube Kids),14,4,"['▁Host', 'ing']",2,0
Freie,"Nach 1920 wurde schließlich die praxisbezogene „Freie Sportwoche“ zum Organ der Arbeitersportbewegung, das Technik und Training der Leichtathletik methodisch vermittelte.",20,5,"['▁Fre', 'ie']",2,0
Tadel,Die Edemisser Feuerwehr und der Ortsvorsteher erhielten vom Amt Meinersen einen Tadel wegen unterlassener Hilfsleistung.,15,5,"['▁T', 'adel']",2,0
Bassin,Nördlich des Turms befindet sich ein großes Bassin (birkeh) und zwei kleinere noch weiter nördlich.“,15,4,"['▁Bass', 'in']",2,0
Unterton,Er wirkt sehr grobschlächtig und spricht meist mit einem ironischen Unterton.,11,4,"['▁Unter', 'ton']",2,0
Tutorial,Im ersten Tutorial befasst sich der Spieler mit den verschiedenen Kameraeinstellungen.,11,5,"['▁T', 'utorial']",2,0
Jugendgruppe,Der Vorsitzende der Jugendgruppe ist automatisch vollwertiges Mitglied im Vorstand des Theatervereins.,12,4,"['▁Jugend', 'gruppe']",2,0
Humanities,"Homepage am University of California Humanities Research Institute (englisch) Contemporary Racisms: David Theo Goldberg and Paul Gilroy [video] - darkmatter Journal, 2007",22,4,"['▁Human', 'ities']",2,0
Radlast,"Auch die Beschleunigung in Richtung der Hochachse, beispielsweise durch Fahrbahnunebenheiten, bewirkt eine dynamische Änderung der Radlast.",16,4,"['▁Rad', 'last']",2,0
Amtsgruppe,An der Entwicklung von Giftgeschossen zeigte besonders die 1943 neu gebildete Amtsgruppe VI S (Sabotage- und Kommandoaktionen) von Otto Skorzeny großes Interesse.,22,4,"['▁Amts', 'gruppe']",2,0
Gemeinsinn,"Dies fördert Gemeinsinn, gewaltfreie Konfliktlösungen und Verständnis für die Situation anderer.3.",11,4,"['▁Gemeins', 'inn']",2,0
Rodler,"Platz, womit er neun Rodler hinter sich ließ.",8,5,"['▁Rod', 'ler']",2,0
Hauptbild,"Auf dem Hauptbild ist der Kirchenpatron Georg zu Pferde dargestellt, auf dem Oberbild die Heiligen Barbara und Katharina.",18,5,"['▁Haupt', 'bild']",2,0
Troll,"Auf dem Balkon, den der Troll in seinen Armen hält, treten im Sommer verschiedene Künstler auf.",16,4,"['▁T', 'roll']",2,0
Habitats,"Schon bei einer Elefantendichte von über 0,5 Elefanten/km² in Trockensavannen droht eine Zerstörung des Habitats.",15,4,"['▁Hab', 'itats']",2,0
Cyborg,"Die beiden überreden den sterbenden Cyborg dazu, die Zahlung des Kopfgelds zu veranlassen und tauchen dann unter.",17,4,"['▁Cy', 'borg']",2,0
Orkan,Der Schiffbruch Am 3. Januar 1976 zog ein Orkan über Mitteleuropa hinweg;,12,5,"['▁Or', 'kan']",2,0
Circus,"Zudem werden kostenlose Einladungen zu diversen Freizeitangeboten, Konzerte, Shows, Circus angeboten.",11,4,"['▁Circ', 'us']",2,0
ART,"Mit Antiretrovirale Therapie (ART, auch hochaktive antiretrovirale Therapie HAART) wird die medikamentöse Kombinationstherapie aus mindestens zwei antiretroviralen Wirkstoffen bezeichnet.",19,5,"['▁AR', 'T']",2,0
Elfter,David Ludwig konnte nur Elfter werden und erreichte nicht die letzte Runde.,12,5,"['▁El', 'fter']",2,0
Tester,Die Tester hatten bei Prah die verbotenen Stimulanzien Kokain und Methylecgonin entdeckt.,12,5,"['▁T', 'ester']",2,0
Finte,Die richtige Durchführung dieser Finte erfordert eine sehr gute Koordination und eine hohe Geschwindigkeit.,14,5,"['▁Fin', 'te']",2,0
Parkposition,Schließlich ließ der Kapitän die Maschine zu ihrer zugewiesenen Parkposition rollen.,11,4,"['▁Park', 'position']",2,0
Handling,"Es ist aerodynamischer gestaltet, und das Handling ist wegen breiterer Reifen besser als beim Standardmodell.",15,5,"['▁Hand', 'ling']",2,0
Filmwissenschaft,"„Jud Süß“ und „Der ewige Jude“ (= Filmwissenschaft 5), Teiresias, Köln 1999, ISBN 3-9805860-3-0.",14,5,"['▁Film', 'wissenschaft']",2,0
Wahlzeit,"Juni 2025 ausläuft und in der rechten Reihe die Senatoren, deren Wahlzeit am 30. Juni 2028 endet.",17,5,"['▁Wahl', 'zeit']",2,0
Politikum,"Berlin im 20. Jahrhundert."") und Jan Herres (Masterarbeit ""Berliner Zimmer"") 2020: Andreas Jüttemann (Habilitationsschrift ""Das Klinikum Steglitz als Politikum –",20,4,"['▁Politik', 'um']",2,0
Panne,Anderen Quellen zufolge waren es aufgrund einer organisatorischen Panne nur noch 60 Plätze.,13,4,"['▁Pan', 'ne']",2,0
Bryologe,"* Johann Heinrich Friedrich Schlotheuber (1789–1866), hannoverscher Bryologe Johann Schlotheuber (Respondent) (Ioannes Schlothevbervs;",13,4,"['▁Bry', 'ologe']",2,0
Philippiner,Fußballnationalspieler (Philippinen) Philippiner Fußballspieler (New Hampshire Phantoms) Fußballspieler (Ventura County Fusion) Fußballtrainer (Vereinigte Staaten) Geboren 1984 Mann,17,4,"['▁Philipp', 'iner']",2,0
Insider,Somit nutzten die etwa fünf Millionen Teilnehmer des Windows-Insider-Programms die fertige Version bereits vor dem Tag der Veröffentlichung („release day“).,20,4,"['▁Ins', 'ider']",2,0
Trema,"Das Trema ist deswegen untergesetzt, damit über dem Zeichen noch Diakritika zur Markierung des Tons positioniert werden können.",18,5,"['▁Tre', 'ma']",2,0
Romanband,Der limitierte achte Romanband vom 23. Juni 2015 und siebte Mangaband vom 26. Januar 2016 enthielten je eine weitere Bonusfolge (OVA).,21,4,"['▁Roman', 'band']",2,0
Goldmine,"35 km östlich von ihr liegt die Goldmine Gatsuurt, die zu 100 % zu Centerra Gold gehört.",17,5,"['▁Gold', 'mine']",2,0
Rostrum,Das Rostrum ist breit und kürzer als der Abstand vom Auge bis zum ersten Kiemenschlitz oder genau so lang.,19,4,"['▁Rost', 'rum']",2,0
Lead,Clapton wirkte als Lead-Sänger und Gitarrist bei der Aufnahme mit.,10,4,"['▁Le', 'ad']",2,0
Orthografie,"Für Konkani, die Sprache Goas, wurde im 16. Jahrhundert eine Orthografie auf Grundlage des Portugiesischen geschaffen.",16,4,"['▁Orth', 'ografie']",2,0
Abart,"Daneben existierte noch eine Abart der Mk IX als Deckgeschütz für U-Boote, von der jedoch nur wenige Exemplare jemals eingesetzt wurde.",21,5,"['▁Ab', 'art']",2,0
Zwischenwelt,"2). StudienVerlag, Innsbruck-Wien-Bozen 1997, ISBN 3-7065-1228-9. mit Karl Müller: Literatur der ‘Inneren Emigration’ aus Österreich (= Zwischenwelt. 6).",18,4,"['▁Zwischen', 'welt']",2,0
Grundstoff,"Ein Beispiel ist die Fertigung von Gartenzwergen in verschiedenen Farben und Größen, wobei der Grundstoff (Ton) gleich bleibt.",18,4,"['▁Grund', 'stoff']",2,0
Sherry,Aus der untersten Reihe Fässer wird etwa ein Drittel des fertig gereiften Sherry oder Brandy abgefüllt.,16,4,"['▁Sher', 'ry']",2,0
Städter,"Dude Ranch bezeichnet: Eine Guest Ranch in den Vereinigten Staaten, wo Städter (Dudes, Greenhorns) Farmer (Cowboys) spielen können;",18,4,"['▁Städ', 'ter']",2,0
Schriftwerk,"Damit wurden die Synagoge, der Siddur, der Talmud, das nachbiblische Schriftwerk und das Mischna-Hebräisch Gegenstände seiner Kritik.",17,4,"['▁Schrift', 'werk']",2,0
Stadtgericht,In Breslau und ab 1830 angestellt beim Stadtgericht in Berlin arbeitete er als Auskultator.,14,4,"['▁Stadt', 'gericht']",2,0
Parteiorganisation,Von 1946 bis zur endgültigen Auflösung der kommunistischen Parteiorganisation in England am 1.,13,5,"['▁Partei', 'organisation']",2,0
LEM,City-Stromer Elektroflitzer LEM (Leicht-Elektro-Mobil) LEV (Light Electric Vehicle) NAFA (Nahverkehrs-Fahrzeug) SDV (Short Distance Vehicle) StreetScooter,15,4,"['▁LE', 'M']",2,0
Tonfolge,1699 wurden fünf neue Glocken in der Tonfolge Des - F -As -B - Des gegossen.,16,4,"['▁Ton', 'folge']",2,0
Beladen,Dazu kommt gegebenenfalls Zeit für das Beladen mit Kfz bzw.,10,4,"['▁Bel', 'aden']",2,0
Motorwagen,Bezeichnung Bmeo Bmeo Type 68a und Bmeo Type 68b sind nur die Typenbezeichnungen der Motorwagen.,15,5,"['▁Motor', 'wagen']",2,0
Schulraum,"Bis ins Jahr 2005 wurde weiterer Schulraum gebaut, um den wachsenden Schülerzahlen gerecht zu werden.",15,4,"['▁Schul', 'raum']",2,0
Altmeister,Altmeister Max Bolkart rundete mit Platz vier das gute Abschneiden der westdeutschen Springer ab.,14,5,"['▁Alt', 'meister']",2,0
Rath,"Ein Rath- und Hülfsbüchlein für Reisende, Goslar, 1810 Erster Versuch eines allgemeinen systematisch geordneten Adresßbuchs der Stadt Magdeburg, für alle Stände;",21,4,"['▁R', 'ath']",2,0
Bürgerverein,"Unter den anderen war das Montagskränzchen mit 48 gewählten Kandidaten am erfolgreichsten, der Bürgerverein konnte nur 2 Kandidaten durchsetzen.",19,5,"['▁Bürger', 'verein']",2,0
Lebensordnung,In seiner Abschiedsrede ermahnte er die Mönche ihre Lebensordnung beizubehalten („in proposito vestro perseverate“).,14,4,"['▁Lebens', 'ordnung']",2,0
Dorfanger,"Das Ensemble des Holzinger Angers umfasst den nördlich der Kirche sich ausdehnenden, auf das Mittelalter zurückgehenden dreieckigen Dorfanger.",18,4,"['▁Dorf', 'anger']",2,0
Hessenliga,Der örtliche Fußballverein Viktoria Kelsterbach spielte bereits in der Hessenliga.,10,5,"['▁Hessen', 'liga']",2,0
Schutzraum,"Es ist ein Schutzraum eingerichtet, wie ihn die Bundeswehr unter Stabsgebäuden bereitstellte.",12,4,"['▁Schutz', 'raum']",2,0
Hausorden,"Klasse mit Schleife und königlicher Krone, 1905 Ritterkreuz des Königlichen Hausorden von Hohenzollern, 1910 Kronenorden II.",16,4,"['▁Haus', 'orden']",2,0
Leiste,"Da diese Leiste beim Amalfi nicht verwendet wurde, blieb die Rundscheinwerferaussparung im Frontblech als „Tränensack“ sichtbar.",16,5,"['▁Le', 'iste']",2,0
Häschen,Max und Juan sowie Valerie und Häschen haben zum Schluss zueinander gefunden.,12,4,"['▁Hä', 'schen']",2,0
Ungar,"Der erste Pastor war der Ungar Zachary Kunze, der später Pastor in der St. Francis of Assisi’s Church wurde.",19,5,"['▁Un', 'gar']",2,0
Randlage,"Zudem sei Hahm daran gelegen gewesen, sein Fach aus dessen Randlage herauszuführen, weshalb er die Volkskunde als völkische Wissenschaft propagierte.",20,5,"['▁Rand', 'lage']",2,0
Jump,Action-Adventure Jump ’n’ Run Computerspiel 2021 PlayStation-4-Spiel Windows-Spiel Xbox-One-Spiel Xbox-Series-Spiel Linux-Spiel Mac-OS-Spiel Science-Fiction-Computerspiel Crowdfinanziertes Computerspiel,15,4,"['▁J', 'ump']",2,0
Datenquelle,"Datenquelle bis 2007: Thüringer Landesamt für Statistik, danach Gemeinde Starkenberg",10,4,"['▁Daten', 'quelle']",2,0
Celesta,"Man unterscheidet zwischen Anschlagen (Klavier, Celesta, Hackbrett), Zupfen (Cembalo) oder Blasen (Orgel, Akkordeon).",13,4,"['▁Cel', 'esta']",2,0
Wards,"Verwaltung Der Greater Geelong City Council hat zwölf Mitglieder, die von den Bewohnern der zwölf Wards gewählt werden.",18,5,"['▁W', 'ards']",2,0
Preisbildung,"Kostenrechnungs-Regeln und -Richtlinien und ihre Auswirkung auf die Preisbildung, Düsseldorf 1942.",11,4,"['▁Preis', 'bildung']",2,0
Persona,"Auch vom Persona gibt es eine ecoLogic-Variante, da es sich beim Persona um die Stufenheckvariante des GEN•2 handelt.",18,5,"['▁Person', 'a']",2,0
Begrifflichkeit,"Gemeinsam sollen Arbeitsmaterialien für die Religionspädagogik erarbeitet werden, die mit christlicher Begrifflichkeit rassistischen und antisemitischen Selbstbildern und Gesellschaftsvorstellungen etwas entgegensetzen.",20,4,"['▁Begriff', 'lichkeit']",2,0
Korsett,"Von Marie erfährt er, dass Sisi sich bei Hofe wie in einem zu eng geschnürten Korsett fühle, an dem sie bald ersticken werde.",23,5,"['▁Kor', 'sett']",2,0
Bootführung,"Die U-Bootführung befahl daraufhin U 188 und drei weiteren Booten der Gruppe, diesen anzugreifen.",14,4,"['▁Boot', 'führung']",2,0
Neo,In der Kärntner Straße 51 ließ Eduard von 1861 bis 1884 einen langgestreckten Neo-Renaissance-Bau mit ca. 500 Zimmern errichten.,19,4,"['▁Ne', 'o']",2,0
Beatband,"Als erfolgreichste portugiesische Beatband, und auf Grund ihres Musikstils, werden sie häufig als die portugiesischen Beatles bezeichnet.",17,4,"['▁Beat', 'band']",2,0
Amtsdorf,Zwischen 1874 und 1945 war es ebenfalls ein Amtsdorf und damit namensgebender Ort des Amtsbezirks Groß Allendorf im Landkreis Wehlau.,20,4,"['▁Amts', 'dorf']",2,0
Personalwirtschaft,"1974 wurde er ordentlicher Professor für Betriebswirtschaftslehre (Personalwirtschaft, Organisation und Unternehmungsplanung) an der Universität Regensburg.",15,5,"['▁Personal', 'wirtschaft']",2,0
Baugebiet,"Namensgeber Das Baugebiet Weierbachblick, das im Jahr 2007 in Hückeswagen entstand, leitet seinen Namen vom Weierbach ab.",17,5,"['▁Bau', 'gebiet']",2,0
Animismus,"Andererseits stellt sie die beseelten Landschaften, Ahnen, Traditionen des Animismus der Rationalität der Weißen gegenüber.",15,5,"['▁Anim', 'ismus']",2,0
Lerne,"Zu diesem Ausspruch ist auch die rhetorische Umkehrung weit verbreitet: „Lerne klagen, ohne zu leiden.“",15,4,"['▁L', 'erne']",2,0
Galopp,Zur Vermeidung einer Belastungsrehe sollten Trab und Galopp auf harten Untergründen vermieden werden.,13,5,"['▁Gal', 'opp']",2,0
Italienzug,Der Versuch der Eroberung Siziliens auf einem Italienzug im Jahr 1191 scheiterte vor Neapel.,14,5,"['▁Italien', 'zug']",2,0
Volksmarine,"Milzo Milzow, Helmut (1932–2022), deutscher Konteradmiral der Volksmarine",8,5,"['▁Volks', 'marine']",2,0
Soldatin,"September: André-Ernest-Modeste Grétry, französischer Komponist (* 1741) 5. Oktober: Eleonore Prochaska, deutsche Soldatin (* 1785) 11.",16,4,"['▁Sold', 'atin']",2,0
Faden,"Überwiegend wurde der gewonnene Faden dann in einer Aschenlauge gekocht, dann war er für die Arbeit des Webers vorbereitet.",19,4,"['▁F', 'aden']",2,0
Fahrweise,"Die Blasenform (konventionelle Fahrweise oder langer Hals) wird durch Material, Werkzeug und Kühlung bestimmt.",14,4,"['▁Fahr', 'weise']",2,0
Torso,"Der Torso der Figuren besteht aus Holz (Gmelina arborea), die Arme und Beine sind an Gelenkstellen verbunden.",17,5,"['▁Tor', 'so']",2,0
Schutzrecht,Dieses Gebrauchsmuster (DRGM) wird auch als der „kleine Bruder“ des Patents bezeichnet und ein Schutzrecht des gewerblichen Rechtsschutzes.,18,5,"['▁Schutz', 'recht']",2,0
Litauer,Am 15. Januar 1923 besetzten über 1.000 bewaffnete Litauer das Memelland und die Stadt Memel.,15,5,"['▁Lit', 'auer']",2,0
Rundung,Bei modernen Formeltarifen mit Rundung auf einen vollen Euro kann man diesen Effekt praktisch vernachlässigen.,15,4,"['▁Rund', 'ung']",2,0
Wildmeister,"Johann Valentin Sckell (1694–1769), deutscher Wildmeister Johann Wilhelm Sckell (1722–1792), deutscher Gärtner",12,4,"['▁Wild', 'meister']",2,0
Teamliga,Saison der ESL Pro Series erneut zum Most Valuable Player der Teamliga gewählt.,13,4,"['▁Team', 'liga']",2,0
Taglung,"Vertreter der Reihe, er ist eines der drei Oberhäupter der Taglung-Kagyü-Schule.",11,5,"['▁Tag', 'lung']",2,0
Vorsingen,Mai 1968 den Fernseh-Talentwettbewerb Opportunity Knocks gewann und kurz darauf einen Anruf von Paul McCartney zum Vorsingen erhielt.,18,5,"['▁Vors', 'ingen']",2,0
Persisch,"Für manche Sprachen werden parallel mehrere Schriften verwendet: Kashmiri wird in Pakistan in persisch-arabischer Schrift, in Indien in Devanagari geschrieben.",20,4,"['▁Pers', 'isch']",2,0
Landmeister,Livland (Deutscher Orden) Landmeister: Anno von Sangerhausen (1254–1257) Landmeister: Burkhard von Hornhausen (1257–1260),13,4,"['▁Land', 'meister']",2,0
Schulmuseum,Friedrich Schröer: Das Schulmuseum Schüttorf – Eine Reise zurück in vergangenen Schulzeiten.,12,5,"['▁Schul', 'museum']",2,0
Landgang,"Die Sportler schwimmen zwei Runden auf einem 1,9-km-Rundkurs mit Landgang nach der ersten Runde.",14,4,"['▁Land', 'gang']",2,0
Titular,Die Titular-Landgrafen von Hessen traten 1951 als Nachbesitzer im Zuge der Bodenreform den Hof an die Nassauische Siedlungsgesellschaft ab.,19,4,"['▁Tit', 'ular']",2,0
Donner,"Unter freiem Himmel, bei Blitz und Donner, verlieren beide ihre Unschuld aneinander.",12,5,"['▁Don', 'ner']",2,0
Federweg,Die hintere geschmiedete Einarmschwinge aus Aluminium mit Paralever-Momentabstützung hat eine zentrale Feder-Dämpfer-Einheit (Federbein) von Öhlins mit 160 mm Federweg.,19,4,"['▁Feder', 'weg']",2,0
Workout,"Jede Einheit, auch Workout of the Day (WOD) genannt, besteht meist aus einer Reihe verschiedener Übungen, die in mehreren Runden ausgeführt werden.",22,4,"['▁Work', 'out']",2,0
Erle,"Weitere wichtige in den Bergen vorkommende Baumarten sind Rotbuche, Roteiche, Lärche, Eberesche, Fichte, Erle und Späte Traubenkirsche.",17,4,"['▁Er', 'le']",2,0
Überfahren,Grund dafür war das Überfahren von Haltesignalen des Fahrers aufgrund von Müdigkeit.,12,4,"['▁Über', 'fahren']",2,0
Ambo,"Ausstattung Im Innenraum befindet sich eine moderne Ausstattung mit Volksaltar, Tabernakel und Ambo, welches alles aus Holz gefertigt wurde.",19,4,"['▁Am', 'bo']",2,0
Wecker,Sechs Jahre später stellte Eterna an der Schweizerischen Landesausstellung die weltweit erste Armbanduhr mit Wecker vor.,16,4,"['▁We', 'cker']",2,0
Nebenbach,Der Harsleber Bach ist ein Nebenbach des Hellbachs im nördlichen Harzvorland.,11,5,"['▁Neben', 'bach']",2,0
ppt,"Studien legen nahe, dass sie sich vor Erreichen dieses Gewichtes am besten entwickeln, wenn der Salzgehalt bei 8 ppt liegt.",20,4,"['▁p', 'pt']",2,0
Quiz,Sein erstes Format in der ARD war das Star Quiz mit Kai Pflaume.,13,5,"['▁Qu', 'iz']",2,0
Schluss,1 BGB begann für Rückforderungsansprüche wegen unwirksam formularmäßig vereinbarter Bearbeitungsentgelte in Verbraucherdarlehensverträgen nach BGB erst mit dem Schluss des Jahres 2011 zu laufen.,23,5,"['▁Sch', 'luss']",2,0
Fax,Einer weiteren Internetquelle zufolge zirkuliert der Text mindestens seit den 1980er Jahren per Fax.,14,4,"['▁F', 'ax']",2,0
Kinderstar,So war er 1938 in Just Around the Corner nur noch in der zweiten Hauptrolle hinter Kinderstar Shirley Temple zu sehen.,21,4,"['▁Kinder', 'star']",2,0
Ostportal,Vor dem heutigen Ostportal war ursprünglich ein weiterer Torbogen in Verlängerung der heutigen Fresken der Pferdeschwemme angebracht.,17,4,"['▁Ost', 'portal']",2,0
Hauptamt,Am 5. Juni 1945 berichtete der Direktor der Berliner Caritas: „Im Hauptamt für Volkswohlfahrt […] wurde schwer gekämpft.,18,5,"['▁Haupt', 'amt']",2,0
Kultbild,Als Kultbild und Schutzpatronin der Knidier wurde die Statue schnell auch zu einer Touristenattraktion.,14,5,"['▁Kult', 'bild']",2,0
Zugbildung,Zwei Triebwagen und acht dazwischen eingestellte Beiwagen stellten die normale Zugbildung dar.,12,4,"['▁Zug', 'bildung']",2,0
Pflug,"""Naturfreundlich"", ein LPG Bauer fährt mit seinem Pflug um einen Baum herum;",12,5,"['▁P', 'flug']",2,0
Longplay,"Bei Nachvertonung diese nur in Mono 6 Köpfe: vier Videoköpfe für Standard- und Longplay, sowie besseres Standbild und zwei Audioköpfe für Hi-Fi-Stereo;",22,4,"['▁Long', 'play']",2,0
Einsatzfall,"Objektschutzanlagen schützen frei stehende Objekte (z. B. Motorprüfstände, Druckmaschinen), die im Einsatzfall mit dem Löschmittel umgeben werden (Einrichtungs- bzw. Objektschutz).",20,4,"['▁Einsatz', 'fall']",2,0
Ausritt,"Ihre Flitterwochen verbringen Sisi und Franz in Laxenburg, wo sie die Zeit unter anderem mit einem gemeinsamen Ausritt verbringen.",19,5,"['▁Aus', 'ritt']",2,0
Luxation,Schwere Dysplasien mit nicht reponierbarer Luxation des Gelenkes müssen auf jeden Fall operativ versorgt werden.,15,4,"['▁Lux', 'ation']",2,0
Originalspiel,"Neben einigen neuen psychischen Fähigkeiten kehren viele seiner Kräfte aus dem Originalspiel zurück, darunter Pyrokinese, Levitation und Telekinese.",18,4,"['▁Original', 'spiel']",2,0
Debugger,Zudem gab es Verbesserungen im Editor für ASP.NET und erstmals einen integrierter Debugger.,13,4,"['▁Debug', 'ger']",2,0
Lageplan,Im Jahr 1995 hat die Stadt Koblenz einen kleinen Führer mit Lageplan herausgegeben.,13,4,"['▁Lage', 'plan']",2,0
Generalität,"Johannes Georg Zirschke: Zuverläßige Beschreibung der hohen Generalität, Erste Fortsetzung d. II.",12,5,"['▁General', 'ität']",2,0
Weiterflug,Der Weiterflug des Gefechtskopfes erfolgte nun steuer- und antriebslos auf der Flugbahn einer Wurfparabel.,14,5,"['▁Weiter', 'flug']",2,0
Frauenbild,Kaiserin Als Kaiserin übernahm Menen zahlreiche repräsentative Aufgaben und stärkte und verkörperte ein modernes Frauenbild im traditionellen Äthiopien.,18,4,"['▁Frauen', 'bild']",2,0
Personalform,"Clause [] ist die Wortgruppe im Satz, die aus einem finiten Verb (Personalform eines Verbs) und den von ihm abhängigen Wörtern besteht.",22,4,"['▁Personal', 'form']",2,0
Liberaler,Im gleichen Jahr wurde er als Liberaler für den Bezirk Lüttich in den Senat gewählt.,15,4,"['▁Liber', 'aler']",2,0
Tomate,"Eingesetzt wird Antisense-RNA zum Beispiel in der Biotechnologie, beispielsweise bei der kommerziell wenig erfolgreichen Flavr-Savr-Tomate.",15,4,"['▁Tom', 'ate']",2,0
Galaxis,"Douglas Adams, Autor von Per Anhalter durch die Galaxis, schrieb einige Drehbücher und Vorlagen.",14,4,"['▁Gal', 'axis']",2,0
Zusammenbau,April 2008 Experimente auf der ISS Animation: Zusammenbau der Internationalen Raumstation;,11,4,"['▁Zusammen', 'bau']",2,0
Testperson,"Während die Testperson die Tafeln betrachtet, notiert er Äußerungen, die Handhabung (Drehungen) der Karte sowie Reaktionszeiten.",16,5,"['▁Test', 'person']",2,0
Staffage,William Turner: Antike Landschaft mit figürlicher Staffage,7,4,"['▁Staff', 'age']",2,0
analyse,"DESG und Synergies Européennes schließen Kooperationsabkommen, in: analyse & kritik (1997a), H. 403, S. 21.",15,4,"['▁analy', 'se']",2,0
Quarter,Micoud ist ein Quarter (Distrikt) im Süden des Inselstaates St. Lucia.,11,4,"['▁Qu', 'arter']",2,0
Landstadt,San Germán ist eine Landstadt im Departamento Santa Cruz im Tiefland des südamerikanischen Anden-Staates Bolivien.,15,4,"['▁Land', 'stadt']",2,0
Akademiepreis,Am 3. Juni 1894 wurde er mit dem Akademiepreis der Archäologischen Fakultät in Florenz ausgezeichnet.,15,4,"['▁Akademie', 'preis']",2,0
Infantin,"November: Maria Antonia von Spanien, spanische Infantin und Königin von Sardinien-Piemont († 1785) 17.",14,5,"['▁Inf', 'antin']",2,0
Meier,"Die Meier waren verpflichtet, festgelegte Mengen Getreide, Bohnen, Butter, Eier usw. zu liefern.",13,4,"['▁Me', 'ier']",2,0
