word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
decency,"Former Minister for Immigration Alex Hawke labelled his words as ""truly graceless and bereft of common decency"".",17,4,"['dec', 'ency']",2,0
atrium,"The main church is called the Purísima Asunción, which faces the town square without an atrium.",16,5,"['at', 'rium']",2,0
stratigraphy,He is remembered for his important contributions in the fields of stratigraphy and Pleistocene geology.,15,4,"['strat', 'igraphy']",2,0
wrung,"Because of their ultraflat surfaces, when wrung, gauge blocks adhere to each other tightly.",14,4,"['wr', 'ung']",2,0
succulent,Description This small and robus clump-forming succulent grows tall with a diameter of up to .,16,5,"['succ', 'ulent']",2,0
grandeur,"The marriage was celebrated with grandeur, reflecting the political significance of the event.",13,4,"['grand', 'eur']",2,0
trapping,Elenor kept drawing things and the things soon started to become reality due to the evil trapping mirrors in the house.,21,4,"['tra', 'pping']",2,0
vies,"When Souplier forms a relationship with a fellow student, the jealous priest vies for his attention, yielding tragic results.",19,4,"['v', 'ies']",2,0
accompanist,"In 2001, he returned to the public platform as a performance poet, first working with saxophonist Ed Jones and then with Louise Elliott, who has become his full-time accompanist.",29,5,"['accompan', 'ist']",2,0
barque,See also Hougomont (barque) References Coastal towns in South Australia Investigator Strait,12,4,"['bar', 'que']",2,0
unspec,"Deep vein thrombosis, proximal Deep vein thrombosis, distal Venous embolism, unspec.",11,4,"['un', 'spec']",2,0
recounting,"Payut only made one animated film for the USIS, a 20-minute recounting of the story of Hanuman, the white monkey in the classic Ramayana.",24,4,"['re', 'counting']",2,0
experimentalis,Physiologie Cursus: Anatomico – meccanico – experimentalis (A Course in Physiology: Anatomical – mechanical – experimental; 1765) – A study in Latin which deals with various aspects of physiology.,29,4,"['experiment', 'alis']",2,0
discreet,This method of work enabled the high-ranked members of the organization to stay more discreet and safe from police arrests as their identities stay unknown.,25,5,"['dis', 'creet']",2,0
caries,Indians did not use refined sugar or crystal sugar and incidences of dental caries were low.,16,4,"['car', 'ies']",2,0
tory,"In 1714, Welsted attacked Robert Harley, the fallen head of the Tory party, with The Prophecy.",16,4,"['t', 'ory']",2,0
creeper,"Etymology The name Urspelerpes means ""archaic"" (ur) and ""cave creeper"" (spelerpes) in Ancient Greek.",14,5,"['cre', 'eper']",2,0
marae,The marae Motairehe Marae and its Whakaruruhau meeting house which are affiliated with Ngātiwai Ki Aotea are located here.,19,4,"['mara', 'e']",2,0
icebox,"The galley is ""L""-shaped and is equipped with a two-burner stove, icebox and a sink.",15,5,"['ice', 'box']",2,0
waxy,"Once established, it is difficult to eradicate, as its waxy leaves shed most water-based herbicide sprays.",16,4,"['w', 'axy']",2,0
obscurus,References obscurus Fauna of Zambia Taxa named by Max Poll Fish described in 1978 Taxonomy articles created by Polbot,19,5,"['obsc', 'urus']",2,0
participatory,Chalke contends that there are two elements to healthy democracy; representative and participatory.,13,5,"['particip', 'atory']",2,0
putto,Mercury leans back to look at an infant putto tying wings at his feet.,14,5,"['put', 'to']",2,0
scouting,"Cultural methods include antibacterial management, sanitation, removal of infected plants, frequent scouting, and most importantly, crisis declaration.",17,4,"['sc', 'outing']",2,0
forearc,Combined analysis of the three terranes suggests the Grande Terre formed at the eastern edge of a volcanic forearc related to subduction.,22,5,"['fore', 'arc']",2,0
interpreting,"RWS Language Services provides software localization services, and commercial translation and interpreting services.",13,5,"['interpre', 'ting']",2,0
hierarch,"Bishop Basil Filevich (; January 13, 1918 – April 20, 2006) was a Canadian Ukrainian Greek Catholic hierarch.",18,5,"['hier', 'arch']",2,0
miscommunication,It never aired due to a miscommunication about being pre-empted for Christmas.,12,4,"['mis', 'communication']",2,0
quinine,"While Aeneas was living in Matelli, he owned a Cinchona (quinine) plantation.",12,4,"['quin', 'ine']",2,0
anticancer,CancerDR: CancerDR is a database of 148 anticancer drugs and their effectiveness against around 1000 cancer cell lines.,18,5,"['antic', 'ancer']",2,0
eyeball,Crypts of Henle are microscopic pockets found in scattered sections of the conjunctiva around the eyeball.,16,4,"['ey', 'eball']",2,0
stabbing,An 18 year old black youth from Dorchester was ultimately arrested in the stabbing.,14,5,"['st', 'abbing']",2,0
coward,Dampit calls Gulf a hypocrite and a coward for insulting him when he is in a weakened condition.,18,5,"['cow', 'ard']",2,0
lingerie,Intimates became the single best-selling lingerie line in both Great Britain and Australia.,13,5,"['ling', 'erie']",2,0
poorly,"At first Pimienta planned to attack the poorly defended east side, and the English rushed there to improvise defenses.",19,4,"['poor', 'ly']",2,0
detour,"Transportation You can get to Ayolas taking a detour on the Route I Mcal Francisco Solano López, after the town of Santiago.",22,5,"['det', 'our']",2,0
panado,"It is also popular as a sandwich, served in a bun with lettuce (sandes de panado).",16,5,"['pan', 'ado']",2,0
medius,"Abduction (50° with hip extended, 80° with hip flexed): gluteus medius; tensor fasciae latae; gluteus maximus with its attachment at the fascia lata; gluteus minimus; piriformis; and obturator internus.",29,5,"['medi', 'us']",2,0
translucent,"The spores are roughly elliptical, smooth, hyaline (translucent), and have dimensions of 4.5–6 by 3–4.5 µm.",16,5,"['trans', 'lucent']",2,0
ketchup,"It is usually served with mashed potatoes, French fries, rice, or pasta, accompanied by ketchup, hummus, or vegetable salad.",19,4,"['k', 'etchup']",2,0
pacem,"It has the text in German and Latin, which Mendelssohn had added, ""Dona nobis pacem, Domine"", and an English translation ""In thy mercy grant us peace"".",26,4,"['pac', 'em']",2,0
yearling,"As a yearling he was offered for sale and bought for bought for 2,000 guineas by Douglas Baird.",18,5,"['year', 'ling']",2,0
abscess,"A few months later, she was found to have an abscess on her spine.",14,5,"['abs', 'cess']",2,0
intron,"Intron 1 is 115 nucleotides, intron 2 is 389 nt, and intron 3 is 275 nt.",16,4,"['int', 'ron']",2,0
speeding,"In all 65 mph speed zones, the fines for speeding and other moving violations are doubled.",16,4,"['speed', 'ing']",2,0
midstream,"DCP Midstream Partners, LP (Enbridge and Phillips 66) is a Fortune 500 company for midstream petroleum services (i.e.",18,4,"['mid', 'stream']",2,0
comix,This alternative underground comix movement used the medium as a method for radical changes.,14,4,"['com', 'ix']",2,0
yates,"9 team for Evernham with their new driver, rookie Kasey Kahne, and Ford instead rejoined Yates and Jarrett's No.",19,5,"['y', 'ates']",2,0
magpie,References BirdLife Species Factsheet External links Magpie mannikin - Species text in The Atlas of Southern African Birds.,18,5,"['mag', 'pie']",2,0
selv,A Guide and a Scout feel responsibility for themselves and others.En speider kjenner ansvar for seg selv og andre.,19,4,"['sel', 'v']",2,0
flatbread,Barbari bread () is a type of yeast leavened Hazara flatbread.,11,5,"['flat', 'bread']",2,0
rearrangement,"The usual way of doing this is from the relevant oxime, via the Neber rearrangement.",15,4,"['re', 'arrangement']",2,0
einem,"Paul M of European magazine Time for Metal gave the album an 8/10, commenting that the album is ""full of feeling"" (voller Gefühle), and that ""you won't get bored either"" (wird einem auch nicht langweilig).",35,5,"['ein', 'em']",2,0
knuckle,"Bare-knuckle boxing On January 23, 2020, news surfaced that Rickels had signed with Bare Knuckle Fighting Championship.",17,4,"['kn', 'uckle']",2,0
entitydescriptor,"Entity metadata The following code sample illustrates the common technical features of a SAML <md:EntityDescriptor> element: <md:EntityDescriptor entityID=""https://sso.example.info/entity"" validUntil=""2017-08-30T19:10:29Z"" xmlns:md=""urn:oasis:names:tc:SAML:2.0:metadata"" xmlns:saml=""urn:oasis:names:tc:SAML:2.0:assertion"" xmlns:mdrpi=""urn:oasis:names:tc:SAML:metadata:rpi"" xmlns:mdattr=""urn:oasis:names:tc:SAML:metadata:attribute"" xmlns:ds=""http://www.w3.org/2000/09/xmldsig#""> <!-- insert ds:Signature element (omitted) --> <md:Extensions> <mdrpi:RegistrationInfo registrationAuthority=""https://registrar.example.net""/> <mdrpi:PublicationInfo creationInstant=""2017-08-16T19:10:29Z"" publisher=""https://registrar.example.net""/> <mdattr:EntityAttributes> <saml:Attribute Name=""http://registrar.example.net/entity-category"" NameFormat=""urn:oasis:names:tc:SAML:2.0:attrname-format:uri""> <saml:AttributeValue>https://registrar.example.net/category/self-certified</saml:AttributeValue> </saml:Attribute> </mdattr:EntityAttributes> </md:Extensions> <!-- insert one or more concrete instances of the md:RoleDescriptor abstract type (see below) --> <md:Organization> <md:OrganizationName xml:lang=""en"">...</md:OrganizationName> <md:OrganizationDisplayName xml:lang=""en"">...</md:OrganizationDisplayName> <md:OrganizationURL xml:lang=""en"">https://www.example.info/</md:OrganizationURL> </md:Organization> <md:ContactPerson contactType=""technical""> <md:SurName>SAML Technical Support</md:SurName> <md:EmailAddress>mailto:technical-support@example.info</md:EmailAddress> </md:ContactPerson> </md:EntityDescriptor> Note the following details about this general entity descriptor: The entityID attribute is the unique identifier of the entity.",94,5,"['entity', 'descriptor']",2,0
quaint,"Lockhart has played host to many film sets, as this quaint, small town is located just south of Austin.",19,5,"['qu', 'aint']",2,0
hazel,"The wooden pipe is commonly made of buckthorn, hazel, maple, ash, or bird cherry.",14,5,"['haz', 'el']",2,0
seasonality,Ongoing challenges associated with mitigating disease at the field-scale include seasonality of the phytopathogen (Liberibacter spp.),16,5,"['season', 'ality']",2,0
minimalist,"Many of her more notable performances juxtapose fantasy with reality, while her later paintings are abstract and minimalist.",18,5,"['minimal', 'ist']",2,0
charlock,"It is commonly known as charlock mustard, field mustard, wild mustard, or charlock.",13,5,"['ch', 'arlock']",2,0
telluride,The other stream was directed to a cooled mercury cadmium telluride detector in the thermal region (10.5–12.5 micrometer).,18,5,"['tell', 'uride']",2,0
abuser,"She wrote that ""race trumped gender"" and that they identified with the abuser rather than the victim due to race.",20,5,"['ab', 'user']",2,0
barrack,"Modern times Following World War II, the British Army of the Rhine was established in 1945 and Minden was in British Occupation Zone and it became one of the barrack towns of the BAOR.",34,4,"['bar', 'rack']",2,0
scolaire,"The French first language public secular school board, Conseil scolaire Viamonde, and it separate counterpart, Conseil scolaire catholique MonAvenir also offer schooling to applicable residents of Lansing, although they do not operate a school in the neighbourhood.",37,5,"['sc', 'olaire']",2,0
genie,"The actor for the genie in the film, Danny Shepherd, also had a large following on social media.",18,4,"['gen', 'ie']",2,0
nitens,"C. g. nitens is very like the nominate, but with a slight gold sheen and a less deeply forked tail.",20,5,"['nit', 'ens']",2,0
alternator,i-ELOOP also achieves better gas mileage by disengaging the alternator during acceleration.,12,5,"['altern', 'ator']",2,0
slugging,His slugging (.466) and on-base plus slugging (.851) percentages remained the highest of his career.,15,4,"['slug', 'ging']",2,0
isotypes,The co-expression of both of these immunoglobulin isotypes renders the B cell ready to respond to antigen.,17,5,"['is', 'otypes']",2,0
poacher,"At the bottom of the cliff, Dobermaxx asks Bobcat to shave the poacher's mustache off.",15,4,"['po', 'acher']",2,0
deserti,"Conservation status Eremophila deserti is classified as ""not threatened"" by the Western Australian Government Department of Parks and Wildlife.",19,5,"['des', 'erti']",2,0
nominative,It is used in the Gospel of John both with and without a predicate nominative.,15,5,"['nomin', 'ative']",2,0
