word,selected_sentence,sentence_length,original_frequency
study,A study on the anatomy and phylogenetic relationships of Paliguana whitei is published by Ford et al.,17,1990
office,"History The Buckingham post office operated from December 21, 1888, until July 1, 1966.",14,1975
ship,"The ship had a crew of 251, later reduced to 180.",11,1960
project,Netflix greenlit the project with Thomas serving as showrunner of the series.,12,1953
research,operates an independent architectural research centre Ruin Academy as their headquarters in Taipei.,13,1948
class,Drug class Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,15,1944
coach,"Currently, since summer 2021, he is an assistant coach for the Golden State Warriors of the National Basketball Association (NBA).",20,1942
example,"For example, in the Boop-Oop-a-Doop cartoon, it is thought that the word is used as a substitute for ""virginity"".",19,1918
head,"In accordance with the Succession to the Crown Act, Thomas Parker, Lord Chief Justice, became head of the regency.",19,1914
man,"Outside France, Giono's best-known work is probably the short story The Man who Planted Trees (and 1987 film version).",19,1901
result,"As a result, the NSW Mounted Police was formed in the following year.",13,1898
debut,White Sugar is the debut album of British Blues Artist Joanne Shaw Taylor.,13,1881
design,"Career In his early career, Jenike worked for several engineering design firms as a mechanical and structural engineer.",18,1880
writer,Little Misunderstandings of No Importance () is a 1985 short story collection by the Italian writer Antonio Tabucchi.,18,1866
language,Pragathy Guruprasad is a Singaporean-American playback singer who has worked in Tamil language films.,14,1857
child,The structure currently hosts the Merrill Palmer Skillman Institute of Child & Family Development of Wayne State University.,18,1856
business,The basics in the design build on the actual business process which the data warehouse should cover.,17,1853
daughter,Zamindar wants to get his son Vinod married to Vedachellam's daughter Rasathi (Sukanya).,13,1803
actor,The role of Sona is played by TV actor Hamid Rana and Chandi (Sheeba Hassan).,15,1800
league,"In 2010, he played collegiate summer baseball with the Falmouth Commodores of the Cape Cod Baseball League.",17,1797
president,Steve Wymer served two full years and part of a third as student body president at Washington State University.,19,1792
goal,Seven of the team's sixteen games were decided by a field goal or less.,14,1784
birth,References Kingdom of Kongo 1695 deaths Year of birth unknown,10,1782
wife,Personal life Paddy McKillen is married to his wife Maura.,10,1781
term,"Wilson's second term was dominated by America's roles fighting and financing the World War, and designing a postwar peaceful world.",20,1749
road,Final classification References Men's Road Race UCI Road World Championships – Men's road race,14,1741
stage,"Given the strength of C and D Grade, their handicaps for this stage were reduced by 3 minutes.",18,1730
performance,"(1976), for which she received Logie Award for Best Individual Performance By An Actress.",14,1723
organization,Alonso entered the 2009 season ranked as the number one overall prospect in the Reds organization by Baseball America.,19,1721
type,"Similarly, Stith Thompson stated there is great variety in the tales indexed as this type.",15,1710
others,These entrances are connected to the others by way of bathrooms and ground floor lounges.,15,1697
support,This tissue provides support to plants and also stores food.,10,1673
construction,"was a Japanese , who served the , during the Sengoku period and assisted with the construction of Yasuda Castle.",20,1672
force,Alte Feste Commando was a light infantry regiment of the South West Africa Territorial Force.,15,1659
addition,In addition to ALs some professional degrees require recognized professional diploma for the admission.,14,1621
car,The more austere specification led to the car being lighter than a GTI-6.,13,1618
brother,"He had an older sister Josephine, and a younger brother Francis (Frank).",12,1609
mother,His father was a laborer and his mother was a school crossing guard.,13,1606
award,"In November 2002, Kubálek was recognized by the Czech Music Council with a UNESCO honorary award.",16,1561
competition,"He appeared five times, including once in the final as he also scored, as they won the competition.",18,1561
speed,Some school zones there have twenty miles per hour speed limits.,11,1560
right,"It flows south-southwest for several tenths of a mile, receiving an unnamed tributary from the right.",16,1556
section,Senior Specialist (Oberregierungsrat) Dr Roy was head of Administrative Section in Z Branch.,13,1546
tournament,2014 The 2014 Ōdō Tournament took place between September 15 and 28 and featured sixteen wrestlers.,16,1542
college,"Recognition As of 2022, New College of Florida was ranked No.",11,1521
release,"In 2021, Rally-X saw a digital release under the Arcade Archives label for the Nintendo Switch and PlayStation 4.",19,1513
degree,"After the Yellow Dossier Incident, the degree of political freedom was greatly reduced by Phraya Manopakorn's policies.",17,1507
m,It lies at an elevation of 837 feet (255 m).,10,1503
process,"The solutions were written out in steps, outlining the process.",10,1496
model,A Teletype Model 33 provided Bill Gates' first computing experience.,10,1474
singer,Robert Howard Cantor is an American singer-songwriter and creator of multiple viral videos.,13,1473
officer,He was the only officer to focus strictly on dressage.,10,1466
information,"Personal Information Dealey married the former Clara MacDonald on March 1, 1916.",12,1463
basketball,"He then played football and baseball, but not basketball, for the Orangemen (now Orange) before embarking on his coaching career.",20,1452
police,"They called police, who also discovered another briefcase full of money in the woods.",14,1448
author,"Social Realism in Soviet Armenian Fine Arts (co-author H. Hakopyan), Moscow, 2015.",12,1444
producer,"Co-producer Leonard Chang suggested that the series could apply Aristotle's Poetics for the scene, highlighting the motivations of the characters.",20,1439
aircraft,Burevestnik's communications and logistics were tied to Yuzhno-Sakhalinsk and supplies were flown in weekly on Antonov An-12 aircraft.,18,1439
structure,The structure currently hosts the Merrill Palmer Skillman Institute of Child & Family Development of Wayne State University.,18,1435
plant,The farthest inland plant zone is the upland zone and it consists of pine flatwoods and bottomland hardwood hammocks.,19,1434
leader,Third round leader Doug Sanders shot 73 (+3) on Sunday and finished two strokes back in a tie for third.,20,1417
style,"Animation World Network praised the animation style and background, saying the latter has ""the aesthetic of a pop-up book.""",19,1417
collection,"His 2013 collection, Barkin!, published by Gwasg Carreg Gwalch was shortlisted for 2014's Wales Book of the Year Award.",19,1416
control,Kuroda struggled with his control in the opener as the Dodgers lost 9–5.,13,1413
action,"However, she deeply regretted this action when the Zereca nearly caused the extinction of the Human race.",17,1405
movement,Leaders of the Freedom Movement of Iran were compelled to make and publicly broadcast apologies for supporting the Front's appeal.,20,1405
campaign,"The campaign was the idea of Conservative politician Rory Stewart, MP for Penrith and The Border.",16,1404
course,"Of course, this it not enough to appreciate the context behind these acronyms.",13,1393
novel,"His second novel, Down to Heaven, about a Ming dynasty colony in South America, was translated into three languages.",19,1389
association,"1897: The National American Woman Suffrage Association begins publishing the National Suffrage Bulletin, edited by Carrie Chapman Catt.",18,1384
background,"Animation World Network praised the animation style and background, saying the latter has ""the aesthetic of a pop-up book.""",19,1379
court,525 is a leading constitutional decision of the Supreme Court of Canada.,12,1376
culture,"He published a book on how immigrants needed to be ""americanized"" into a single uniform culture.",16,1364
play,"The venues were changed after Kildare refused to play anywhere other than their home ground, St Conleth's Park, in Newbridge.",20,1361
genus,Some African orchids of the genus Disa have pollinaria that stick to the feet of visiting sunbirds.,17,1360
week,"The protests grew incredibly fast, reaching between six million and nine million in strength in the first week.",18,1344
board,"Sanderson became involved in another controversy in 1995, in the period after MaryAnn Mihychuk resigned as chairman of the board.",20,1340
manager,"In 1948, Shimkin became business manager for the short-lived New York Star.",12,1338
university,Steve Wymer served two full years and part of a third as student body president at Washington State University.,19,1336
championship,"They beat the Oklahoma Storm in the quarterfinals and the Kansas Cagerz in the semifinals, reaching the USBL championship game.",20,1334
division,It is the mandal headquarters of Maddipadu mandal in Ongole revenue division.,12,1334
radio,The version appearing on the single is the radio edit and is shorter than the version on the album.,19,1330
unit,"It has 1050 inpatient beds in 47 service units, a 58-bed intensive care unit and a 17-bed emergency unit.",19,1327
health,"On 8 June 2022, she announced that she was waiting for a second heart transplant because of new health problems.",20,1322
contract,Initially it was uncommon for a family member to contract the infection unless they did not have a smallpox scar.,20,1319
magazine,"2017 — Give Them a Corpse (Part 1) by Rich Harvey, Awesome Tales magazine, issue #6, Bold Venture Press, 2017.",20,1317
guitar,"He moves effortlessly among instruments, often playing violin while an electric guitar hangs down his back.",16,1307
set,She then faced fifth seeded Angelique Kerber but lost in three sets after winning the second set 6–1.,18,1305
practice,"The Bears later cut Pope from the team on September 9, but was shortly re-signed onto the practice squad.",19,1305
effect,Singly charged ions of the sample are formed by the thermal ionization effect.,13,1305
month,"The musician played his final concert in July 2023, approximately one month before his death.",15,1289
person,There are 7 people who speak French and 1 person who speaks Romansh.,13,1278
edition,An English edition of Ronggeng Dukuh Paruk was published in 2003 by the Lontar Foundation in Jakarta.,17,1276
issue,"2017 — Give Them a Corpse (Part 1) by Rich Harvey, Awesome Tales magazine, issue #6, Bold Venture Press, 2017.",20,1270
rock,Tribespeople also built shallow bowls in the earth and lined them with rock to create primitive cooking pots.,18,1265
river,"Both tunnels are in length, and lie below the river bed, at their deepest point.",15,1259
tv,The role of Sona is played by TV actor Hamid Rana and Chandi (Sheeba Hassan).,15,1257
island,The storm dropped 6–10 inches of rain across the Big Island.,11,1234
change,It was also the last series to have a Ranger change mid-season.,12,1233
municipality,"Castelãos e Vilar do Monte is a civil parish in the municipality of Macedo de Cavaleiros, northern Portugal.",18,1233
county,External links Street map (Hungarian) References Populated places in Somogy County,11,1227
capital,Yet the first fights started to the north-east of the Polish capital.,12,1217
railway,They head for Mumbai via railway and then to Calcutta.,10,1216
attack,"The Indian army starts moving forces to nearby locations, preparing to attack if Pakistan tries to open the Western front.",20,1210
win,"He finished the year with a 10–5 win–loss record, an ERA of 2.57 and 121 strikeouts in 128 innings.",19,1208
staff,"In 1921, he was assigned as a student at the United States Army Command and General Staff College.",18,1208
material,"Contrastingly, some Reform rabbis suggest that the consumption of erotic material could benefit marital relations.",15,1207
range,A total of 30 Snarks were deployed to the USAF's first and only long-range cruise missile base.,17,1197
space,"Rather, it defines its mission as to enlarge the space for non-military alternatives to prevent and manage conflict.",18,1191
industry,Both Germany and the United Kingdom relied heavily on imports to feed their population and supply their war industry.,19,1187
studio,"Barger also received $150,000 from the Twentieth Century Fox studio which purchased the film rights for his autobiography.",18,1186
appearance,Franzen made her final film appearance in 1924 before retiring from acting.,12,1182
science,Kepler and JWST science data will be archived and retrieved in similar fashions.,13,1181
network,"This mode can also be used for security purposes network services are not run, eliminating the possibility of outside interference.",20,1177
candidate,"He ran unsuccessfully as the 2010 Republican candidate for California's 51st congressional district, losing to incumbent Democrat Bob Filner.",19,1175
date,Key Players in Allsvenskan and Svenska Serien Up to date as of 19 June 2022.,15,1158
seat,He took his seat in the House of Lords on 5 October 1796.,13,1154
data,"A related standard, IEC 61968 defines a CIM information model for energy data.",13,1150
loss,This was her third loss to the Russian already that year.,11,1146
plan,The Integrated Rail Plan for the North and Midlands (IRP) confirmed this.,12,1137
training,"In the meantime, the Chariot force continued training at Loch Cairnbawn in Scotland.",13,1131
market,"There are several variants of the drone, both for Russia's domestic and export market.",14,1125
report,"New York State Legislature, Report of the Sub-committee Relative to the Public Education System of the City of New York.",20,1121
cell,The disease phenotypes themselves are normally the consequence of the cell's inability to breakdown or produce an essential substrate.,19,1117
interest,"Promotion of interest and progress in geophysical sciences, through the media of national and international bodies.""",16,1116
census,"Demographics As of the census of 2000, there were 364 people, 87 households, and 80 families residing in the CDP.",20,1113
property,The property was listed on the National Register of Historic Places in 1989.,13,1112
success,"His only moments of success came in the third round, when he managed to stagger Conceição with a left hook.",20,1109
vote,"The band held a democratic vote, and they decided to include the song in their album repertoire.",17,1099
train,"The train was therefore set aside, and was decided retired from 7 April 1956.",14,1098
friend,"Rebeca, friend of Dudão and Binho and also the only girl in the gang.",14,1094
air,From 1959 it was a combined RAF-Royal Australian Air Force formation.,11,1091
union,"The move was supported by the AFL–CIO, who responded by posting pictures of union leaders posing with the symbol.",19,1090
half,"Gary Cahill scored on the stroke of half-time, before Diego Costa doubled Chelsea's lead ten minutes after the break.",19,1087
department,Oakley's anthropology department in 1964 where she became acquainted with tool-artefacts and gained a knowledge of human skeletal anatomy.,19,1085
engine,"The standard P 50-series engine is rare, with only 2,530 units built.",12,1084
source,"See also Commodore 64 GEOS (8-bit operating system) VICE, Open source Commodore 8-bit emulator (including VIC-20, C64, C128 etc.)",19,1076
drama,"There is no ill will, no acrimony, and no drama ... it just isn't what we needed in the character.""",20,1074
policy,"Countering military objections, however, he made political rights an early policy centerpiece with an emphasis on constitutionality.",17,1071
operation,History A post office called Sugar City has been in operation since 1900.,13,1060
winner,"After the race, Chapple-Hyam described the winner as ""some horse, as good as I have ever trained"".",17,1056
location,"Location and access The dam is located at (32.37393, -97.68753).",10,1054
limit,Midway Atoll The speed limit in Midway Atoll is .,10,1054
word,"There are many theories about the origin and usage of the word, but few of these have documented proof.",19,1054
size,The size of Belgreen will be reduced somewhat after the planned addition of a four lane on Alabama Highway 24.,20,1052
actress,"Ghislaine Pierie, 53, Dutch actress, film director, and stage director (Baantjer, Moordvrouw, SpangaS).",13,1048
summer,"In 2010, he played collegiate summer baseball with the Falmouth Commodores of the Cape Cod Baseball League.",17,1048
household,"The median income for a household in the village was $29,015, and the median income for a family was $36,250.",20,1042
professor,He was a Visiting Professor of Law at Georgetown University from 1962 to 1967.,14,1037
society,One way traditional gender roles are perpetuated in Venezuelan society is through the Miss Universe Pageant.,16,1035
review,Articles Editors and Staff Members also write about current changes in the law on the Law Review’s blog.,18,1031
relationship,This relationship would continue until Human Grand Prix IV: F1 Dream Battle was released.,14,1026
today,"Today, Agios Ilias is inhabited by settlers from the Denizli Province of Turkey.",13,1024
article,"At the time of the article, Smith was more than half way to a college degree.",16,1022
ground,Habitat and distribution Fruit bodies of Lepiota zalkavritha grow singly on the ground.,13,1021
rate,"Decadal growth rate of population is higher than that of neighbouring Murshidabad district, which has the next highest growth rate.",20,1020
park,The Lower and Upper CCC roads are still in use at the park today.,14,1017
run,"It includes playground, Nature Playgarden, amphitheatre, and a dog run.",10,1014
figure,"In the course of a long and eventful life, he became a key figure in Welsh resistance to Norman rule.",20,1011
website,"In 2012, the website celebrated its 20th anniversary cementing its claim ""20 years at #1.""",15,1011
north,Yet the first fights started to the north-east of the Polish capital.,12,1009
province,"Sant'Albino is a village in Tuscany, central Italy, administratively a frazione of the comune of Montepulciano, province of Siena.",19,1006
night,"Much of his listening was to late night radio shows, in particular short wave radio transmissions.",16,1003
fire,Vakulovsky departed the siege in a hazardous low level flight through ground fire and foul foggy weather.,17,994
gold,Fiji won the gold medal defeating Samoa by 33–7 in the final.,12,993
energy,"A related standard, IEC 61968 defines a CIM information model for energy data.",13,990
female,The ability of a female to produce songs with which to mate is potentially central to the colonization process.,19,990
room,"Two large rooms were built there in 1881 with a ""Woodmen of the World"" meeting room overhead.",17,986
south,There is also the Ruisseau du Moulin Veron which flows from the south joining the Aube near the village.,19,984
base,A total of 30 Snarks were deployed to the USAF's first and only long-range cruise missile base.,17,978
victory,Michigan was won by Democratic nominee John Kerry by a 3.4% margin of victory.,14,977
medal,Fiji won the gold medal defeating Samoa by 33–7 in the final.,12,967
hand,These bricks were transported to The Lily's construction site and cleaned there by hand.,14,966
test,"Test return in 2017 In February 2017, Maxwell was selected for Australia's squad for the Test tour of India.",19,957
centre,Carrowmore represents a foundation point and a centre point in a Neolithic landscape.,13,952
money,"They called police, who also discovered another briefcase full of money in the woods.",14,950
length,"Henry of Navarre beat his rivals by 3/4 length, earning Horse of the Year honors.",15,948
movie,Time and Place – A lockdown movie originally shown Rebellion 2020 Online Festival.,13,946
function,"The hotel also has of meeting and function space including a ballroom, outdoor venues and a business center.",18,944
route,"With population and traffic growth, the scenic winding highway route was beset by traffic jams, especially at peak holiday times.",20,943
code,Harris taught the others a special code that he had learned at a survival training.,15,939
newspaper,"Later, he decided to publish Il'ko Sova z Bajusova in Narodny novinky (a Rusyn newspaper).",15,938
tour,"""T"" indicates tied for ranking position References Ladies European Tour A Ladies European Tour Ladies European Tour wins",18,936
activity,"Glucocorticoid activity Some progestogens, mainly certain 17α-hydroxyprogesterone derivatives, have weak glucocorticoid activity.",12,931
star,"Alpha Gruis is a single, B-type main-sequence star located at a distance of .",14,930
value,"Each vertex has one child whose value is less than 1, , because of course .",16,928
murder,He's wrapping up a murder investigation in which a bookkeeper is murdered by his landlady.,15,925
access,"Location and access The dam is located at (32.37393, -97.68753).",10,925
editor,Since 2004 he is an editor of the Annals of Mathematics.,11,925
problem,It is the common word related to the mental problem accredited by clinical psychologists.,14,921
decision,The fact that by then Herlaar was under control of the Republic might have influenced this decision.,17,919
museum,"His work is on display at the Adolf Wölfli Foundation in the Museum of Fine Art, Bern.",17,915
feature,"In 2013, she made her feature film directorial debut Alias, which ""follows aspiring rappers trying to escape the gangster life.""",20,914
personnel,List of chairmen References Veterans' organizations ZANU–PF Zimbabwean military personnel 1989 establishments in Zimbabwe Organizations established in 1989,18,913
husband,"In 1954, Solange formally accused SS officer Helmut Knochen of having kidnapped her husband.",14,912
sport,Production electric cars Soul EV Subcompact crossover sport utility vehicles Cars introduced in 2014,14,912
channel,"For instance, as the capillary pressure increases, a wettable surface in a channel will pull the liquid through the conduit.",20,910
scene,"Co-producer Leonard Chang suggested that the series could apply Aristotle's Poetics for the scene, highlighting the motivations of the characters.",20,910
council,The Court went on to find that the Discipline Council's decision to reprimand Doré was not an unreasonable balance.,19,903
marriage,"From her second marriage, Sanapia had a son and daughter.",10,899
status,The position has the rank and status of an ambassador extraordinary and plenipotentiary.,13,898
evidence,Exceeding these limits only in the best of driving conditions is considered prima facie evidence of speeding.,17,895
disease,Infection: The insertion of the IUD does have a small risk of pelvic inflammatory disease (PID).,16,894
total,A total of 30 Snarks were deployed to the USAF's first and only long-range cruise missile base.,17,889
gun,"She was pierced for 18 guns but mounted 17, fourteen 6-pounder guns, two 18-pounder carronades, and one 9-pounder gun.",19,886
volume,"In 2015, Lapwing Publications (Belfast) published Morrison's volume Shadows Waltz Haltingly.",11,881
poet,The people of Lima knew him as el Virrey poeta (The Poet Viceroy) because of his literary talent.,18,879
majority,A large majority of the Croatian population declare themselves to be members of the Catholic Church.,16,879
text,Classification Pre-qualifying Qualifying Race Championship standings after the race Bold text indicates the World Champions.,15,878
composer,"Tristin Norwell is a British music composer, producer, mixer, arranger, and musician.",12,877
sister,"Another sister, Umm Fadl, was married to Abbas ibn Abd al-Muttalib, another uncle of Muhammad.",15,876
theory,"Gestalt Educational Program: Theory and Design in the Age of New Objectivity, Islamabad and Rawalpindi, 2011.",16,876
fact,The fact that by then Herlaar was under control of the Republic might have influenced this decision.,17,872
sea,"It is found in dry deciduous forest on lateritic soils near the coast, between sea level and 28 meters elevation.",20,871
painting,"His first exhibition at the Salon came in 1831 with the painting Interieur del Salon, which won him immediate fame.",20,869
champion,This was just the fourth time that no World Series champion was decided within the traditional month of October.,19,867
income,"Males had a median income of $28,365 versus $19,861 for females.",11,867
food,"History According to local legend, when the Qianlong Emperor came to Danyang, officials could not take expensive and delicate food.",20,864
response,"In 1997, the government of Denmark contemplated banning all outlaw biker clubs in response to the Great Nordic Biker War.",20,864
east,Yet the first fights started to the north-east of the Polish capital.,12,862
battle,"His illegitimate son by a Slav mistress, Otto, tried to succeed his brother, but was defeated and killed in battle.",20,861
border,"The new square is a single tier area, including the re-creation of an ancient border which once divided Nottingham.",19,859
army,"The Pernambuco Police Regiment had the structure of an army, but it was not even capable of defeating the cangaço.",20,856
management,"Of its expenses, the most went to printing and postage (), administrative expenses (), and management ().",17,855
trial,He took part in the International Criminal Tribunal for the Former Yugoslavia and was lead prosecutor at Slobodan Milošević's trial.,20,852
rest,Covering Islam: how the media and the experts determine how we see the rest of the world.,17,851
meeting,during his speech at the 52nd meeting of the National Development Council.,12,851
hospital,"Philanthropy On December 21, 2019, Rinaudo held a charity stream for St. David's Children's Hospital in Austin, Texas.",18,850
influence,"According to some reports, there are about 12000 inhabitants in the area of influence of this neighborhood.",17,849
