Model,Language,Layer,Total Outputs,Unique Outputs,Duplicate Ratio,# Outputs >10,Top 5 %,Entropy (bits),Most Frequent Output,Top 3 Outputs
Babel-9B-Chat,English,23,10000,4366,56.34%,8,54.33%,7.38, 2) 3) 3) ,"{' 2) 3) 3) ': 2279, ' 1) 2) 1) ': 1841, ' 1) 2) 3) ': 1222}"
Babel-9B-Chat,English,24,10000,4578,54.22%,8,52.74%,7.57, 2) 3) 3) ,"{' 2) 3) 3) ': 2202, ' 1) 2) 1) ': 1972, ' 1) 2) 3) ': 1027}"
Babel-9B-Chat,English,25,10000,3677,63.23%,8,61.54%,6.49, 2) 3) 3) ,"{' 2) 3) 3) ': 2994, ' 1) 2) 1) ': 1566, ' 1) 2) 3) ': 1443}"
Babel-9B-Chat,English,26,10000,3773,62.27%,9,60.61%,6.64, 2) 3) 3) ,"{' 2) 3) 3) ': 2280, ' 1) 2) 1) ': 2222, ' 1) 2) 3) ': 1433}"
Babel-9B-Chat,English,27,10000,4181,58.19%,8,56.72%,7.09, 2) 3) 3) ,"{' 2) 3) 3) ': 2513, ' 1) 2) 1) ': 1987, ' 1) 2) 3) ': 1062}"
Babel-9B-Chat,English,28,10000,3572,64.28%,10,62.56%,6.39, 2) 3) 3) ,"{' 2) 3) 3) ': 2535, ' 1) 2) 1) ': 2222, ' 1) 2) 3) ': 1347}"
Babel-9B-Chat,English,29,10000,2921,70.79%,9,69.20%,5.64, 2) 3) 3) ,"{' 2) 3) 3) ': 2665, ' 1) 2) 1) ': 2136, ' 1) 2) 3) ': 1829}"
Babel-9B-Chat,English,30,10000,2548,74.52%,8,73.07%,5.13, 2) 3) 3) ,"{' 2) 3) 3) ': 2881, ' 1) 2) 3) ': 2622, ' 1) 2) 1) ': 1540}"
Babel-9B-Chat,English,31,10000,2222,77.78%,8,76.07%,4.69, 2) 3) 3) ,"{' 2) 3) 3) ': 3072, ' 1) 2) 3) ': 3025, ' 1) 2) 1) ': 1256}"
Babel-9B-Chat,English,32,10000,1852,81.48%,8,80.12%,4.25, 2) 3) 3) ,"{' 2) 3) 3) ': 2986, ' 1) 2) 3) ': 2664, ' 1) 2) 1) ': 2097}"
Babel-9B-Chat,English,33,10000,1047,89.53%,7,88.91%,2.71, 2) 3) 3) ,"{' 2) 3) 3) ': 5998, ' 1) 2) 1) ': 2251, ' 1) 2) 3) ': 368}"
Babel-9B-Chat,English,34,10000,53,99.47%,15,96.04%,1.68, 2) 3) 3) ,"{' 2) 3) 3) ': 6955, ' 1) 2) 1) ': 1092, ' 1) 2) 2) ': 946}"
Babel-9B-Chat,German,1,10000,4469,55.31%,64,23.44%,10.0, 1) 2) 3) ,"{' 1) 2) 3) ': 921, ' 100000000': 818, ' 1) 2) 1) ': 277}"
Babel-9B-Chat,German,2,10000,4358,56.42%,49,33.26%,9.12, 1) 2) 3) ,"{' 1) 2) 3) ': 1552, ' 100000000': 901, ' 1) 2) 1) ': 576}"
Babel-9B-Chat,German,3,10000,4822,51.78%,38,29.40%,9.58, 1) 2) 3) ,"{' 1) 2) 3) ': 1707, ' 100000000': 566, ' 1) 2) 1) ': 412}"
Babel-9B-Chat,German,4,10000,5490,45.10%,44,25.44%,10.1, 1) 2) 3) ,"{' 1) 2) 3) ': 1586, ' 100000000': 479, ' 1) 2) 1) ': 231}"
Babel-9B-Chat,German,5,10000,5309,46.91%,38,26.55%,9.85, 1) 2) 3) ,"{' 1) 2) 3) ': 1693, ' 100000000': 547, ' 1) 2) 1) ': 167}"
Babel-9B-Chat,German,6,10000,5093,49.07%,38,30.92%,9.43, 1) 2) 3) ,"{' 1) 2) 3) ': 2058, ' 100000000': 518, ' 1) 2) 1) ': 228}"
Babel-9B-Chat,German,7,10000,5059,49.41%,33,32.65%,9.27, 1) 2) 3) ,"{' 1) 2) 3) ': 2195, ' 100000000': 463, ' 1) 2) 1) ': 301}"
Babel-9B-Chat,German,8,10000,4088,59.12%,35,38.26%,8.29, 1) 2) 3) ,"{' 1) 2) 3) ': 2304, ' 100000000': 744, ' 2) 3) 4) ': 277}"
Babel-9B-Chat,German,9,10000,2860,71.40%,33,50.08%,6.9, 1) 2) 3) ,"{' 1) 2) 3) ': 2149, ' 2) 3) 3) ': 1333, ' 100000000': 809}"
Babel-9B-Chat,German,10,10000,2831,71.69%,34,50.80%,6.85, 1) 2) 3) ,"{' 1) 2) 3) ': 2130, ' 2) 3) 3) ': 1448, ' 100000000': 922}"
Babel-9B-Chat,German,11,10000,3201,67.99%,33,47.42%,7.24, 1) 2) 3) ,"{' 1) 2) 3) ': 2486, ' 2) 3) 3) ': 880, ' 100000000': 824}"
Babel-9B-Chat,German,12,10000,2328,76.72%,32,56.64%,6.16, 2) 3) 3) ,"{' 2) 3) 3) ': 2086, ' 1) 2) 3) ': 2023, ' 100000000': 909}"
Babel-9B-Chat,German,13,10000,2051,79.49%,30,61.37%,5.64, 2) 3) 3) ,"{' 2) 3) 3) ': 2704, ' 1) 2) 3) ': 1958, ' 100000000': 811}"
Babel-9B-Chat,German,14,10000,1344,86.56%,30,72.11%,4.4, 2) 3) 3) ,"{' 2) 3) 3) ': 4086, ' 1) 2) 3) ': 1894, ' 100000000': 662}"
Babel-9B-Chat,German,15,10000,1906,80.94%,30,63.14%,5.46, 1) 2) 3) ,"{' 1) 2) 3) ': 2526, ' 2) 3) 3) ': 2243, ' 100000000': 821}"
Babel-9B-Chat,German,16,10000,2086,79.14%,30,62.79%,5.6, 1) 2) 3) ,"{' 1) 2) 3) ': 2628, ' 2) 3) 3) ': 2163, ' 100000000': 886}"
Babel-9B-Chat,German,17,10000,1392,86.08%,29,72.12%,4.43, 2) 3) 3) ,"{' 2) 3) 3) ': 4084, ' 1) 2) 3) ': 1865, ' 100000000': 694}"
Babel-9B-Chat,German,18,10000,1869,81.31%,30,63.28%,5.46, 1) 2) 3) ,"{' 1) 2) 3) ': 2517, ' 2) 3) 3) ': 2027, ' 100000000': 950}"
Babel-9B-Chat,German,19,10000,1695,83.05%,31,66.57%,5.12, 2) 3) 3) ,"{' 2) 3) 3) ': 2799, ' 1) 2) 3) ': 2228, ' 100000000': 914}"
Babel-9B-Chat,German,20,10000,1534,84.66%,32,69.31%,4.8, 2) 3) 3) ,"{' 2) 3) 3) ': 3488, ' 1) 2) 3) ': 1947, ' 100000000': 791}"
Babel-9B-Chat,German,21,10000,1857,81.43%,32,64.25%,5.4, 1) 2) 3) ,"{' 1) 2) 3) ': 2445, ' 2) 3) 3) ': 2301, ' 100000000': 855}"
Babel-9B-Chat,German,22,10000,1793,82.07%,32,68.13%,5.05, 2) 3) 3) ,"{' 2) 3) 3) ': 3180, ' 1) 2) 3) ': 2243, ' 100000000': 760}"
Babel-9B-Chat,German,23,10000,2070,79.30%,30,63.43%,5.57, 1) 2) 3) ,"{' 1) 2) 3) ': 2400, ' 2) 3) 3) ': 2381, ' 100000000': 810}"
Babel-9B-Chat,German,24,10000,2158,78.42%,29,59.87%,5.85, 1) 2) 3) ,"{' 1) 2) 3) ': 2661, ' 2) 3) 3) ': 1670, ' 100000000': 765}"
Babel-9B-Chat,German,25,10000,1837,81.63%,27,66.29%,5.19, 2) 3) 3) ,"{' 2) 3) 3) ': 2968, ' 1) 2) 3) ': 2343, ' 100000000': 663}"
Babel-9B-Chat,German,26,10000,1902,80.98%,30,62.22%,5.4, 1) 2) 3) ,"{' 1) 2) 3) ': 3360, ' 2) 3) 3) ': 1612, ' 100000000': 508}"
Babel-9B-Chat,German,27,10000,1881,81.19%,27,61.44%,5.21, 1) 2) 3) ,"{' 1) 2) 3) ': 4484, ' 2) 3) 4) ': 541, ' 100000000': 494}"
Babel-9B-Chat,German,28,10000,1773,82.27%,29,63.97%,5.12, 1) 2) 3) ,"{' 1) 2) 3) ': 3974, ' 2) 3) 3) ': 1112, ' 2) 3) 4) ': 528}"
Babel-9B-Chat,German,29,10000,1221,87.79%,29,68.71%,4.33, 1) 2) 3) ,"{' 1) 2) 3) ': 4807, ' 2) 3) 4) ': 955, ' 100000000': 449}"
Babel-9B-Chat,German,30,10000,587,94.13%,28,81.59%,3.05, 1) 2) 3) ,"{' 1) 2) 3) ': 5698, ' 2) 3) 4) ': 1563, ' 100000000': 431}"
Babel-9B-Chat,German,31,10000,506,94.94%,30,81.66%,3.04, 1) 2) 3) ,"{' 1) 2) 3) ': 5336, ' 2) 3) 4) ': 2011, ' 100000000': 497}"
Babel-9B-Chat,German,32,10000,305,96.95%,25,88.22%,2.34, 1) 2) 3) ,"{' 1) 2) 3) ': 6051, ' 2) 3) 4) ': 2192, ' 100000000': 266}"
Babel-9B-Chat,German,33,10000,119,98.81%,23,92.63%,1.94, 1) 2) 3) ,"{' 1) 2) 3) ': 5488, ' 2) 3) 4) ': 3293, ' 2) 3) 3) ': 295}"
Babel-9B-Chat,German,34,10000,74,99.26%,16,95.22%,1.6, 2) 3) 3) ,"{' 2) 3) 3) ': 6570, ' 2) 3) 4) ': 2490, ' 3) 4) 5) ': 223}"
Babel-9B-Chat,Korean,1,10000,920,90.80%,32,76.16%,4.06, 2019년 12월,"{' 2019년 12월': 4698, ' 2017년 12월': 1589, ' 2017년 3) ': 794}"
Babel-9B-Chat,Korean,2,10000,1018,89.82%,26,79.47%,3.68, 2019년 12월,"{' 2019년 12월': 4818, ' 2017년 12월': 2287, ' 2017년 3) ': 516}"
Babel-9B-Chat,Korean,3,10000,1346,86.54%,30,75.49%,4.17, 2019년 12월,"{' 2019년 12월': 4595, ' 2017년 12월': 2232, ' 2017년 3) ': 432}"
Babel-9B-Chat,Korean,4,10000,1431,85.69%,26,75.63%,4.12, 2019년 12월,"{' 2019년 12월': 4624, ' 2017년 12월': 2299, ' 2017년 3) ': 380}"
Babel-9B-Chat,Korean,5,10000,1525,84.75%,23,74.92%,4.25, 2019년 12월,"{' 2019년 12월': 4518, ' 2017년 12월': 2271, ' 2017년 3) ': 389}"
Babel-9B-Chat,Korean,6,10000,1413,85.87%,25,76.14%,4.11, 2019년 12월,"{' 2019년 12월': 4416, ' 2017년 12월': 2464, ' 2017년 3) ': 354}"
Babel-9B-Chat,Korean,7,10000,1375,86.25%,25,74.65%,4.27, 2019년 12월,"{' 2019년 12월': 4002, ' 2017년 12월': 2622, ' 2017년 3) ': 331}"
Babel-9B-Chat,Korean,8,10000,1333,86.67%,27,74.25%,4.21, 2019년 12월,"{' 2019년 12월': 4195, ' 2017년 12월': 2469, ' 1) 2) 3) ': 263}"
Babel-9B-Chat,Korean,9,10000,951,90.49%,22,81.82%,3.33, 2019년 12월,"{' 2019년 12월': 5432, ' 2017년 12월': 1978, ' 2) 3) 3) ': 340}"
Babel-9B-Chat,Korean,10,10000,923,90.77%,22,82.26%,3.34, 2019년 12월,"{' 2019년 12월': 5199, ' 2017년 12월': 2174, ' 2) 3) 3) ': 378}"
Babel-9B-Chat,Korean,11,10000,896,91.04%,25,81.96%,3.3, 2019년 12월,"{' 2019년 12월': 5311, ' 2017년 12월': 2157, ' 1) 2) 3) ': 302}"
Babel-9B-Chat,Korean,12,10000,574,94.26%,18,88.15%,2.65, 2019년 12월,"{' 2019년 12월': 5891, ' 2017년 12월': 1869, ' 2) 3) 3) ': 708}"
Babel-9B-Chat,Korean,13,10000,491,95.09%,18,89.67%,2.42, 2019년 12월,"{' 2019년 12월': 6271, ' 2017년 12월': 1542, ' 2) 3) 3) ': 903}"
Babel-9B-Chat,Korean,14,10000,356,96.44%,20,92.04%,2.34, 2019년 12월,"{' 2019년 12월': 5798, ' 2) 3) 3) ': 1713, ' 2017년 12월': 1344}"
Babel-9B-Chat,Korean,15,10000,385,96.15%,19,90.46%,2.38, 2019년 12월,"{' 2019년 12월': 6140, ' 2017년 12월': 1674, ' 2) 3) 3) ': 820}"
Babel-9B-Chat,Korean,16,10000,522,94.78%,24,86.52%,2.91, 2019년 12월,"{' 2019년 12월': 5519, ' 2017년 12월': 1516, ' 2) 3) 3) ': 710}"
Babel-9B-Chat,Korean,17,10000,311,96.89%,18,90.74%,2.54, 2019년 12월,"{' 2019년 12월': 5334, ' 2) 3) 3) ': 1855, ' 2017년 12월': 1173}"
Babel-9B-Chat,Korean,18,10000,322,96.78%,20,90.03%,2.52, 2019년 12월,"{' 2019년 12월': 5753, ' 2017년 12월': 1581, ' 2) 3) 3) ': 871}"
Babel-9B-Chat,Korean,19,10000,349,96.51%,21,89.44%,2.66, 2019년 12월,"{' 2019년 12월': 5433, ' 2017년 12월': 1431, ' 2) 3) 3) ': 1133}"
Babel-9B-Chat,Korean,20,10000,318,96.82%,19,90.60%,2.6, 2019년 12월,"{' 2019년 12월': 5177, ' 2017년 12월': 1580, ' 2) 3) 3) ': 1528}"
Babel-9B-Chat,Korean,21,10000,310,96.90%,19,91.35%,2.51, 2019년 12월,"{' 2019년 12월': 5296, ' 2017년 12월': 1695, ' 2) 3) 3) ': 1482}"
Babel-9B-Chat,Korean,22,10000,336,96.64%,15,91.00%,2.6, 2019년 12월,"{' 2019년 12월': 4988, ' 2) 3) 3) ': 1856, ' 2017년 12월': 1555}"
Babel-9B-Chat,Korean,23,10000,353,96.47%,14,91.03%,2.56, 2019년 12월,"{' 2019년 12월': 5307, ' 2017년 12월': 1700, ' 2) 3) 3) ': 1365}"
Babel-9B-Chat,Korean,24,10000,310,96.90%,12,93.80%,2.1, 2019년 12월,"{' 2019년 12월': 6204, ' 2017년 12월': 1508, ' 2) 3) 3) ': 1312}"
Babel-9B-Chat,Korean,25,10000,341,96.59%,15,93.48%,2.16, 2019년 12월,"{' 2019년 12월': 5985, ' 2) 3) 3) ': 1907, ' 2017년 12월': 1172}"
Babel-9B-Chat,Korean,26,10000,369,96.31%,13,93.62%,2.24, 2019년 12월,"{' 2019년 12월': 5648, ' 2) 3) 3) ': 1974, ' 2017년 12월': 1413}"
Babel-9B-Chat,Korean,27,10000,352,96.48%,9,95.04%,1.8, 2019년 12월,"{' 2019년 12월': 6911, ' 2) 3) 3) ': 1245, ' 2017년 12월': 1229}"
Babel-9B-Chat,Korean,28,10000,437,95.63%,12,93.41%,2.28, 2019년 12월,"{' 2019년 12월': 5113, ' 2) 3) 3) ': 2856, ' 2017년 12월': 1186}"
Babel-9B-Chat,Korean,29,10000,316,96.84%,9,95.36%,2.11, 2019년 12월,"{' 2019년 12월': 4818, ' 2) 3) 3) ': 3103, ' 2017년 12월': 1462}"
Babel-9B-Chat,Korean,30,10000,165,98.35%,7,97.85%,1.73, 2019년 12월,"{' 2019년 12월': 5345, ' 2) 3) 3) ': 2873, ' 2017년 12월': 1501}"
Babel-9B-Chat,Korean,31,10000,218,97.82%,9,96.60%,1.9, 2019년 12월,"{' 2019년 12월': 5273, ' 2) 3) 3) ': 2747, ' 2017년 12월': 1532}"
Babel-9B-Chat,Korean,32,10000,86,99.14%,8,98.46%,1.64, 2019년 12월,"{' 2019년 12월': 4913, ' 2) 3) 3) ': 3644, ' 2017년 12월': 1214}"
Babel-9B-Chat,Korean,33,10000,32,99.68%,10,98.29%,1.89, 2019년 12월,"{' 2019년 12월': 3875, ' 2) 3) 3) ': 3635, ' 2017년 12월': 1900}"
Babel-9B-Chat,Korean,34,10000,303,96.97%,50,64.27%,4.32, 2) 2) 2) ,"{' 2) 2) 2) ': 2574, ' 3) 4) 5) ': 1805, ' 2020년 3) ': 731}"
Llama-2-7b-chat-hf,English,1,10000,2335,76.65%,165,9.78%,9.62,"tion

What is the difference between these","{'tion\n\nWhat is the difference between these': 251, 'ir\n\nWhat is the difference between ""er': 193, 'xt\n\nWhat is the difference between these': 187}"
Llama-2-7b-chat-hf,English,2,10000,3911,60.89%,140,4.81%,10.74,"ism

What is the difference between these","{'ism\n\nWhat is the difference between these': 113, 'ity\n\nWhat is the difference between these': 104, 'ist\n\nWhat is the difference between these two': 104}"
Llama-2-7b-chat-hf,English,3,10000,6022,39.78%,79,5.45%,11.61,"1000

What is the","{'1000\n\nWhat is the': 186, '2)\n\nAnswer: 1)': 123, '2)\n\nAnswer:\n\n1': 98}"
Llama-2-7b-chat-hf,English,4,10000,6584,34.16%,59,6.14%,11.7,"1000

What is the","{'1000\n\nWhat is the': 196, '1000\n\nThe word ""': 128, '100%\n\nThe word ""': 116}"
Llama-2-7b-chat-hf,English,5,10000,6452,35.48%,68,7.70%,11.5,"1000

The word ""","{'1000\n\nThe word ""': 203, '1000\n\nWhat is the': 172, '100%\n\nThe word ""': 148}"
Llama-2-7b-chat-hf,English,6,10000,5685,43.15%,66,11.30%,10.77,"1000

What is the","{'1000\n\nWhat is the': 322, '1000 times\n\nWhat is': 224, '1000\n\nAnswer: ': 219}"
Llama-2-7b-chat-hf,English,7,10000,5698,43.02%,62,12.97%,10.7,"1000

What is the","{'1000\n\nWhat is the': 348, '1000\n\nAnswer: ': 271, '1st  3) 2nd  ': 242}"
Llama-2-7b-chat-hf,English,8,10000,5446,45.54%,67,14.41%,10.51,"1000

Answer: ","{'1000\n\nAnswer: ': 347, '2)\n\nAnswer:\n\n1': 319, '2)\n\nAnswer: 1)': 281}"
Llama-2-7b-chat-hf,English,9,10000,5491,45.09%,70,15.01%,10.5,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 415, '1000\n\nAnswer: ': 351, '2)\n\nAnswer: 1)': 349}"
Llama-2-7b-chat-hf,English,10,10000,5368,46.32%,66,18.36%,10.26,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 699, '2)\n\nAnswer: 1)': 425, '1000\n\nAnswer: ': 332}"
Llama-2-7b-chat-hf,English,11,10000,5590,44.10%,51,24.36%,10.08,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1173, '2)\n\nAnswer: 1)': 627, '2) 3) 4) ': 282}"
Llama-2-7b-chat-hf,English,12,10000,5321,46.79%,53,26.33%,9.82,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1187, '2)\n\nAnswer: 1)': 748, '2) 3) 4) ': 369}"
Llama-2-7b-chat-hf,English,13,10000,5397,46.03%,52,26.98%,9.85,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1193, '2)\n\nAnswer: 1)': 759, '2) 3) 4) ': 395}"
Llama-2-7b-chat-hf,English,14,10000,5359,46.41%,48,29.06%,9.69,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1287, '2)\n\nAnswer: 1)': 962, '2) 3) 4) ': 384}"
Llama-2-7b-chat-hf,English,15,10000,5108,48.92%,51,30.78%,9.46,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1278, '2)\n\nAnswer: 1)': 952, '2) 3) 4) ': 574}"
Llama-2-7b-chat-hf,English,16,10000,4309,56.91%,47,41.72%,8.34,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1755, '2)\n\nAnswer: 1)': 1403, '2) 3) 4) ': 771}"
Llama-2-7b-chat-hf,English,17,10000,4377,56.23%,47,39.40%,8.52,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1591, '2)\n\nAnswer: 1)': 1217, '2) 3) 4) ': 922}"
Llama-2-7b-chat-hf,English,18,10000,3854,61.46%,47,44.28%,7.91,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1754, '2) 3) 4) ': 1268, '2)\n\nAnswer: 1)': 1212}"
Llama-2-7b-chat-hf,English,19,10000,4045,59.55%,38,46.76%,7.85,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 1786, '2) 3) 4) ': 1511, '2)\n\nAnswer: 1)': 1191}"
Llama-2-7b-chat-hf,English,20,10000,3295,67.05%,38,55.72%,6.85,"2)

Answer:

1","{'2)\n\nAnswer:\n\n1': 2032, '2) 3) 4) ': 2001, '2)\n\nAnswer: 1)': 1286}"
Llama-2-7b-chat-hf,English,21,10000,2958,70.42%,37,57.77%,6.52,2) 3) 4) ,"{'2) 3) 4) ': 2332, '2)\n\nAnswer:\n\n1': 1919, '2)\n\nAnswer: 1)': 1221}"
Llama-2-7b-chat-hf,English,22,10000,2357,76.43%,33,66.41%,5.66,2) 3) 4) ,"{'2) 3) 4) ': 2626, '2)\n\nAnswer:\n\n1': 2059, '2)\n\nAnswer: 1)': 1388}"
Llama-2-7b-chat-hf,English,23,10000,2153,78.47%,37,68.13%,5.37,2) 3) 4) ,"{'2) 3) 4) ': 3007, '2)\n\nAnswer:\n\n1': 2049, '2)\n\nAnswer: 1)': 1311}"
Llama-2-7b-chat-hf,English,24,10000,1906,80.94%,38,70.79%,5.03,2) 3) 4) ,"{'2) 3) 4) ': 3430, '2)\n\nAnswer:\n\n1': 2111, '2)\n\nAnswer: 1)': 1013}"
Llama-2-7b-chat-hf,English,25,10000,1603,83.97%,35,75.17%,4.56,2) 3) 4) ,"{'2) 3) 4) ': 3634, '2)\n\nAnswer:\n\n1': 2210, '2)\n\nAnswer: 1)': 1088}"
Llama-2-7b-chat-hf,English,26,10000,1279,87.21%,30,78.81%,4.16,2) 3) 4) ,"{'2) 3) 4) ': 3613, '2)\n\nAnswer:\n\n1': 2385, '2)\n\nAnswer: 1)': 1146}"
Llama-2-7b-chat-hf,English,27,10000,1014,89.86%,30,81.68%,3.9,2) 3) 4) ,"{'2) 3) 4) ': 3326, '2)\n\nAnswer:\n\n1': 2560, '2)\n\nAnswer: 1)': 1081}"
Llama-2-7b-chat-hf,English,28,10000,709,92.91%,23,85.59%,3.46,2) 3) 4) ,"{'2) 3) 4) ': 3458, '2)\n\nAnswer:\n\n1': 2507, '3) 4) 5)\n': 1533}"
Llama-2-7b-chat-hf,English,29,10000,600,94.00%,32,86.05%,3.28,2) 3) 4) ,"{'2) 3) 4) ': 4286, '2)\n\nAnswer:\n\n1': 1996, '3) 4) 5)\n': 1346}"
Llama-2-7b-chat-hf,English,30,10000,556,94.44%,32,82.89%,3.42,2) 3) 4) ,"{'2) 3) 4) ': 4050, '2)\n\nAnswer:\n\n1': 2191, '3) 4) 5)\n': 1208}"
Llama-2-7b-chat-hf,English,31,10000,567,94.33%,47,81.85%,3.7,2) 3) 4) ,"{'2) 3) 4) ': 3659, '3) 4) 5)\n': 1748, '2)\n\nAnswer:\n\n1': 1535}"
Llama-2-7b-chat-hf,English,32,10000,379,96.21%,68,63.75%,4.48,2) 3) 4) ,"{'2) 3) 4) ': 3248, '3) 4) 5) ': 1892, '3) 4) 5)\n': 622}"
Llama-2-7b-chat-hf,German,1,10000,2188,78.12%,216,7.43%,9.86,"ia

Welche der beiden ist der","{'ia\n\nWelche der beiden ist der': 319, 'ung\n\nWelche der beiden ist der': 181, '2)\n\nIch denke,': 102}"
Llama-2-7b-chat-hf,German,2,10000,3669,63.31%,133,7.53%,10.62,100000000,"{'100000000': 191, '2)\n\nWelche der beiden W': 159, ' .\n\nWelche Zeichen sind es': 154}"
Llama-2-7b-chat-hf,German,3,10000,4997,50.03%,80,10.23%,11.02,100000000,"{'100000000': 476, '1970er-Jahre': 264, 'ungs\n\nWelche der beiden ist kor': 105}"
Llama-2-7b-chat-hf,German,4,10000,5265,47.35%,86,11.01%,11.05,100000000,"{'100000000': 419, '1970er-Jahre': 283, '1)\n\nIch denke,': 155}"
Llama-2-7b-chat-hf,German,5,10000,5107,48.93%,82,13.07%,10.76,100000000,"{'100000000': 446, '1970er-Jahre': 391, '1. \n\nWelche der beiden': 196}"
